Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,31566278.0,,40027456.0,,34413222.0,,16857325.0,,23273060.0,,19321186.0,15597128.0
Short-term investments,55814216.0,,60232727.0,,33352233.0,,35349889.0,,36586669.0,,17632784.0,25470207.0
Cash and short-term investments,87380494.0,,100260183.0,,67765455.0,,52207214.0,,59859729.0,,36953970.0,41067335.0
Receivables,2176359.0,5000000.0,1884945.0,3000000.0,1271871.0,4000000.0,1306111.0,4000000.0,1186748.0,1000000.0,1101845.0,1215060.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,89556853.0,,102145128.0,,69037326.0,,53513325.0,,61046477.0,,38055815.0,42282395.0
Property Plant & Equipment Net,3306025.0,,3882343.0,,5060802.0,,5553957.0,,5998532.0,,6720424.0,6660574.0
Goodwill and Intangible Assets,2241127.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,2469620.0,,1153102.0,,2775237.0,,3122885.0,,6564121.0,,6065445.0,6087400.0
Total non-current assets,569416071.0,,518158466.0,,422124512.0,,426429660.0,,358042826.0,,327130144.0,323077822.0
Total assets,658972924.0,659000000.0,620303594.0,620000000.0,491161838.0,491000000.0,479942985.0,480000000.0,419089303.0,419000000.0,365185959.0,365360217.0
Payables,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Short-term debt,10000000.0,,20000000.0,,52300000.0,,22150000.0,,0.0,,0.0,0.0
Total current liabilities,10000000.0,,20000000.0,,52300000.0,,22150000.0,,0.0,,0.0,0.0
Long-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total debt,10000000.0,,20000000.0,,52300000.0,,22150000.0,,0.0,,0.0,0.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Deposit Liabilities,572754560.0,,526458394.0,,367415938.0,,387830132.0,,360993471.0,,325147274.0,314992836.0
Total non-current liabilities,1806352.0,,2984718.0,,2723557.0,,3214100.0,,6564121.0,,6065445.0,0.0
Total liabilities,587096795.0,587000000.0,554575859.0,554000000.0,423479349.0,423000000.0,413299699.0,413000000.0,364535035.0,365000000.0,332842739.0,332716644.0
Other comprehensive income,41692751,0000000.0,40814285,0000000.0,43378927,1000000.0,43228950,2000000.0,36357001,1000000.0,24840506,24738890
Retained earnings (deficit),19180657.0,19000000.0,14426969.0,14000000.0,12667070.0,13000000.0,10736305.0,11000000.0,7703597.0,8000000.0,9233565.0,9886546.0
Total shareholders equity,71876129.0,72000000.0,65727735.0,66000000.0,67682489.0,68000000.0,66643286.0,67000000.0,54554268.0,55000000.0,32343220.0,32643573.0
Investments,55814216.0,,60232727.0,,33352233.0,,35349889.0,,36586669.0,,17632784.0,25470207.0
Net Debt,-21566278.0,0,-20027456.0,0,17886778.0,0,5292675.0,0,-23273060.0,0,-19321186.0,-15597128.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Other Liabilities,575290443.0,0,531591141.0,0,368455792.0,0,387935599.0,0,357970914.0,0,326777294.0,332716644.0
