Date,2018-12-31,2017-12-31
Depreciation & Amortization,1902315.4848,1372883.9178
Stock-based compensation,2689725.0362,14438482.4667
Operating Cash Flow,-1844138.9291,13784613.0593
Capital Expenditure,-3574384.9493,173216.445
Acquisitions and disposals,2245296.6715,-968712.2128
Investment purchases and sales,13482199.7106,-12320435.3083
Investing Cash flow,12153111.4327,-13115931.0762
Issuance (repayment) of debt,142872793.0535,0.0
Issuance (buybacks) of shares,0.0,22672309.5526
Dividend payments,-100152098.4081,0.0
Financing Cash Flow,42720694.6454,22672309.5526
Effect of forex changes on cash,,
Net cash flow / Change in cash,0.0,0.0
Free Cash Flow,-5418523.8784,13957829.5042
Net Cash/Marketcap,,
