Date,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2015-09-25,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30
Cash and cash equivalents,2805000000.0,200000000.0,321000000.0,684000000.0,1401000000.0,1401000000.0,892000000.0,563000000.0,844000000.0,1390000000.0,1775000000.0,560000000.0
Short-term investments,116000000.0,63000000.0,55000000.0,81000000.0,248000000.0,74000000.0,0.0,100000000.0,70000000.0,60000000.0,59000000.0,0.0
Cash and short-term investments,2921000000.0,263000000.0,376000000.0,765000000.0,1649000000.0,1475000000.0,892000000.0,663000000.0,914000000.0,1450000000.0,1834000000.0,560000000.0
Receivables,5770000000.0,7065000000.0,6666000000.0,8018000000.0,1775000000.0,1732000000.0,1750000000.0,1738000000.0,1711000000.0,2401000000.0,2493000000.0,6095000000.0
Inventories,1814000000.0,3224000000.0,3209000000.0,3560000000.0,627000000.0,624000000.0,628000000.0,655000000.0,634000000.0,1344000000.0,1443000000.0,1786000000.0
Total current assets,12393000000.0,11823000000.0,12292000000.0,17109000000.0,4653000000.0,4675000000.0,4751000000.0,4067000000.0,4334000000.0,6433000000.0,7353000000.0,14262000000.0
Property Plant & Equipment Net,3348000000.0,6171000000.0,6121000000.0,7872000000.0,1189000000.0,1177000000.0,1269000000.0,1677000000.0,1670000000.0,4051000000.0,4156000000.0,4096000000.0
Goodwill and Intangible Assets,23810000000.0,25821000000.0,26429000000.0,31062000000.0,5107000000.0,8766000000.0,4863000000.0,5323000000.0,5157000000.0,13627000000.0,13023000000.0,7288000000.0
Long-term investments,853000000.0,1301000000.0,1191000000.0,2735000000.0,0.0,0.0,0.0,143000000.0,133000000.0,187000000.0,224000000.0,728000000.0
Tax assets,552000000.0,1591000000.0,2360000000.0,2905000000.0,62000000.0,0.0,307000000.0,254000000.0,295000000.0,402000000.0,382000000.0,0.0
Total non-current assets,29894000000.0,36974000000.0,39592000000.0,46144000000.0,7668000000.0,19697000000.0,7058000000.0,8109000000.0,8031000000.0,20344000000.0,19775000000.0,6188000000.0
Total assets,42287000000.0,48797000000.0,51884000000.0,63253000000.0,12321000000.0,12321000000.0,11809000000.0,12176000000.0,12365000000.0,26777000000.0,27128000000.0,25743000000.0
Payables,3582000000.0,4644000000.0,4271000000.0,6764000000.0,785000000.0,774000000.0,871000000.0,899000000.0,897000000.0,1278000000.0,1340000000.0,5426000000.0
Short-term debt,501000000.0,26000000.0,394000000.0,628000000.0,987000000.0,323000000.0,20000000.0,20000000.0,10000000.0,2000000.0,536000000.0,798000000.0
Total current liabilities,9070000000.0,11250000000.0,11854000000.0,16293000000.0,3845000000.0,3852000000.0,3471000000.0,3231000000.0,3097000000.0,4330000000.0,5268000000.0,9910000000.0
Long-term debt,6708000000.0,9654000000.0,11964000000.0,14606000000.0,2159000000.0,2159000000.0,1443000000.0,1443000000.0,1481000000.0,4146000000.0,3652000000.0,2652000000.0
Total debt,7209000000.0,9680000000.0,12358000000.0,15234000000.0,3146000000.0,6680000000.0,1463000000.0,1463000000.0,1491000000.0,4148000000.0,4188000000.0,3966000000.0
Deferred revenue,1407000000.0,1326000000.0,1279000000.0,431000000.0,382000000.0,0.0,400000000.0,402000000.0,402000000.0,643000000.0,618000000.0,0.0
Tax Liabilities,159000000.0,336000000.0,625000000.0,1538000000.0,302000000.0,0.0,267000000.0,42000000.0,126000000.0,109000000.0,102000000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,12388000000.0,15089000000.0,18452000000.0,21636000000.0,4462000000.0,9548000000.0,3962000000.0,4066000000.0,4541000000.0,8569000000.0,8141000000.0,6188000000.0
Total liabilities,22521000000.0,27633000000.0,31437000000.0,39135000000.0,8280000000.0,8245000000.0,7162000000.0,7078000000.0,7371000000.0,12595000000.0,13044000000.0,15566000000.0
Other comprehensive income,15726000000,15496000000,15680000000,16085000000,713000000,-237000000.0,791000000,2842000000,669000000,9766000000,11145000000,192000000.0
Retained earnings (deficit),4827000000.0,6604000000.0,5231000000.0,9177000000.0,5165000000.0,5165000000.0,4873000000.0,3035000000.0,2499000000.0,2058000000.0,312000000.0,7765000000.0
Total shareholders equity,19766000000.0,21164000000.0,20447000000.0,24118000000.0,4041000000.0,4041000000.0,4647000000.0,5098000000.0,4994000000.0,14182000000.0,14084000000.0,10071000000.0
Investments,969000000.0,1364000000.0,1246000000.0,2816000000.0,248000000.0,1018000000.0,0.0,243000000.0,203000000.0,247000000.0,283000000.0,718000000.0
Net Debt,4404000000.0,9480000000.0,12037000000.0,14550000000.0,1745000000.0,6271000000.0,571000000.0,900000000.0,647000000.0,2758000000.0,2413000000.0,3205000000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,3112000000.0,0.0,0.0,0.0,0.0,0.0,2016000000.0
Other Liabilities,1063000000.0,1294000000.0,1131000000.0,1206000000.0,-27000000.0,6101000000.0,-271000000.0,-219000000.0,-267000000.0,-304000000.0,-365000000.0,3484000000.0
