Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Cash and cash equivalents,15247000.0,3697000.0,4000000.0,1091000.0,1000000.0,17978000.0,18000000.0,1900000.0,2000000.0,43975000.0,44000000.0,11796000.0
Short-term investments,8008000.0,1873000.0,,34260000.0,,29265000.0,,5668000.0,,12005000.0,,0.0
Cash and short-term investments,23255000.0,5570000.0,,35351000.0,,47243000.0,,7568000.0,,55980000.0,,11796000.0
Receivables,25974000.0,25448000.0,26000000.0,19483000.0,20000000.0,43936000.0,44000000.0,38863000.0,44000000.0,24980000.0,31000000.0,17717000.0
Inventories,0.0,0.0,3000000.0,0.0,4000000.0,0.0,3000000.0,0.0,2000000.0,0.0,1000000.0,0.0
Total current assets,55892000.0,33775000.0,860000000.0,58681000.0,1040000000.0,129343000.0,1272000000.0,57278000.0,934000000.0,90984000.0,682000000.0,65916000.0
Property Plant & Equipment Net,884352000.0,855444000.0,855000000.0,1001215000.0,1001000000.0,1224208000.0,1224000000.0,902882000.0,903000000.0,654015000.0,654000000.0,480244000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Long-term investments,1719000.0,2212000.0,000000.0,9534000.0,000000.0,4904000.0,18000000.0,535000.0,19000000.0,704000.0,17000000.0,8576000.0
Tax assets,130000.0,211000.0,000000.0,12532000.0,13000000.0,8301000.0,8000000.0,3451000.0,000000.0,0.0,1000000.0,1727000.0
Total non-current assets,886245000.0,860148000.0,780000000.0,1039825000.0,840000000.0,1272378000.0,727000000.0,934118000.0,480000000.0,681726000.0,306000000.0,535635000.0
Total assets,942137000.0,893923000.0,894000000.0,1098506000.0,1099000000.0,1401721000.0,1402000000.0,991396000.0,991000000.0,772710000.0,773000000.0,601551000.0
Payables,62354000.0,40712000.0,41000000.0,37874000.0,38000000.0,53340000.0,53000000.0,31103000.0,31000000.0,31134000.0,31000000.0,41558000.0
Short-term debt,834325000.0,764000.0,1000000.0,590000.0,1000000.0,1176000.0,1000000.0,6743000.0,7000000.0,1389000.0,000000.0,0.0
Total current liabilities,956789000.0,103708000.0,104000000.0,97808000.0,98000000.0,147831000.0,148000000.0,96959000.0,97000000.0,55535000.0,56000000.0,63366000.0
Long-term debt,650371000.0,113785000.0,755000000.0,111528000.0,789000000.0,251000.0,678000000.0,62191000.0,417000000.0,991000.0,253000000.0,225138000.0
Total debt,1484696000.0,114549000.0,755000000.0,112118000.0,789000000.0,1427000.0,678000000.0,68934000.0,417000000.0,2380000.0,253000000.0,225138000.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax Liabilities,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,29000000.0,0.0,24000000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,742222000.0,200613000.0,780000000.0,127216000.0,840000000.0,12570000.0,727000000.0,96629000.0,480000000.0,24616000.0,306000000.0,225222000.0
Total liabilities,995699000.0,883697000.0,884000000.0,938275000.0,938000000.0,874589000.0,875000000.0,576513000.0,577000000.0,361191000.0,361000000.0,309552000.0
Other comprehensive income,652918000,650585000,,623864000,,617827000,,456554000,,451062000,,376843000
Retained earnings (deficit),-706490000.0,-640454000.0,-640000000.0,-463687000.0,-464000000.0,-90749000.0,-91000000.0,-41725000.0,-42000000.0,-39595000.0,-40000000.0,-84888000.0
Total shareholders equity,-53562000.0,10226000.0,10000000.0,160231000.0,160000000.0,527132000.0,527000000.0,414883000.0,415000000.0,411519000.0,412000000.0,291999000.0
Investments,9727000.0,4085000.0,000000.0,43794000.0,000000.0,34169000.0,18000000.0,6203000.0,19000000.0,12709000.0,17000000.0,8576000.0
Net Debt,1469449000.0,110852000.0,752000000,111027000.0,789000000,-16551000.0,661000000,67034000.0,422000000,-41595000.0,209000000,213342000.0
Other Assets,0.0,0.0,7000000,0.0,60000000,0.0,86000000,0.0,19000000,0.0,25000000,0.0
Other Liabilities,0.0,579376000.0,50000000,713251000.0,54000000,714188000.0,71000000,382925000.0,36000000,281040000.0,30000000,20964000.0
