Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12-31,2013-12,2012-12-31
Cash and cash equivalents,52638000.0,53000000.0,52394000.0,52000000.0,78589000.0,79000000.0,76000000.0,0.0,46000000.0,0.0
Short-term investments,369000.0,0000000.0,447000.0,0000000.0,367000.0,0000000.0,0000000.0,0.0,9000000.0,0.0
Cash and short-term investments,53007000.0,0000000.0,52841000.0,0000000.0,78956000.0,0000000.0,0000000.0,0.0,9000000.0,0.0
Receivables,2428000.0,2000000.0,3171000.0,3000000.0,2925000.0,3000000.0,4000000.0,0.0,4000000.0,0.0
Inventories,1880000.0,2000000.0,4441000.0,4000000.0,5723000.0,6000000.0,6000000.0,0.0,4000000.0,0.0
Total current assets,63141000.0,78000000.0,67269000.0,107000000.0,95103000.0,74000000.0,79000000.0,0.0,80000000.0,0.0
Property Plant & Equipment Net,2772000.0,3000000.0,3805000.0,4000000.0,3302000.0,3000000.0,4000000.0,0.0,2000000.0,0.0
Goodwill and Intangible Assets,42494000.0,42000000,76039000.0,76000000,38991000.0,39000000,41000000,0.0,48000000,0.0
Long-term investments,0.0,,0.0,,0.0,,,0.0,,0.0
Tax assets,2016000.0,32000000.0,527000.0,27000000.0,2747000.0,000000.0,000000.0,0.0,000000.0,0.0
Total non-current assets,77901000.0,53000000.0,107248000.0,54000000.0,73733000.0,61000000.0,68000000.0,0.0,66000000.0,0.0
Total assets,141042000.0,141000000.0,174517000.0,175000000.0,168836000.0,169000000.0,194000000.0,0.0,172000000.0,0.0
Payables,3199000.0,3000000.0,2790000.0,3000000.0,1086000.0,1000000.0,3000000.0,0.0,4000000.0,0.0
Short-term debt,0.0,,0.0,,0.0,,,0.0,,0.0
Total current liabilities,51896000.0,52000000.0,61250000.0,61000000.0,59924000.0,60000000.0,77000000.0,0.0,68000000.0,0.0
Long-term debt,0.0,,0.0,,0.0,,,0.0,,0.0
Total debt,0.0,,0.0,,0.0,,,0.0,,0.0
Deferred revenue,42243000.0,39000000.0,48507000.0,44000000.0,52554000.0,50000000.0,55000000.0,0.0,60000000.0,0.0
Tax Liabilities,10623000.0,,1527000.0,,9929000.0,,,0.0,,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,,0.0,,0.0
Total non-current liabilities,84310000.0,53000000.0,81635000.0,54000000.0,91933000.0,61000000.0,68000000.0,0.0,66000000.0,0.0
Total liabilities,104480000.0,104000000.0,116317000.0,116000000.0,121168000.0,121000000.0,145000000.0,0.0,134000000.0,0.0
Other comprehensive income,0.0,000000.0,0.0,000000.0,0.0,000000.0,000000.0,0.0,-1000000.0,0.0
Retained earnings (deficit),28822000.0,29000000.0,53785000.0,54000000.0,48094000.0,48000000.0,35000000.0,0.0,31000000.0,0.0
Total shareholders equity,36562000.0,37000000.0,58200000.0,59000000.0,47668000.0,48000000.0,49000000.0,0.0,37000000.0,0.0
Investments,369000.0,,447000.0,,367000.0,,,0.0,,0.0
Net Debt,-52638000.0,-53000000,-52394000.0,-52000000,-78589000.0,-79000000,-76000000,0.0,-46000000,0.0
Other Assets,0.0,5000000,0.0,7000000,0.0,36000000,50000000,0.0,47000000,0.0
Other Liabilities,0.0,14000000,0.0,11000000,0.0,11000000,13000000,0.0,6000000,0.0
