Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,13482000000.0,13482000000.0,13438000000.0,13438000000.0,6607000000.0,6607000000.0,8577000000.0,8577000000.0,5654000000.0,5654000000.0,5940000000.0,4318000000.0,5444000000.0,7039000000.0,2846000000.0
Short-term investments,134000000.0,134000000.0,956000000.0,956000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,2000000.0,0.0,0.0
Cash and short-term investments,13616000000.0,134000000.0,14394000000.0,956000000.0,6607000000.0,000000.0,8577000000.0,000000.0,5654000000.0,000000.0,5940000000.0,4318000000.0,5446000000.0,7039000000.0,2846000000.0
Receivables,17816000000.0,12376000000.0,17573000000.0,11314000000.0,9686000000.0,4666000000.0,8662000000.0,4078000000.0,9992000000.0,4685000000.0,10012000000.0,9992000000.0,10770000000.0,9432000000.0,9405000000.0
Inventories,16621000000.0,16621000000.0,16992000000.0,16992000000.0,7363000000.0,7363000000.0,6871000000.0,6871000000.0,8101000000.0,8101000000.0,8303000000.0,8476000000.0,7577000000.0,7087000000.0,6847000000.0
Total current assets,138427000000.0,138427000000.0,142271000000.0,142271000000.0,55852000000.0,55852000000.0,43997000000.0,43551000000.0,44432000000.0,44529000000.0,44524000000.0,45921000000.0,45802000000.0,45458000000.0,46476000000.0
Property Plant & Equipment Net,35848000000.0,35848000000.0,36247000000.0,36247000000.0,23486000000.0,23486000000.0,17854000000.0,17854000000.0,18051000000.0,18051000000.0,17454000000.0,17520000000.0,17299000000.0,17668000000.0,18141000000.0
Goodwill and Intangible Assets,89997000000.0,89997000000,92801000000.0,92801000000,21298000000.0,21298000000,15771000000.0,15771000000,16400000000.0,16400000000,17112000000.0,17450000000.0,17991000000.0,18497000000.0,19179000000.0
Long-term investments,8382000000.0,7905000000.0,8580000000.0,7900000000.0,7424000000.0,6716000000.0,7697000000.0,6881000000.0,7260000000.0,6640000000.0,7407000000.0,6999000000.0,7057000000.0,6383000000.0,5995000000.0
Tax assets,1724000000.0,000000.0,1869000000.0,000000.0,3079000000.0,000000.0,2140000000.0,100000000.0,2947000000.0,105000000.0,2707000000.0,4210000000.0,3030000000.0,2690000000.0,2693000000.0
Total non-current assets,67136000000.0,68744000000.0,64109000000.0,65706000000.0,39678000000.0,40920000000.0,30640000000.0,31437000000.0,33752000000.0,34780000000.0,29606000000.0,36245000000.0,32299000000.0,33050000000.0,31789000000.0
Total assets,188030000000.0,188030000000.0,192164000000.0,192164000000.0,79511000000.0,79511000000.0,67938000000.0,68026000000.0,68687000000.0,68796000000.0,69501000000.0,69605000000.0,69224000000.0,69588000000.0,66018000000.0
Payables,9457000000.0,9457000000.0,9134000000.0,9134000000.0,4519000000.0,4519000000.0,3577000000.0,3577000000.0,4481000000.0,4481000000.0,4590000000.0,5010000000.0,4778000000.0,4356000000.0,4153000000.0
Short-term debt,2802000000.0,2802000000.0,4015000000.0,4015000000.0,907000000.0,907000000.0,995000000.0,995000000.0,933000000.0,945000000.0,1140000000.0,1068000000.0,3290000000.0,3222000000.0,3221000000.0
