Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,1998-12,1997-12,1996-12,1995-12,1994-12
Cash and cash equivalents,1083700000.0,1054800000.0,1273800000.0,1099500000.0,1178500000.0,1293600000.0,1463600000.0,1239100000.0,1179100000.0,,,,,
Short-term investments,6739400000.0,7633000000.0,7900300000.0,7712200000.0,7428900000.0,310900000.0,5557300000.0,0.0,0.0,1027000000.0,993000000.0,558000000.0,603000000.0,474000000.0
Cash and short-term investments,7823100000.0,8687800000.0,9174100000.0,8811700000.0,8607400000.0,1604500000.0,7020900000.0,1239100000.0,1179100000.0,1027000000.0,993000000.0,558000000.0,603000000.0,474000000.0
Receivables,1459300000.0,1496500000.0,1399400000.0,1115600000.0,1011700000.0,999000000.0,1057500000.0,894400000.0,821700000.0,,,,,
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Total current assets,9282400000.0,10184300000.0,10573500000.0,9927300000.0,9619100000.0,2603500000.0,8078400000.0,2133500000.0,2000800000.0,,,,,
Property Plant & Equipment Net,73100000.0,75500000.0,83800000.0,70600000.0,62200000.0,60100000.0,57900000.0,53900000.0,34800000.0,,,,,
Goodwill and Intangible Assets,26300000.0,27900000.0,79600000.0,18200000.0,18200000.0,18400000.0,19000000.0,20000000.0,21000000.0,0,0,0,0,0
Long-term investments,3178700000.0,3394700000.0,3405800000.0,3439400000.0,3368500000.0,0.0,458500000.0,0.0,0.0,,,,,
Tax assets,35400000.0,28300000.0,0.0,3700000.0,0.0,1600000.0,2400000.0,0.0,0.0,,,,,
Total non-current assets,3250500000.0,2722100000.0,1516600000.0,1121500000.0,1097200000.0,7627000000.0,2232200000.0,7343000000.0,6831300000.0,,,,,
Total assets,12532900000.0,12906400000.0,12090100000.0,11048800000.0,10716300000.0,10230500000.0,10310600000.0,9476500000.0,8832100000.0,2056000000.0,1915000000.0,1370000000.0,1318000000.0,1179000000.0
Payables,668900000.0,813900000.0,839000000.0,451300000.0,484600000.0,372400000.0,422600000.0,364200000.0,411900000.0,,,,,
Short-term debt,0.0,0.0,0.0,600000.0,0.0,0.0,37500000.0,0.0,0.0,64000000.0,000000.0,000000.0,75000000.0,64000000.0
Total current liabilities,2378100000.0,2645900000.0,2457600000.0,2049900000.0,1944700000.0,1668700000.0,1580900000.0,1280300000.0,1282000000.0,,,,,
Long-term debt,424700000.0,549500000.0,549300000.0,549200000.0,549100000.0,549000000.0,499100000.0,499000000.0,498800000.0,000000.0,39000000.0,86000000.0,20000000.0,20000000.0
Total debt,424700000.0,549500000.0,549300000.0,549800000.0,549100000.0,549000000.0,536600000.0,499000000.0,498800000.0,000000.0,39000000.0,86000000.0,20000000.0,20000000.0
Deferred revenue,1709100000.0,1820800000.0,1618600000.0,1587200000.0,1441800000.0,1280600000.0,1120800000.0,916100000.0,859000000.0,,,,,
Tax Liabilities,100000.0,11200000.0,0.0,10800000.0,18300000.0,15700000.0,0.0,0.0,11100000.0,,,,,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Total non-current liabilities,453400000.0,549500000.0,555400000.0,549200000.0,552200000.0,549000000.0,510900000.0,517500000.0,547900000.0,,,,,
Total liabilities,9876900000.0,9977900000.0,8441800000.0,7628900000.0,7297000000.0,6930900000.0,6822200000.0,6304500000.0,5590200000.0,1674000000.0,1560000000.0,1141000000.0,1099000000.0,1006000000.0
Other comprehensive income,971210000,957400000,1261009000,1076600000,1134806000,1297101000,1516900000,1385400000,1388800000,83000000.0,68000000.0,65000000.0,71000000.0,44000000.0
Retained earnings (deficit),1806600000.0,2026900000.0,2392300000.0,2283600000.0,2050100000.0,1783300000.0,1544000000.0,1357600000.0,1528700000.0,195000000.0,184000000.0,164000000.0,148000000.0,129000000.0
Total shareholders equity,2656000000.0,2928500000.0,3648300000.0,3419900000.0,3419300000.0,3299600000.0,3488400000.0,3172000000.0,3241900000.0,278000000.0,252000000.0,229000000.0,219000000.0,173000000.0
Investments,9918100000.0,11027700000.0,11306100000.0,11151600000.0,10797400000.0,310900000.0,6015800000.0,0.0,0.0,,,,,
Net Debt,-659000000.0,-505300000.0,-724500000.0,-549700000.0,-629400000.0,-744600000.0,-927000000.0,-740100000.0,-680300000.0,64000000,39000000,86000000,95000000,84000000
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Other Liabilities,7045400000.0,6782500000.0,5428800000.0,5029800000.0,4800100000.0,4713200000.0,4730400000.0,4506700000.0,3760300000.0,0,0,0,0,0
