Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,,,4569000000.0,,3657000000.0,,2942000000.0,2933000000.0,2753000000.0
Stock-based compensation,,,,,,,,,
Operating Cash Flow,,,,,,,,,
Capital Expenditure,-653000000.0,-593000000.0,,-879000000.0,,-677000000.0,,,
Acquisitions and disposals,-121000000.0,0.0,,-2095000000.0,,0.0,,,
Investment purchases and sales,,,-114474000000,,-108673000000,,-62125000000,-49544000000,-97806000000
Investing Cash flow,,,-18230000000.0,,9152000000.0,,-11961000000.0,-3443000000.0,-23187000000.0
Issuance (repayment) of debt,,,,,,,,,
Issuance (buybacks) of shares,,,,,,,,,
Dividend payments,,,,,,,,,
Financing Cash Flow,2160000000.0,-9204000000.0,-43304000000.0,-3590000000.0,-23525000000.0,-2233000000.0,12994000000.0,9000000000.0,-6375000000.0
Effect of forex changes on cash,206000000.0,252000000.0,806000000.0,-1637000000.0,-5618000000.0,873000000.0,2911000000.0,000000.0,000000.0
Net cash flow / Change in cash,-12530000000.0,-7874000000.0,-25176000000.0,9900000000.0,33969000000.0,-17216000000.0,-57410000000.0,86973000000.0,70271000000.0
Free Cash Flow,,,,,,,,,
Net Cash/Marketcap,,,,,,,,,
