Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Depreciation & Amortization,56826000.0,53233000.0,48455000.0,40329000.0,36410000.0,33608000.0,37234000.0
Stock-based compensation,8349000.0,10131000.0,7742000.0,1327000.0,0.0,0.0,0.0
Operating Cash Flow,120385000.0,173385000.0,134607000.0,113740000.0,101536000.0,188424000.0,119995000.0
Capital Expenditure,150322000.0,109215000.0,86438000.0,84009000.0,-97144000.0,-101382000.0,-73912000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Investment purchases and sales,-62196000.0,-38524000.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-153125000.0,-112191000.0,-93247000.0,-86381000.0,-98230000.0,-102200000.0,-74338000.0
Issuance (repayment) of debt,-0.0,-266625000.0,-0.0,-3375000.0,0.0,0.0,0.0
Issuance (buybacks) of shares,-62179000.0,-38524000.0,-55432000.0,-14199000.0,0.0,0.0,0.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Financing Cash Flow,29982000.0,-106818000.0,-127000.0,-13160000.0,-3306000.0,-86224000.0,-45657000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-2758000.0,-45624000.0,41233000.0,14199000.0,0.0,0.0,0.0
Free Cash Flow,-29937000.0,64170000.0,48169000.0,29731000.0,4392000.0,87042000.0,46083000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
