Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,4581600000.0,38926000000.0,4518100000.0,50609000000.0,5332000000.0,36807000000.0,6444600000.0,36986000000.0,3050600000.0,35365000000.0,3162400000.0,3752700000.0,4315300000.0,2818000000.0
Short-term investments,51243100000.0,,46791600000.0,,44501200000.0,,37567400000.0,,33734000000.0,,30720300000.0,31033500000.0,30999700000.0,21281900000.0
Cash and short-term investments,55824700000.0,,51309700000.0,,49833200000.0,,44012000000.0,,36784600000.0,,33882700000.0,34786200000.0,35315000000.0,24099900000.0
Receivables,0.0,1646000000.0,0.0,1647000000.0,0.0,1044000000.0,0.0,2157000000.0,0.0,1569000000.0,0.0,0.0,0.0,0.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total current assets,55824700000.0,,51309700000.0,,49833200000.0,,44012000000.0,,36784600000.0,,33882700000.0,34786200000.0,35315000000.0,24099900000.0
Property Plant & Equipment Net,428200000.0,,464600000.0,,466600000.0,,446900000.0,,444300000.0,,458800000.0,469900000.0,494500000.0,504500000.0
Goodwill and Intangible Assets,669300000.0,669000000,605600000.0,606000000,519400000.0,519000000,526400000.0,526000000,533200000.0,533000000,540700000.0,537800000.0,532000000.0,454100000.0
Long-term investments,51243100000.0,,46791600000.0,,44501200000.0,,37567400000.0,,33734000000.0,,30720300000.0,31033500000.0,30999700000.0,21281900000.0
Tax assets,149300000.0,,155000000.0,,300100000.0,,265100000.0,,226300000.0,,188900000.0,229200000.0,264500000.0,184100000.0
Total non-current assets,76387800000.0,,87280800000.0,,74093700000.0,,72737600000.0,,73161900000.0,,69064600000.0,62677600000.0,64908700000.0,59744000000.0
Total assets,1.322125e+11,132212000000.0,1.385905e+11,138590000000.0,1.239269e+11,123927000000.0,1.167496e+11,116750000000.0,1.099465e+11,109946000000.0,1.029473e+11,97463800000.0,1.002237e+11,83843900000.0
Payables,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Short-term debt,0.0,,14400000.0,,23000000.0,,29700000.0,,31800000.0,,36900000.0,41200000.0,44900000.0,48100000.0
Total current liabilities,21900000.0,,42100000.0,,40200000.0,,42000000.0,,43700000.0,,52500000.0,60600000.0,62700000.0,138000000.0
Long-term debt,655500000.0,11303000000.0,908600000.0,9275000000.0,1200000000.0,8214000000.0,1500000000.0,7201000000.0,1800000000.0,5074000000.0,135000000.0,1421600000.0,2133300000.0,2729300000.0
Total debt,655500000.0,11303000000.0,923000000.0,9275000000.0,1223000000.0,8214000000.0,1529700000.0,7201000000.0,1831800000.0,5074000000.0,171900000.0,1462800000.0,2178200000.0,2777400000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax Liabilities,21900000.0,,27700000.0,,17200000.0,,12300000.0,,11900000.0,,15600000.0,19400000.0,17800000.0,89900000.0
Deposit Liabilities,1.044968e+11,,1.123908e+11,,1.016517e+11,,96868900000.0,,90757000000.0,,84098100000.0,81407800000.0,82677500000.0,64195700000.0
Total non-current liabilities,1056500000.0,,1273300000.0,,1753200000.0,,2156600000.0,,2812100000.0,,1127500000.0,2154300000.0,2767600000.0,3271600000.0
Total liabilities,1.217042e+11,121704000000.0,1.283743e+11,128374000000.0,1.141565e+11,114156000000.0,1.080437e+11,108044000000.0,1.014976e+11,101498000000.0,95035300000.0,89936800000.0,93106400000.0,77013600000.0
Other comprehensive income,0.0,-454000000.0,536800000,-414000000.0,823400000,-370000000.0,427200000,-373000000.0,734600000,-320000000.0,612900000,698700000,752000000,754900000
Retained earnings (deficit),10776800000.0,10777000000.0,9685100000.0,9685000000.0,8908400000.0,8908000000.0,8242800000.0,8243000000.0,7625400000.0,7625000000.0,7134800000.0,6702700000.0,6302300000.0,5972100000.0
Total shareholders equity,10508300000.0,10508000000.0,10216200000.0,10216000000.0,9770400000.0,9770000000.0,8705900000.0,8706000000.0,8448900000.0,8449000000.0,7912000000.0,7527000000.0,7117300000.0,6830300000.0
Investments,1.024862e+11,,93583200000.0,,89002400000.0,,75134800000.0,,67468000000.0,,61440600000.0,62067000000.0,61999400000.0,42563800000.0
Net Debt,-3926100000.0,-27623000000,-3595100000.0,-41334000000,-4109000000.0,-28593000000,-4914900000.0,-29785000000,-1218800000.0,-30291000000,-2990500000.0,-2289900000.0,-2137100000.0,-40600000.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Other Liabilities,1.206258e+11,0,1.270589e+11,0,1.123631e+11,0,1.058451e+11,0,98641800000.0,0,93855300000.0,87721900000.0,90276100000.0,73604000000.0
