Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,155834000.0,156000000.0,67084000.0,67000000.0,64643000.0,65000000.0,69901000.0,70000000.0,90751000.0,91000000.0,86509000.0,45336000.0,127360000.0,0.0
Short-term investments,3481454000.0,10000000.0,127128000.0,127000000.0,143539000.0,144000000.0,2414210000.0,218000000.0,2365934000.0,180000000.0,2047873000.0,2121833000.0,1888069000.0,0.0
Cash and short-term investments,3637288000.0,10000000.0,194212000.0,127000000.0,208182000.0,144000000.0,2484111000.0,218000000.0,2456685000.0,180000000.0,2134382000.0,2167169000.0,2015429000.0,0.0
Receivables,380576000.0,,351393000.0,,306686000.0,,276616000.0,,342479000.0,,325025000.0,320182000.0,255725000.0,0.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total current assets,4017864000.0,,545605000.0,,514868000.0,,2760727000.0,,2799164000.0,,2459407000.0,2487351000.0,2271154000.0,0.0
Property Plant & Equipment Net,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Goodwill and Intangible Assets,0.0,27000000,0.0,7000000,0.0,6000000,0.0,7000000,0.0,7000000,0.0,0.0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,49893000.0,8000000.0,16667000.0,000000.0,20556000.0,000000.0,22323000.0,000000.0,14549000.0,1000000.0,9918000.0,3216000.0,15391000.0,0.0
Total non-current assets,1585585000.0,,4679017000.0,,4299169000.0,,1823285000.0,,1665012000.0,,1710045000.0,1520319000.0,1398853000.0,0.0
Total assets,5603449000.0,5603000000.0,5224622000.0,5225000000.0,4814037000.0,4814000000.0,4584012000.0,4584000000.0,4464176000.0,4464000000.0,4169452000.0,4007670000.0,3670007000.0,0.0
Payables,145027000.0,,136192000.0,,108980000.0,,107411000.0,,152774000.0,,167252000.0,165813000.0,108699000.0,0.0
Short-term debt,0.0,,0.0,,0.0,,0.0,,149400000.0,,151900000.0,145200000.0,0.0,0.0
Total current liabilities,1249356000.0,,1123873000.0,,996324000.0,,928087000.0,,1068341000.0,,1033758000.0,955553000.0,641327000.0,0.0
Long-term debt,0.0,264000000.0,0.0,264000000.0,0.0,264000000.0,0.0,264000000.0,149400000.0,263000000.0,0.0,0.0,0.0,0.0
Total debt,0.0,264000000.0,0.0,264000000.0,0.0,264000000.0,0.0,264000000.0,298800000.0,263000000.0,151900000.0,145200000.0,0.0,0.0
Deferred revenue,1102735000.0,,987681000.0,,887344000.0,,820676000.0,,766167000.0,,714606000.0,642407000.0,532628000.0,0.0
Tax Liabilities,1594000.0,,0.0,,0.0,,0.0,,0.0,,0.0,2133000.0,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,7596000.0,,22271000.0,,20938000.0,,3900000.0,,150867000.0,,28187000.0,58861000.0,6291000.0,0.0
Total liabilities,4416599000.0,4417000000.0,3998657000.0,3999000000.0,3635849000.0,3636000000.0,3487864000.0,3488000000.0,3436952000.0,3437000000.0,3267240000.0,3128185000.0,2866572000.0,0.0
Other comprehensive income,222473000,-52000000.0,221067000,20000000.0,218182000,9000000.0,202028000,24000000.0,191221000,47000000.0,179745000,173651000,166332000,0.0
Retained earnings (deficit),1012220000.0,1012000000.0,981380000.0,981000000.0,947519000.0,948000000.0,868723000.0,869000000.0,787666000.0,788000000.0,692337000.0,628871000.0,565109000.0,0.0
Total shareholders equity,1186850000.0,1187000000.0,1225965000.0,1226000000.0,1178188000.0,1178000000.0,1096148000.0,1096000000.0,1027224000.0,1027000000.0,902212000.0,879485000.0,803435000.0,0.0
Investments,3481454000.0,,127128000.0,,143539000.0,,2414210000.0,,2365934000.0,,2047873000.0,2121833000.0,1888069000.0,0.0
Net Debt,-155834000.0,108000000,-67084000.0,197000000,-64643000.0,199000000,-69901000.0,194000000,208049000.0,172000000,65391000.0,99864000.0,-127360000.0,0.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Other Liabilities,3159647000.0,0,2852513000.0,0,2618587000.0,0,2555877000.0,0,2217744000.0,0,2205295000.0,2113771000.0,2218954000.0,0.0
