Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,2568000.0,5042000.0,5000000.0,3476000.0,3000000.0,9055000.0,9000000.0,36578000.0,37000000.0,5881000.0,6000000.0,7989000.0,6327000.0
Short-term investments,58000.0,58000.0,0000000.0,178000.0,0000000.0,178000.0,0000000.0,178000.0,0000000.0,177000.0,0000000.0,177000.0,0.0
Cash and short-term investments,2626000.0,5100000.0,0000000.0,3654000.0,0000000.0,9233000.0,0000000.0,36756000.0,0000000.0,6058000.0,0000000.0,8166000.0,6327000.0
Receivables,0.0,0.0,1000000.0,0.0,2000000.0,0.0,2000000.0,0.0,0000000.0,0.0,1000000.0,0.0,0.0
Inventories,1645000.0,1706000.0,2000000.0,2176000.0,2000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0
Total current assets,5660000.0,9044000.0,83000000.0,8732000.0,100000000.0,13364000.0,88000000.0,39265000.0,55000000.0,8402000.0,41000000.0,9586000.0,7709000.0
Property Plant & Equipment Net,46984000.0,81639000.0,82000000.0,98268000.0,98000000.0,87252000.0,87000000.0,53934000.0,54000000.0,40352000.0,40000000.0,28927000.0,32944000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current assets,47953000.0,82755000.0,70000000.0,99651000.0,58000000.0,88480000.0,20000000.0,55105000.0,17000000.0,41466000.0,13000000.0,29739000.0,33638000.0
Total assets,53613000.0,91799000.0,92000000.0,108383000.0,108000000.0,101844000.0,102000000.0,94370000.0,94000000.0,49868000.0,50000000.0,39325000.0,41347000.0
Payables,2918000.0,2890000.0,3000000.0,4115000.0,4000000.0,4548000.0,5000000.0,3205000.0,3000000.0,2726000.0,3000000.0,1851000.0,1912000.0
Short-term debt,33115000.0,779000.0,1000000.0,712000.0,1000000.0,0.0,000000.0,0.0,000000.0,3500000.0,4000000.0,165000.0,132000.0
Total current liabilities,51591000.0,16603000.0,17000000.0,19277000.0,19000000.0,18830000.0,19000000.0,12247000.0,12000000.0,14878000.0,15000000.0,8542000.0,10089000.0
Long-term debt,33115000.0,36921000.0,37000000.0,25921000.0,26000000.0,20323000.0,000000.0,16697000.0,000000.0,12632000.0,000000.0,205000.0,13574000.0
Total debt,66230000.0,37700000.0,37000000.0,26633000.0,26000000.0,20323000.0,000000.0,16697000.0,000000.0,16132000.0,000000.0,370000.0,13706000.0
Deferred revenue,100000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,323000.0,514000.0,,563000.0,,321000.0,,92000.0,,328000.0,,312000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,33715000.0,36921000.0,70000000.0,25921000.0,58000000.0,40646000.0,20000000.0,33394000.0,17000000.0,25264000.0,13000000.0,11915000.0,27148000.0
Total liabilities,74049000.0,86136000.0,86000000.0,76808000.0,77000000.0,39153000.0,39000000.0,28944000.0,29000000.0,27510000.0,28000000.0,20457000.0,23663000.0
Other comprehensive income,91315000,85227000,,87703000,,97182000,,95422000,,53083000,,52305000,55903000
Retained earnings (deficit),-111885000.0,-79666000.0,-80000000.0,-56234000.0,-56000000.0,-34605000.0,-35000000.0,-30109000.0,-30000000.0,-30812000.0,-31000000.0,-33524000.0,-38310000.0
Total shareholders equity,-20436000.0,5663000.0,6000000.0,31575000.0,32000000.0,62691000.0,63000000.0,65426000.0,65000000.0,22358000.0,22000000.0,18868000.0,17684000.0
Investments,58000.0,58000.0,,178000.0,,178000.0,,178000.0,,177000.0,,177000.0,0.0
Net Debt,63662000.0,32658000.0,33000000,23157000.0,24000000,11268000.0,-9000000,-19881000.0,-37000000,10251000.0,-2000000,-7619000.0,7379000.0
Other Assets,0.0,0.0,1000000,0.0,1000000,0.0,4000000,0.0,3000000,0.0,2000000,0.0,0.0
Other Liabilities,0.0,32612000.0,33000000,31610000.0,32000000,0.0,20000000,0.0,17000000,0.0,13000000,0.0,0.0
