Date,2019-09-28,2018-09-29,2018-09,2017-09-30,2017-09,2016-09-24,2016-09,2015-09-26,2015-09,2014-09-27,2014-09,2013-09-28,2012-09-29,2011-09-24
Cash and cash equivalents,497749000.0,482106000.0,482000000.0,32397000.0,32000000.0,92982000.0,93000000.0,47584000.0,48000000.0,78676000.0,79000000.0,15156000.0,48475000.0,12031000.0
Short-term investments,2000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,9990000.0,10000000.0,17820000.0,22705000.0,17820000.0
Cash and short-term investments,499749000.0,482106000.0,000000.0,32397000.0,000000.0,92982000.0,000000.0,47584000.0,000000.0,88666000.0,10000000.0,32976000.0,71180000.0,29851000.0
Receivables,300135000.0,275908000.0,276000000.0,237868000.0,238000000.0,201151000.0,201000000.0,207402000.0,207000000.0,193729000.0,194000000.0,194260000.0,202422000.0,195417000.0
Inventories,466197000.0,427823000.0,428000000.0,382101000.0,382000000.0,362004000.0,362000000.0,335946000.0,336000000.0,326386000.0,326000000.0,391934000.0,330032000.0,329546000.0
Total current assets,1307193000.0,1217298000.0,1217000000.0,683056000.0,683000000.0,714806000.0,715000000.0,653820000.0,654000000.0,671552000.0,672000000.0,672654000.0,651783000.0,602586000.0
Property Plant & Equipment Net,245405000.0,217647000.0,218000000.0,180913000.0,181000000.0,158224000.0,158000000.0,162809000.0,163000000.0,166849000.0,167000000.0,188913000.0,191163000.0,176402000.0
Goodwill and Intangible Assets,432177000.0,433477000.0,433000000,372375000.0,372000000,327250000.0,327000000,284549000.0,285000000,296230000.0,296000000,285624000.0,289076000.0,294749000.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax assets,34529000.0,30556000.0,,44130000.0,,10688000.0,,7060000.0,,13848000.0,,11679000.0,7210000.0,19266000.0
Total non-current assets,717827000.0,689911000.0,690000000.0,623850000.0,624000000.0,497387000.0,497000000.0,480934000.0,481000000.0,477175000.0,477000000.0,488506000.0,497764000.0,490417000.0
Total assets,2025020000.0,1907209000.0,1907000000.0,1306906000.0,1307000000.0,1212193000.0,1212000000.0,1134754000.0,1135000000.0,1148727000.0,1149000000.0,1161160000.0,1149547000.0,1093003000.0
Payables,149246000.0,110259000.0,110000000.0,103283000.0,103000000.0,102413000.0,102000000.0,88889000.0,89000000.0,88428000.0,88000000.0,103569000.0,126662000.0,116524000.0
Short-term debt,113000.0,122000.0,0000000.0,375000.0,0000000.0,463000.0,0000000.0,291000.0,0000000.0,291000.0,0000000.0,142000.0,331000.0,279000.0
Total current liabilities,278525000.0,212964000.0,213000000.0,220207000.0,220000000.0,202219000.0,202000000.0,176904000.0,177000000.0,173098000.0,173000000.0,182329000.0,206484000.0,191931000.0
Long-term debt,693037000.0,692031000.0,692000000.0,395278000.0,395000000.0,394806000.0,395000000.0,399848000.0,400000000.0,449948000.0,450000000.0,472445000.0,449483000.0,435330000.0
Total debt,693150000.0,692153000.0,692000000.0,395653000.0,395000000.0,395269000.0,395000000.0,400139000.0,400000000.0,450239000.0,450000000.0,472587000.0,449814000.0,435609000.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax Liabilities,483000.0,518000.0,49000000.0,325000.0,54000000.0,254000.0,61000000.0,138000.0,52000000.0,87000.0,39000000.0,364000.0,262000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,772998000.0,759422000.0,742000000.0,481077000.0,451000000.0,457584000.0,457000000.0,452568000.0,453000000.0,496533000.0,491000000.0,511938000.0,480121000.0,444290000.0
Total liabilities,1029013000.0,954760000.0,955000000.0,671220000.0,671000000.0,659179000.0,659000000.0,629468000.0,629000000.0,664004000.0,664000000.0,692482000.0,685610000.0,636227000.0
Other comprehensive income,575826000,590623000,-1000000.0,397186000,-1000000.0,393687000,-1000000.0,388771000,0000000.0,397079000,1000000.0,389522000,382558000,396583000
Retained earnings (deficit),421742000.0,362923000.0,363000000.0,239329000.0,239000000.0,160501000.0,161000000.0,115987000.0,116000000.0,86396000.0,86000000.0,77592000.0,79718000.0,59045000.0
Total shareholders equity,996007000.0,952449000.0,952000000.0,635686000.0,636000000.0,553014000.0,553000000.0,505286000.0,505000000.0,484723000.0,485000000.0,468678000.0,463937000.0,456776000.0
Investments,2000000.0,0.0,,0.0,,0.0,,0.0,,9990000.0,,17820000.0,22705000.0,17820000.0
Net Debt,195401000.0,210047000.0,210000000,363256000.0,363000000,302287000.0,302000000,352555000.0,352000000,371563000.0,371000000,457431000.0,401339000.0,423578000.0
Other Assets,0.0,0.0,50000000,0.0,84000000,0.0,23000000,0.0,47000000,0.0,28000000,0.0,0.0,0.0
Other Liabilities,-22510000.0,-17626000.0,0,-30064000.0,0,-624000.0,0,-4000.0,0,-5627000.0,0,-1785000.0,-995000.0,6000.0
