Date,2017-07-31,2017-07,2016-07-31,2016-07,2015-07-31,2015-07,2014-07-31,2014-07,2013-07-31,2013-07,2012-07-31
Cash and cash equivalents,129298000.0,129000000.0,118697000.0,119000000.0,123800000.0,124000000.0,114540000.0,115000000.0,113033000.0,113000000.0,187011000.0
Short-term investments,18797000.0,19000000.0,0.0,000000.0,20621000.0,000000.0,18599000.0,000000.0,7803000.0,000000.0,9786000.0
Cash and short-term investments,148095000.0,19000000.0,118697000.0,000000.0,123800000.0,000000.0,114540000.0,000000.0,113033000.0,000000.0,187011000.0
Receivables,77587000.0,78000000.0,112412000.0,112000000.0,119301000.0,119000000.0,106436000.0,106000000.0,113150000.0,113000000.0,96117000.0
Inventories,130575000.0,131000000.0,145513000.0,146000000.0,132712000.0,133000000.0,124777000.0,125000000.0,116280000.0,116000000.0,108944000.0
Total current assets,370705000.0,167000000.0,388804000.0,244000000.0,404565000.0,223000000.0,373774000.0,241000000.0,360413000.0,227000000.0,408795000.0
Property Plant & Equipment Net,102676000.0,103000000.0,107790000.0,108000000.0,106299000.0,106000000.0,114165000.0,114000000.0,110983000.0,111000000.0,96769000.0
Goodwill and Intangible Assets,28269000.0,28000000,119109000.0,119000000,106949000.0,106000000,114321000.0,114000000,105598000.0,106000000,36189000.0
Long-term investments,26171000.0,26000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Tax assets,5168000.0,5000000.0,10671000.0,11000000.0,5308000.0,5000000.0,7475000.0,7000000.0,5439000.0,5000000.0,10749000.0
Total non-current assets,167378000.0,10000000.0,244093000.0,23000000.0,223405000.0,17000000.0,240568000.0,17000000.0,227371000.0,10000000.0,149201000.0
Total assets,538083000.0,538000000.0,632897000.0,633000000.0,627970000.0,628000000.0,614342000.0,614000000.0,587784000.0,588000000.0,557996000.0
Payables,27179000.0,27000000.0,28575000.0,29000000.0,30493000.0,30000000.0,37241000.0,37000000.0,32138000.0,32000000.0,38200000.0
Short-term debt,4648000.0,,5261000.0,,6029000.0,,7761000.0,,10578000.0,,0.0
Total current liabilities,67110000.0,67000000.0,78467000.0,78000000.0,79794000.0,80000000.0,84513000.0,85000000.0,90894000.0,91000000.0,99939000.0
Long-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total debt,4648000.0,,5261000.0,,6029000.0,,7761000.0,,10578000.0,,0.0
Deferred revenue,4774000.0,8000000.0,5359000.0,9000000.0,5200000.0,9000000.0,10761000.0,11000000.0,9218000.0,9000000.0,11551000.0
Tax Liabilities,708000.0,000000.0,1610000.0,000000.0,4100000.0,3000000.0,6900000.0,3000000.0,4091000.0,000000.0,5670000.0
Deposit Liabilities,3538000.0,,3476000.0,,3991000.0,,3046000.0,,3256000.0,,2772000.0
Total non-current liabilities,10479000.0,10000000.0,23253000.0,23000000.0,16766000.0,17000000.0,17249000.0,17000000.0,10494000.0,10000000.0,11738000.0
Total liabilities,77589000.0,78000000.0,101720000.0,102000000.0,96560000.0,97000000.0,101762000.0,102000000.0,101388000.0,101000000.0,111677000.0
Other comprehensive income,157907000,-5000000.0,149005000,-8000000.0,140538000,-5000000.0,125679000,8000000.0,114381000,9000000.0,100222000
Retained earnings (deficit),307104000.0,307000000.0,390013000.0,390000000.0,394757000.0,395000000.0,378477000.0,378000000.0,362255000.0,362000000.0,343186000.0
Total shareholders equity,460494000.0,460000000.0,531177000.0,531000000.0,531410000.0,531000000.0,512580000.0,513000000.0,486396000.0,486000000.0,446319000.0
Investments,44968000.0,26000000.0,0.0,000000.0,20621000.0,000000.0,18599000.0,000000.0,7803000.0,000000.0,9786000.0
Net Debt,-124650000.0,-129000000,-113436000.0,-119000000,-117771000.0,-124000000,-106779000.0,-115000000,-102455000.0,-113000000,-187011000.0
Other Assets,0.0,10000000,0.0,10000000,0.0,13000000,0.0,14000000,0.0,15000000,0.0
Other Liabilities,0.0,33000000,0.0,51000000,0.0,42000000,0.0,26000000,0.0,46000000,0.0
