Date,2017-12-31,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,23674000.0,24000000.0,48000000.0,59000000.0,45000000.0,13000000.0
Short-term investments,17000.0,,,,,
Cash and short-term investments,23691000.0,,,,,
Receivables,0.0,2000000.0,000000.0,0000000.0,3000000.0,0000000.0
Inventories,42583000.0,43000000.0,21000000.0,20000000.0,22000000.0,000000.0
Total current assets,73854000.0,318000000.0,305000000.0,198000000.0,181000000.0,90000000.0
Property Plant & Equipment Net,289450000.0,289000000.0,276000000.0,186000000.0,162000000.0,90000000.0
Goodwill and Intangible Assets,0.0,0,0,0,0,0
Long-term investments,0.0,000000.0,000000.0,000000.0,19000000.0,0000000.0
Tax assets,18696000.0,19000000.0,17000000.0,000000.0,0000000.0,000000.0
Total non-current assets,317701000.0,75000000.0,60000000.0,59000000.0,63000000.0,9000000.0
Total assets,391555000.0,392000000.0,380000000.0,284000000.0,255000000.0,103000000.0
Payables,28302000.0,28000000.0,24000000.0,15000000.0,9000000.0,4000000.0
Short-term debt,902000.0,000000.0,8000000.0,7000000.0,12000000.0,7000000.0
Total current liabilities,36503000.0,37000000.0,42000000.0,23000000.0,26000000.0,13000000.0
Long-term debt,35405000.0,34000000.0,21000000.0,18000000.0,36000000.0,000000.0
Total debt,36307000.0,34000000.0,21000000.0,18000000.0,36000000.0,000000.0
Deferred revenue,0.0,,,,,
Tax Liabilities,2833000.0,18000000.0,12000000.0,15000000.0,5000000.0,000000.0
Deposit Liabilities,0.0,,,,,
Total non-current liabilities,52970000.0,75000000.0,60000000.0,59000000.0,63000000.0,9000000.0
Total liabilities,111526000.0,112000000.0,102000000.0,83000000.0,89000000.0,22000000.0
Other comprehensive income,377714000,000000.0,000000.0,000000.0,000000.0,1000000.0
Retained earnings (deficit),-81944000.0,-82000000.0,-58000000.0,-4000000.0,-22000000.0,-41000000.0
Total shareholders equity,280029000.0,280000000.0,278000000.0,201000000.0,166000000.0,81000000.0
Investments,17000.0,000000.0,000000.0,000000.0,19000000.0,0000000.0
Net Debt,12633000.0,10000000,-19000000,-34000000,3000000,-6000000
Other Assets,0.0,11000000,15000000,13000000,0,0
Other Liabilities,22053000.0,22000000,32000000,27000000,23000000,10000000
