Date,2018-12-29,2018-12,2017-12-30,2017-12,2016-12-31,2016-12,2016-01-02,2015-12,2014-12-27,2014-12,2013-12-28,2012-12-29,2011-12-31,2011-01-01,2010-01-02
Depreciation & Amortization,39714000.0,40000000.0,19190000.0,19000000.0,11318000.0,11000000.0,9557000.0,10000000.0,8718000.0,9000000.0,7227000.0,7186000.0,6721000.0,6873000.0,6968000.0
Stock-based compensation,4271000.0,4000000.0,4042000.0,4000000.0,4848000.0,5000000.0,4453000.0,4000000.0,3797000.0,4000000.0,2814000.0,2265000.0,1586000.0,1531000.0,1349000.0
Operating Cash Flow,77450000.0,77000000.0,49382000.0,49000000.0,38506000.0,39000000.0,49902000.0,50000000.0,62846000.0,63000000.0,47123000.0,52198000.0,49544000.0,25090000.0,13667000.0
Capital Expenditure,-28318000.0,-28000000.0,-22158000.0,-22000000.0,-6180000.0,-7000000.0,-4461000.0,-6000000.0,-10630000.0,-11000000.0,-17705000.0,-13303000.0,-10108000.0,-3681000.0,-5096000.0
Acquisitions and disposals,-534662000.0,000000.0,-500000.0,000000.0,-200056000.0,-1000000.0,0.0,000000.0,0.0,000000.0,-923000.0,-1140000.0,-325000.0,0.0,0.0
Investment purchases and sales,0.0,0,6684000.0,7000000,37675000.0,37000000,-3427000.0,-5000000,-6471000.0,-7000000,-1592000.0,-7583000.0,-19316000.0,-3945000.0,-7737000.0
Investing Cash flow,-565515000.0,-566000000.0,-15974000.0,-16000000.0,-169788000.0,-170000000.0,-9313000.0,-9000000.0,-18176000.0,-18000000.0,-20220000.0,-22026000.0,-29749000.0,-7626000.0,-12833000.0
Issuance (repayment) of debt,234712000.0,-148000000.0,-24000000.0,-24000000.0,138041000.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,-169000.0,-100000.0,0.0,-261000.0
Issuance (buybacks) of shares,241338000.0,,1156000.0,,1039000.0,,1019000.0,,846000.0,,859000.0,700000.0,635000.0,467000.0,403000.0
Dividend payments,-11003000.0,,-10260000.0,,-10744000.0,,-11999000.0,,-38357000.0,,-9435000.0,-40900000.0,-9596000.0,-14635000.0,-7547000.0
Financing Cash Flow,447340000.0,447000000.0,-50089000.0,-50000000.0,128223000.0,128000000.0,-10817000.0,-11000000.0,-37359000.0,-37000000.0,-8278000.0,-40553000.0,-8833000.0,-13993000.0,-7396000.0
Effect of forex changes on cash,318000.0,0000000.0,6345000.0,6000000.0,-4659000.0,-5000000.0,-4683000.0,-5000000.0,-5380000.0,-5000000.0,1809000.0,2025000.0,-1334000.0,-579000.0,1705000.0
Net cash flow / Change in cash,-40407000.0,-40000000.0,-10336000.0,-10000000.0,-7718000.0,-8000000.0,25089000.0,25000000.0,1931000.0,2000000.0,20434000.0,-8356000.0,9628000.0,2892000.0,-4862000.0
Free Cash Flow,49132000.0,49000000.0,27224000.0,27000000.0,32326000.0,31000000.0,45441000.0,44000000.0,52216000.0,52000000.0,29418000.0,38895000.0,39436000.0,21409000.0,8571000.0
Net Cash/Marketcap,-0.3102,,-0.0295,,-0.0553,,0.1545,,0.0944,,0.0869,0.1066,0.117,0.0684,0.0818
