Date,2019-09-30,2018-09-30,2018-09,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09-30,2014-09,2013-09-30,2012-09-30,2011-09-30
Cash and cash equivalents,299000000.0,299000000.0,299000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,500000000.0,500000000.0,1602000000.0,868000000.0,507000000.0
Short-term investments,464000000.0,220000000.0,,226000000.0,,196000000.0,,166000000.0,,162000000.0,,151000000.0,785000000.0,554000000.0
Cash and short-term investments,763000000.0,519000000.0,,526000000.0,,496000000.0,,466000000.0,,662000000.0,,1753000000.0,868000000.0,507000000.0
Receivables,1739000000.0,1657000000.0,1657000000.0,1569000000.0,1569000000.0,1747000000.0,1747000000.0,1600000000.0,1600000000.0,1676000000.0,1676000000.0,1567000000.0,1666000000.0,1739000000.0
Inventories,999000000.0,961000000.0,961000000.0,1065000000.0,1065000000.0,993000000.0,993000000.0,1031000000.0,1031000000.0,1056000000.0,1056000000.0,1091000000.0,1097000000.0,1028000000.0
Total current assets,3278000000.0,3430000000.0,45237000000.0,3446000000.0,46571000000.0,3644000000.0,46850000000.0,3506000000.0,45319000000.0,3788000000.0,41808000000.0,4906000000.0,4506000000.0,4043000000.0
Property Plant & Equipment Net,35133000000.0,35414000000.0,35411000000.0,34947000000.0,34947000000.0,34043000000.0,34043000000.0,32407000000.0,32407000000.0,30350000000.0,30350000000.0,29923000000.0,29727000000.0,29305000000.0
Goodwill and Intangible Assets,0.0,0.0,3000000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
Long-term investments,2968000000.0,2862000000.0,2862000000.0,2603000000.0,2603000000.0,2257000000.0,2257000000.0,2011000000.0,2011000000.0,0.0,1981000000.0,0.0,0.0,1168000000.0
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current assets,47189000000.0,45237000000.0,34094000000.0,46571000000.0,35055000000.0,46850000000.0,36792000000.0,45319000000.0,38277000000.0,41808000000.0,35644000000.0,41200000000.0,42828000000.0,42350000000.0
Total assets,50467000000.0,48667000000.0,48667000000.0,50017000000.0,50017000000.0,50494000000.0,50494000000.0,48825000000.0,48825000000.0,45596000000.0,45596000000.0,46106000000.0,47334000000.0,46393000000.0
Payables,1812000000.0,1982000000.0,1982000000.0,1940000000.0,1940000000.0,2163000000.0,2163000000.0,2127000000.0,2127000000.0,2029000000.0,2029000000.0,1627000000.0,1922000000.0,1840000000.0
Short-term debt,23000000.0,46000000.0,2332000000.0,53000000.0,3815000000.0,27000000.0,3024000000.0,79000000.0,1099000000.0,75000000.0,1660000000.0,32000000.0,2308000000.0,1537000000.0
Total current liabilities,4312000000.0,4854000000.0,4854000000.0,6401000000.0,6401000000.0,5862000000.0,5862000000.0,3935000000.0,3935000000.0,4449000000.0,4449000000.0,4982000000.0,6988000000.0,4909000000.0
Long-term debt,20183000000.0,21307000000.0,21307000000.0,21438000000.0,21438000000.0,22148000000.0,22148000000.0,23930000000.0,23930000000.0,23227000000.0,23227000000.0,23626000000.0,21250000000.0,22412000000.0
Total debt,20206000000.0,21353000000.0,21307000000.0,21491000000.0,21438000000.0,22175000000.0,22148000000.0,24009000000.0,23930000000.0,23302000000.0,23227000000.0,23658000000.0,23558000000.0,23949000000.0
Deferred revenue,0.0,10000000.0,,100000000.0,,100000000.0,,100000000.0,,100000000.0,,100000000.0,102000000.0,105000000.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,14347000000.0,12223000000.0,34094000000.0,13045000000.0,35055000000.0,14064000000.0,36792000000.0,13757000000.0,38277000000.0,11816000000.0,35644000000.0,11851000000.0,13770000000.0,13843000000.0
Total liabilities,38842000000.0,38384000000.0,38948000000.0,40884000000.0,41456000000.0,42074000000.0,42654000000.0,41622000000.0,42212000000.0,39492000000.0,40093000000.0,40459000000.0,42008000000.0,41164000000.0
Other comprehensive income,11649000000,10169000000,57000000.0,9091000000,21000000.0,8444000000,-12000000.0,7207000000,-2000000.0,6094000000,5000000.0,5641000000,5474000000,5505000000
Retained earnings (deficit),-12000000.0,57000000.0,9404000000.0,21000000.0,8282000000.0,-12000000.0,7594000000.0,-2000000.0,6357000000.0,5000000.0,5240000000.0,3000000.0,-74000000.0,-138000000.0
Total shareholders equity,11625000000.0,10283000000.0,9719000000.0,9133000000.0,8561000000.0,8420000000.0,7840000000.0,7203000000.0,6613000000.0,6104000000.0,5503000000.0,5647000000.0,5326000000.0,5229000000.0
Investments,3432000000.0,3082000000.0,2862000000.0,2829000000.0,2603000000.0,2453000000.0,2257000000.0,2177000000.0,2011000000.0,162000000.0,1981000000.0,151000000.0,785000000.0,1722000000.0
Net Debt,19907000000.0,21054000000.0,23340000000,21191000000.0,24953000000,21875000000.0,24872000000,23709000000.0,24729000000,22802000000.0,24387000000,22056000000.0,22690000000.0,23442000000.0
Other Assets,0.0,0.0,7474000000,0.0,9533000000,0.0,11154000000,0.0,11476000000,0.0,10033000000,0.0,0.0,0.0
Other Liabilities,20183000000.0,21307000000.0,7503000000,21438000000.0,7347000000,22148000000.0,6803000000,23930000000.0,6377000000,23227000000.0,5666000000,23626000000.0,21250000000.0,22412000000.0
