Date,2019-01-31,2018-01-31,2018-01,2017-01-31,2017-01,2016-01-31,2016-01,2015-01-31,2015-01,2014-01-31,2014-01,2013-01-31,2012-01-31
Cash and cash equivalents,139413000.0,147023000.0,147000000.0,145082000.0,145000000.0,137731000.0,138000000.0,120526000.0,121000000.0,75984000.0,76000000.0,65009000.0,76927000.0
Short-term investments,1200000.0,0.0,,1323000.0,,1315000.0,,1416000.0,,1504000.0,,0.0,0.0
Cash and short-term investments,140613000.0,147023000.0,,146405000.0,,139046000.0,,121942000.0,,77488000.0,,65009000.0,76927000.0
Receivables,81577000.0,83518000.0,84000000.0,69441000.0,69000000.0,65512000.0,66000000.0,78887000.0,79000000.0,71337000.0,71000000.0,72564000.0,64757000.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,244340000.0,246397000.0,246000000.0,229874000.0,230000000.0,227470000.0,227000000.0,223525000.0,224000000.0,170434000.0,170000000.0,155793000.0,157892000.0
Property Plant & Equipment Net,29621000.0,30408000.0,30000000.0,30872000.0,31000000.0,32080000.0,32000000.0,33154000.0,33000000.0,33085000.0,33000000.0,32526000.0,33139000.0
Goodwill and Intangible Assets,12423000.0,11023000.0,12000000,10558000.0,12000000,10645000.0,14000000,10911000.0,15000000,11377000.0,17000000,11412000.0,6412000.0
Long-term investments,136000.0,187000.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,16172000.0,7944000.0,8000000.0,6166000.0,6000000.0,8203000.0,12000000.0,9313000.0,10000000.0,8133000.0,12000000.0,17301000.0,17285000.0
Total non-current assets,72834000.0,53420000.0,53000000.0,51016000.0,51000000.0,58943000.0,59000000.0,59844000.0,60000000.0,64379000.0,64000000.0,70155000.0,60253000.0
Total assets,317174000.0,299817000.0,300000000.0,280890000.0,281000000.0,286413000.0,286000000.0,283369000.0,283000000.0,234813000.0,235000000.0,225948000.0,218145000.0
Payables,9902000.0,14818000.0,9000000.0,11316000.0,7000000.0,10811000.0,7000000.0,12872000.0,8000000.0,11042000.0,7000000.0,12537000.0,9724000.0
Short-term debt,40348000.0,43460000.0,0000000.0,33636000.0,0000000.0,31535000.0,0000000.0,35765000.0,0000000.0,34199000.0,0000000.0,31415000.0,31099000.0
Total current liabilities,165990000.0,175437000.0,175000000.0,149523000.0,150000000.0,140679000.0,141000000.0,151764000.0,152000000.0,149790000.0,150000000.0,145517000.0,135015000.0
Long-term debt,12836000.0,13313000.0,13000000.0,13767000.0,14000000.0,14258000.0,14000000.0,14680000.0,15000000.0,15085000.0,15000000.0,15474000.0,15813000.0
Total debt,53184000.0,56773000.0,13000000.0,47403000.0,14000000.0,45793000.0,14000000.0,50445000.0,15000000.0,49284000.0,15000000.0,46889000.0,46912000.0
Deferred revenue,115253000.0,116693000.0,2000000.0,104125000.0,2000000.0,97911000.0,2000000.0,102721000.0,2000000.0,104160000.0,1000000.0,101193000.0,93871000.0
Tax Liabilities,1168000.0,1662000.0,1000000.0,1743000.0,1000000.0,1545000.0,1000000.0,1924000.0,1000000.0,2626000.0,2000000.0,9000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,35574000.0,21581000.0,19000000.0,27200000.0,19000000.0,32332000.0,19000000.0,31940000.0,20000000.0,33212000.0,21000000.0,23703000.0,25470000.0
Total liabilities,183927000.0,194189000.0,194000000.0,168204000.0,168000000.0,159402000.0,159000000.0,171663000.0,172000000.0,170608000.0,171000000.0,167750000.0,156130000.0
Other comprehensive income,189377000,187999000,-7000000.0,182428000,-9000000.0,176719000,-9000000.0,162573000,-7000000.0,122631000,-7000000.0,118688000,121029000
Retained earnings (deficit),-48485000.0,-75559000.0,-76000000.0,-61127000.0,-61000000.0,-40983000.0,-41000000.0,-43465000.0,-43000000.0,-51472000.0,-51000000.0,-52468000.0,-48974000.0
Total shareholders equity,133247000.0,105628000.0,106000000.0,112686000.0,113000000.0,127011000.0,127000000.0,111706000.0,112000000.0,64205000.0,64000000.0,58198000.0,62015000.0
Investments,1336000.0,187000.0,,1323000.0,,1315000.0,,1416000.0,,1504000.0,,0.0,0.0
Net Debt,-86229000.0,-90250000.0,-134000000,-97679000.0,-131000000,-91938000.0,-124000000,-70081000.0,-106000000,-26700000.0,-61000000,-18120000.0,-30015000.0
Other Assets,0.0,0.0,13000000,0.0,12000000,0.0,12000000,0.0,12000000,0.0,13000000,0.0,0.0
Other Liabilities,-17637000.0,-2829000.0,7000000,-8519000.0,6000000,-13609000.0,5000000,-12041000.0,6000000,-12394000.0,8000000,-1470000.0,-4355000.0
