Date,2018-12-31,2017-12-31,2017-04-30,2016-12-31,2016-04-30,2015-12-31,2015-04-30,2014-04-30,2013-04-30,2012-04-30,2011-04-30,2010-04-30
Cash and cash equivalents,4303480.0,811283.0,1659318.0,4879106.0,2235597.0,5584309.0,2364360.0,2177070.0,1410223.0,0.0,2177070.0,3279401.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,4303480.0,811283.0,1659318.0,4879106.0,2235597.0,5584309.0,2364360.0,2177070.0,1410223.0,0.0,2177070.0,3279401.0
Receivables,295626.0,23683683.0,4199674.0,27143036.0,2886154.0,34871011.0,6494890.0,8614396.0,8363089.0,0.0,5047101.0,4468909.0
Inventories,0.0,1475266.0,0.0,1972905.0,0.0,2720052.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,4927718.0,28557252.0,6810979.0,39369452.0,5545217.0,44689998.0,14005704.0,16608595.0,14595916.0,0.0,16608595.0,14595916.0
Property Plant & Equipment Net,39821.0,4309450.0,322643.0,6035353.0,237800.0,6468787.0,162986.0,1780520.0,3053455.0,0.0,176281.0,2526638.0
Goodwill and Intangible Assets,0.0,2313678.0,0.0,2848027.0,0.0,37031442.0,0.0,0.0,250632.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,6636765.0,666000.0
Total non-current assets,702438.0,,334127.0,,258962.0,,1151489.0,5413131.0,3549050.0,0.0,11693545.0,43663087.0
Total assets,5630156.0,35795399.0,7145106.0,51062997.0,5804179.0,88353085.0,15157193.0,22021726.0,18144966.0,0.0,22021726.0,18144966.0
Payables,2338560.0,19984329.0,1790256.0,13665144.0,2071765.0,14250310.0,5409361.0,4956232.0,4764487.0,0.0,5359806.0,4780967.0
Short-term debt,0.0,5123119.0,52946.0,7090220.0,53996.0,145633.0,39935.0,31680.0,0.0,0.0,76601.0,3567106.0
Total current liabilities,2591760.0,29686874.0,3948999.0,24595095.0,3484050.0,17711509.0,15252018.0,15409435.0,15080048.0,0.0,15997839.0,15080048.0
Long-term debt,0.0,223561.0,124559.0,26019.0,94825.0,5742381.0,44239.0,56537.0,133838.0,0.0,56537.0,133838.0
Total debt,0.0,,177505.0,,148821.0,,84174.0,88217.0,133838.0,0.0,7116239.0,5888014.0
Deferred revenue,253200.0,,2105797.0,,1358289.0,,1346461.0,0.0,113503.0,0.0,2831531.0,2356633.0
Tax Liabilities,0.0,,0.0,,0.0,,4908.0,30855.0,139557.0,0.0,0.0,2125879.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,,124559.0,,94825.0,,44239.0,111788.0,133838.0,0.0,26019.0,8487520.0
Total liabilities,2591760.0,29910435.0,4073558.0,24621114.0,3578875.0,26199029.0,15857172.0,16900581.0,19921532.0,0.0,16054376.0,19072394.0
Other comprehensive income,32791137,,89799347,,87045975,,75501094,69110106,50844183,0.0,1564965.0,398116.0
Retained earnings (deficit),-29753721.0,-47143662.0,-87077134.0,-26595831.0,-84820940.0,10235590.0,-76550894.0,-65222355.0,-54054389.0,0.0,-65222355.0,-54054389.0
Total shareholders equity,3038396.0,4767642.0,3071548.0,25403455.0,2225304.0,60981056.0,-699979.0,5121145.0,-1776566.0,0.0,5121145.0,-1776566.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-4303480.0,303705.0,-1481813.0,,-2086776.0,,-2280186.0,-2088853.0,-1276385.0,0.0,4535397.0,2237133.0
Other Assets,0.0,1514626.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2587020.0,5374405.0
Other Liabilities,0.0,4579426.0,0.0,3839731.0,0.0,3315566.0,560915.0,1379358.0,4707646.0,0.0,10561432.0,6731975.0
