Date,2018-12-31,2017-12-31
Cash and cash equivalents,175073563.2184,119288115.2461
Short-term investments,17490804.5977,20099639.8559
Cash and short-term investments,192564367.8161,139387755.102
Receivables,174841379.3103,25704681.8727
Inventories,0.0,0.0
Total current assets,367405747.1264,165092436.9748
Property Plant & Equipment Net,11742528.7356,12879951.9808
Goodwill and Intangible Assets,97159770.1149,55452581.0324
Long-term investments,40437931.0345,72591836.7347
Tax assets,1794252.8736,0.0
Total non-current assets,151233333.3333,141057623.0492
Total assets,518639080.4598,306150060.024
Payables,105350574.7126,29600240.096
Short-term debt,1548275.8621,1612244.898
Total current liabilities,226134482.7586,88726290.5162
Long-term debt,3649425.2874,5427370.9484
Total debt,5197701.1494,7039615.8463
Deferred revenue,172636781.6092,161961584.6339
Tax Liabilities,1794252.8736,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,100274712.6437,114235294.1176
Total liabilities,326409195.4023,202961584.6339
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-154932183.908,-182448979.5918
Total shareholders equity,192229885.0575,103188475.3902
Investments,57928735.6322,92691476.5906
Net Debt,,
Other Assets,,
Other Liabilities,119235632.1839,57513805.5222
