Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,756000000.0,658000000.0,390000000.0,140000000.0,159000000.0
Short-term investments,0.0,0.0,10000000.0,0.0,0.0
Cash and short-term investments,756000000.0,658000000.0,400000000.0,140000000.0,159000000.0
Receivables,782000000.0,1104000000.0,1286000000.0,1494000000.0,1586000000.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,1964000000.0,2710000000.0,1917000000.0,1874000000.0,3252000000.0
Property Plant & Equipment Net,328000000.0,257000000.0,283000000.0,280000000.0,291000000.0
Goodwill and Intangible Assets,4059000000.0,4257000000.0,5033000000.0,6297000000.0,6416000000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0
Tax assets,166000000.0,215000000.0,336000000.0,0.0,0.0
Total non-current assets,4716000000.0,4838000000.0,5792000000.0,7184000000.0,7702000000.0
Total assets,6680000000.0,7548000000.0,7709000000.0,9058000000.0,10954000000.0
Payables,230000000.0,138000000.0,164000000.0,264000000.0,242000000.0
Short-term debt,55000000.0,82000000.0,28000000.0,1156000000.0,2508000000.0
Total current liabilities,1197000000.0,1368000000.0,1402000000.0,2741000000.0,4139000000.0
Long-term debt,1512000000.0,1979000000.0,1913000000.0,37000000.0,43000000.0
Total debt,1567000000.0,2061000000.0,1941000000.0,1193000000.0,2551000000.0
Deferred revenue,112000000.0,151000000.0,206000000.0,227000000.0,230000000.0
Tax Liabilities,3000000.0,15000000.0,5000000.0,764000000.0,958000000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2151000000.0,2505000000.0,2779000000.0,1155000000.0,1404000000.0
Total liabilities,3458000000.0,4019000000.0,4421000000.0,3896000000.0,5543000000.0
Other comprehensive income,3878000000,3850000000,4338000000,-181000000.0,-129000000.0
Retained earnings (deficit),-233000000.0,171000000.0,-526000000.0,0.0,
Total shareholders equity,3222000000.0,3529000000.0,3288000000.0,5162000000.0,5411000000.0
Investments,0.0,0.0,10000000.0,0.0,0.0
Net Debt,811000000.0,1403000000.0,1551000000.0,1053000000.0,2392000000.0
Other Assets,0.0,0.0,0.0,240000000.0,1507000000.0
Other Liabilities,110000000.0,146000000.0,240000000.0,1321000000.0,1389000000.0
