Date,2019-03-31,2018-03-31,2018-03,2017-03-31,2017-03,2016-03-31,2016-03,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2012-03-31
Cash and cash equivalents,11480000.0,15102000.0,15000000.0,11992000.0,12000000.0,8602000.0,9000000.0,10608000.0,11000000.0,13839000.0,14000000.0,14104000.0,9420000.0
Short-term investments,2887000.0,1142000.0,,2471000.0,,5025000.0,,6997000.0,,8412000.0,,9400000.0,18953000.0
Cash and short-term investments,11480000.0,15102000.0,,11992000.0,,8602000.0,,10608000.0,,13839000.0,,14104000.0,9420000.0
Receivables,84122000.0,78796000.0,79000000.0,72080000.0,72000000.0,76788000.0,77000000.0,69837000.0,70000000.0,76964000.0,77000000.0,82933000.0,77105000.0
Inventories,501684000.0,680828000.0,681000000.0,598056000.0,598000000.0,567707000.0,568000000.0,472412000.0,472000000.0,451250000.0,451000000.0,479730000.0,432433000.0
Total current assets,603248000.0,778012000.0,778000000.0,688270000.0,688000000.0,673887000.0,674000000.0,587293000.0,587000000.0,584059000.0,584000000.0,611466000.0,543250000.0
Property Plant & Equipment Net,239273000.0,277025000.0,277000000.0,237476000.0,237000000.0,188837000.0,189000000.0,185557000.0,186000000.0,183917000.0,184000000.0,188407000.0,192825000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,2417000.0,10289000.0,10000000.0,0.0,000000.0,12897000.0,13000000.0,14829000.0,15000000.0,8412000.0,000000.0,2097000.0,403000.0
Total non-current assets,245634000.0,292419000.0,292000000.0,257749000.0,258000000.0,221440000.0,221000000.0,218401000.0,218000000.0,184794000.0,185000000.0,191683000.0,194786000.0
Total assets,848882000.0,1070431000.0,1070000000.0,946019000.0,946000000.0,895327000.0,895000000.0,805694000.0,806000000.0,768853000.0,769000000.0,803149000.0,738036000.0
Payables,61024000.0,69618000.0,70000000.0,72824000.0,73000000.0,67410000.0,67000000.0,68105000.0,68000000.0,71219000.0,71000000.0,72128000.0,61074000.0
Short-term debt,6763000.0,9815000.0,10000000.0,8334000.0,8000000.0,279815000.0,280000000.0,2530000.0,12000000.0,2277000.0,15000000.0,40170000.0,7336000.0
Total current liabilities,112377000.0,194354000.0,194000000.0,132277000.0,132000000.0,399458000.0,399000000.0,123748000.0,124000000.0,131288000.0,131000000.0,164567000.0,118168000.0
Long-term debt,265900000.0,414132000.0,414000000.0,329138000.0,329000000.0,35967000.0,36000000.0,271634000.0,272000000.0,216239000.0,216000000.0,230016000.0,226873000.0
Total debt,272663000.0,423947000.0,414000000.0,337472000.0,329000000.0,315782000.0,36000000.0,274164000.0,272000000.0,218516000.0,216000000.0,270186000.0,234209000.0
Deferred revenue,4098000.0,60657000.0,61000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,4154000.0,0.0
Tax Liabilities,396000.0,855000.0,000000.0,0.0,4000000.0,2974000.0,000000.0,1787000.0,000000.0,913000.0,0000000.0,4100000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,301366000.0,455857000.0,479000000.0,337094000.0,379000000.0,47909000.0,91000000.0,282253000.0,330000000.0,243933000.0,244000000.0,280816000.0,273832000.0
Total liabilities,431397000.0,673501000.0,674000000.0,511758000.0,512000000.0,490153000.0,490000000.0,453964000.0,454000000.0,375221000.0,375000000.0,435983000.0,383363000.0
Other comprehensive income,23227000,29312000,-25000000.0,32283000,-11000000.0,33008000,-28000000.0,37420000,-32000000.0,68698000,-11000000.0,67287000,96972000
Retained earnings (deficit),409504000.0,389647000.0,390000000.0,410129000.0,410000000.0,397539000.0,398000000.0,343104000.0,343000000.0,333228000.0,333000000.0,319472000.0,278082000.0
Total shareholders equity,417485000.0,396930000.0,397000000.0,434261000.0,434000000.0,405174000.0,405000000.0,351730000.0,352000000.0,393632000.0,394000000.0,367166000.0,354673000.0
Investments,2887000.0,1142000.0,,2471000.0,,5025000.0,,6997000.0,,8412000.0,,9400000.0,18953000.0
Net Debt,261183000.0,408845000.0,409000000,325480000.0,325000000,307180000.0,307000000,263556000.0,273000000,204677000.0,217000000,256082000.0,224789000.0
Other Assets,0.0,0.0,7000000,0.0,24000000,0.0,41000000,0.0,45000000,0.0,35000000,0.0,0.0
Other Liabilities,17654000.0,23290000.0,6000000,42387000.0,4000000,42786000.0,12000000,47963000.0,4000000,0.0,27000000,0.0,0.0
