Date,2019-03-31,2019-03-30,2018-03-31,2017-12-30,2016-12-31,2016-01-02,2015-12-31,2014-12-28,2013-12-28,2012-12-29,2011-12-31,2010-12-28,2009-12-28
Depreciation & Amortization,301005000.0,301005000.0,72000000.0,290503000.0,281577000.0,272075000.0,272000000.0,274883000.0,253273000.0,237956000.0,198735000.0,173396000.0,0.0
Stock-based compensation,105157000.0,81641000.0,67762000.0,81641000.0,67762000.0,73420000.0,92814000.0,104313000.0,87118000.0,92814000.0,76739000.0,63538000.0,0.0
Operating Cash Flow,1664223000.0,1664223000.0,-243000000.0,1474660000.0,1477919000.0,1146510000.0,1203000000.0,1697629000.0,1506041000.0,1275000000.0,1081371000.0,0.0,0.0
Capital Expenditure,0.0,-306841000.0,-54000000.0,0.0,0.0,0.0,-255000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,-320405000.0,109881000.0,-525573000.0,-740541000.0,-0.0,-0.0,0.0,-0.0,-0.0,-1750000.0,-2207065000.0,-0.0,-0.0
Investment purchases and sales,-150676000.0,0.0,0.0,-1200356000.0,-1000468000.0,-732623000.0,0.0,-727795000.0,-282024000.0,-307282000.0,-7420000.0,0.0,0.0
Investing Cash flow,469793000.0,-220632000.0,-56000000.0,-776251000.0,-112414000.0,-389505000.0,-323000000.0,-394716000.0,-343268000.0,-220291000.0,-2460033000.0,792239000.0,0.0
Issuance (repayment) of debt,-6264000.0,3177696000.0,432139000.0,-254314000.0,-13276000.0,-3975000.0,-395840000.0,-4760000.0,-404872000.0,-2776000.0,-2738000.0,-0.0,-0.0
Issuance (buybacks) of shares,-150676000.0,176068000.0,-1110463000.0,-1200356000.0,-1000468000.0,-732623000.0,-233995000.0,-727795000.0,-282024000.0,-307282000.0,-7420000.0,-792239000.0,0.0
Dividend payments,-767061000.0,-725492000.0,-684679000.0,-684679000.0,-635994000.0,-565275000.0,-402136000.0,-478933000.0,-402136000.0,-333229000.0,-285722000.0,-0.0,-0.0
Financing Cash Flow,-1591005000.0,-1591005000.0,407000000.0,-1363003000.0,-1076879000.0,-783295000.0,-840000000.0,-1107421000.0,-983831000.0,-802515000.0,912245000.0,0.0,0.0
Effect of forex changes on cash,14811000.0,14811000.0,12000000.0,2965000.0,-6369000.0,-66683000.0,-67000000.0,-65461000.0,7005000.0,4039000.0,15406000.0,0.0,0.0
Net cash flow / Change in cash,543011000.0,-132603000.0,120000000.0,566075000.0,282257000.0,-26290000.0,-26000000.0,195492000.0,178942000.0,256233000.0,-451011000.0,792239000.0,0.0
Free Cash Flow,1664223000.0,1239930000.0,1260502000.0,1474660000.0,1477919000.0,1146510000.0,992170000.0,1697629000.0,1506041000.0,1275000000.0,1081371000.0,0.0,0.0
Net Cash/Marketcap,0.0,-0.0685,-0.1122,0.0,0.0,0.0,-0.0851,0.0,0.0,0.0,0.0,0.0,0.0
