Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,1352000.0,482000.0,444000.0,425000.0
Stock-based compensation,4884000.0,2168000.0,928000.0,1104000.0
Operating Cash Flow,-28721000.0,-22106000.0,-17742000.0,-12517000.0
Capital Expenditure,1518000.0,-1132000.0,-526000.0,-554000.0
Acquisitions and disposals,-3801000.0,0.0,-300000.0,0.0
Investment purchases and sales,-150000.0,0.0,0.0,0.0
Investing Cash flow,-5454000.0,-1132000.0,-826000.0,-554000.0
Issuance (repayment) of debt,-0.0,-980000.0,257000.0,4661000.0
Issuance (buybacks) of shares,-44449000.0,8654000.0,45659000.0,43000.0
Dividend payments,-0.0,0.0,0.0,0.0
Financing Cash Flow,-78000.0,73249000.0,45916000.0,11704000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-34253000.0,50011000.0,27348000.0,-1367000.0
Free Cash Flow,-30239000.0,-23238000.0,-18268000.0,-13071000.0
Net Cash/Marketcap,0.0,0.1776,0.0265,0.0265
