Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,332000.0,923000.0,1000000.0,593000.0,1000000.0,681000.0,1000000.0,3304000.0,3000000.0,3263000.0,3000000.0,6745000.0,7138000.0
Short-term investments,143000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Cash and short-term investments,475000.0,923000.0,,593000.0,,681000.0,,3304000.0,,3263000.0,,6745000.0,7138000.0
Receivables,14042000.0,11017000.0,13000000.0,9297000.0,12000000.0,5973000.0,7000000.0,9359000.0,11000000.0,6427000.0,9000000.0,5035000.0,4271000.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,23969000.0,34103000.0,953000000.0,20446000.0,669000000.0,10144000.0,647000000.0,17044000.0,647000000.0,15425000.0,633000000.0,19394000.0,38083000.0
Property Plant & Equipment Net,688179000.0,655053000.0,655000000.0,416748000.0,417000000.0,388423000.0,388000000.0,385301000.0,385000000.0,407045000.0,407000000.0,427701000.0,431782000.0
Goodwill and Intangible Assets,9428000.0,9428000.0,56000000,8485000.0,8000000,8485000.0,9000000,8485000.0,9000000,8485000.0,9000000,8736000.0,8716000.0
Long-term investments,0.0,576000.0,233000000.0,344000.0,241000000.0,0.0,247000000.0,0.0,250000000.0,0.0,212000000.0,0.0,0.0
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current assets,975407000.0,952900000.0,597000000.0,669248000.0,295000000.0,646543000.0,251000000.0,647013000.0,256000000.0,633007000.0,218000000.0,550407000.0,476021000.0
Total assets,999376000.0,987003000.0,987000000.0,689694000.0,690000000.0,656687000.0,657000000.0,664057000.0,664000000.0,648432000.0,648000000.0,569801000.0,514104000.0
Payables,27007000.0,8527000.0,9000000.0,7928000.0,8000000.0,10874000.0,11000000.0,6887000.0,7000000.0,5717000.0,6000000.0,10810000.0,7936000.0
Short-term debt,456000.0,593200000.0,,291800000.0,,248000000.0,,252000000.0,,212000000.0,,184000000.0,0.0
Total current liabilities,56384000.0,25953000.0,26000000.0,21926000.0,22000000.0,21985000.0,22000000.0,16722000.0,17000000.0,21906000.0,22000000.0,26416000.0,27860000.0
Long-term debt,598622000.0,593200000.0,593000000.0,291800000.0,292000000.0,248000000.0,248000000.0,252000000.0,252000000.0,212000000.0,212000000.0,184000000.0,120000000.0
Total debt,599078000.0,1186400000.0,593000000.0,583600000.0,292000000.0,496000000.0,248000000.0,504000000.0,252000000.0,424000000.0,212000000.0,368000000.0,120000000.0
Deferred revenue,800000.0,2034000.0,000000.0,2240000.0,3000000.0,2151000.0,3000000.0,3419000.0,000000.0,5762000.0,6000000.0,9581000.0,0.0
Tax Liabilities,2993000.0,1381000.0,,1061000.0,,1019000.0,,892000.0,,767000.0,,658000.0,0.0
Deposit Liabilities,0.0,10265000.0,,8710000.0,,7277000.0,,2756000.0,,6739000.0,,4675000.0,0.0
Total non-current liabilities,603665000.0,596833000.0,597000000.0,295034000.0,295000000.0,250731000.0,251000000.0,255870000.0,256000000.0,218059000.0,218000000.0,194648000.0,134368000.0
Total liabilities,659649000.0,622786000.0,623000000.0,316960000.0,317000000.0,272716000.0,273000000.0,272592000.0,273000000.0,239965000.0,240000000.0,221064000.0,162228000.0
Other comprehensive income,339727000,364217000,311000000.0,372734000,320000000.0,383971000,326000000.0,391465000,334000000.0,408467000,351000000.0,349687000,353208000
Retained earnings (deficit),0.0,0.0,,0.0,,0.0,,0.0,,0.0,,-475000.0,-666000.0
Total shareholders equity,339727000.0,364217000.0,364000000.0,372734000.0,373000000.0,383971000.0,384000000.0,391465000.0,391000000.0,408467000.0,408000000.0,348737000.0,351876000.0
Investments,143000.0,576000.0,233000000.0,344000.0,241000000.0,0.0,247000000.0,0.0,250000000.0,0.0,212000000.0,0.0,0.0
Net Debt,598746000.0,1185477000.0,592000000,583007000.0,291000000,495319000.0,247000000,500696000.0,249000000,420737000.0,209000000,361255000.0,112862000.0
Other Assets,0.0,0.0,25000000,0.0,6000000,0.0,4000000,0.0,6000000,0.0,8000000,0.0,0.0
Other Liabilities,0.0,0.0,4000000,0.0,0,0.0,0,0.0,6000000,0.0,4000000,0.0,0.0
