Date,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09-30,2014-09,2013-09-30,2013-09
Cash and cash equivalents,152338389.0,,91849499.0,,30343225.0,,99462953.0,,161452481.0,
Short-term investments,183789821.0,,206336287.0,,184404089.0,,188743273.0,,215118407.0,
Cash and short-term investments,336128210.0,,298185786.0,,214747314.0,,288206226.0,,376570888.0,
Receivables,4197708.0,4000000.0,3442051.0,3000000.0,2668406.0,3000000.0,0.0,13000000.0,2728902.0,33000000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,
Total current assets,340325918.0,,301627837.0,,217415720.0,,288206226.0,,379299790.0,
Property Plant & Equipment Net,29578513.0,,28078591.0,,19660012.0,,20571541.0,,21750756.0,
Goodwill and Intangible Assets,42962211.0,39000000,32433364.0,30000000,4482508.0,4000000,4748958.0,4000000,5129168.0,4000000
Long-term investments,53516317.0,,49268973.0,,48423510.0,,47178128.0,,39825881.0,
Tax assets,5970282.0,,4366522.0,,5674095.0,,8231002.0,,11350745.0,
Total non-current assets,1299832642.0,,1136761399.0,,809663614.0,,722154912.0,,710106059.0,
Total assets,1640158560.0,1640000000.0,1438389236.0,1438000000.0,1027079334.0,1027000000.0,1010361138.0,1010000000.0,1089405849.0,1089000000.0
Payables,0.0,,0.0,,0.0,,0.0,,0.0,
Short-term debt,6724646.0,,0.0,,0.0,,0.0,,0.0,
Total current liabilities,6724646.0,,0.0,,0.0,,2770499.0,,4673371.0,
Long-term debt,60023100.0,67000000.0,50000000.0,57000000.0,62000000.0,62000000.0,55000000.0,55000000.0,60000000.0,60000000.0
Total debt,66747746.0,67000000.0,50000000.0,57000000.0,62000000.0,62000000.0,55000000.0,55000000.0,60000000.0,60000000.0
Deferred revenue,0.0,,0.0,,0.0,,2770499.0,,4673371.0,
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Deposit Liabilities,1339143287.0,,1161843586.0,,738855076.0,,717192200.0,,751296668.0,
Total non-current liabilities,63761968.0,,54231371.0,,65643594.0,,58214680.0,,63183332.0,
Total liabilities,1425960055.0,1426000000.0,1235239700.0,1235000000.0,822148724.0,822000000.0,785406269.0,785000000.0,815628013.0,816000000.0
Other comprehensive income,80977630,-6000000.0,78545454,-4000000.0,89803861,-5000000.0,113601847,-7000000.0,165248621,-8000000.0
Retained earnings (deficit),134207368.0,134000000.0,123349890.0,123000000.0,114362386.0,114000000.0,111924543.0,112000000.0,110141286.0,110000000.0
Total shareholders equity,214198505.0,214000000.0,203149536.0,203000000.0,204930610.0,205000000.0,224954869.0,225000000.0,273777836.0,274000000.0
Investments,237306138.0,,255605260.0,,232827599.0,,235921401.0,,254944288.0,
Net Debt,-85590643.0,67000000,-41849499.0,57000000,31656775.0,62000000,-44462953.0,55000000,-101452481.0,60000000
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Other Liabilities,1355473441.0,0,1181008329.0,0,756505130.0,0,724421090.0,0,747771310.0,0
