Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Cash and cash equivalents,2807000.0,7839000.0,8000000.0,2958000.0,3000000.0,7220000.0,7000000.0,3909000.0,4000000.0,6878000.0,7000000.0,0.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,2807000.0,7839000.0,,2958000.0,,7220000.0,,3909000.0,,6878000.0,,0.0
Receivables,2097000.0,5398000.0,5000000.0,4255000.0,4000000.0,2875000.0,3000000.0,5524000.0,6000000.0,5470000.0,5000000.0,0.0
Inventories,2647000.0,7125000.0,7000000.0,7918000.0,8000000.0,6298000.0,6000000.0,5919000.0,6000000.0,8697000.0,9000000.0,0.0
Total current assets,8218000.0,21330000.0,4000000.0,16699000.0,8000000.0,16393000.0,10000000.0,16814000.0,12000000.0,22802000.0,13000000.0,0.0
Property Plant & Equipment Net,714000.0,1158000.0,1000000.0,1538000.0,2000000.0,1357000.0,1000000.0,1459000.0,1000000.0,2000000.0,2000000.0,0.0
Goodwill and Intangible Assets,1051000.0,1483000.0,1000000,6560000.0,7000000,7839000.0,8000000,9378000.0,10000000,10456000.0,10000000,0.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,644000.0,554000.0,1000000.0,441000.0,000000.0,466000.0,000000.0,384000.0,000000.0,557000.0,000000.0,0.0
Total non-current assets,2596000.0,3500000.0,000000.0,8403000.0,8000000.0,11946000.0,8000000.0,11555000.0,8000000.0,12639000.0,8000000.0,0.0
Total assets,10814000.0,24830000.0,25000000.0,25102000.0,25000000.0,28339000.0,28000000.0,28369000.0,28000000.0,35441000.0,35000000.0,0.0
Payables,2059000.0,5979000.0,6000000.0,5012000.0,5000000.0,3022000.0,3000000.0,5370000.0,5000000.0,5608000.0,6000000.0,0.0
Short-term debt,0.0,1803000.0,3000000.0,3513000.0,4000000.0,2841000.0,3000000.0,2258000.0,2000000.0,100000.0,5000000.0,0.0
Total current liabilities,6433000.0,16227000.0,16000000.0,16913000.0,17000000.0,7322000.0,14000000.0,14688000.0,15000000.0,15720000.0,16000000.0,0.0
Long-term debt,0.0,0.0,000000.0,7559000.0,8000000.0,7476000.0,7000000.0,7549000.0,000000.0,7478000.0,7000000.0,0.0
Total debt,0.0,1803000.0,000000.0,11072000.0,8000000.0,10317000.0,7000000.0,9807000.0,000000.0,7578000.0,7000000.0,0.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax Liabilities,789000.0,642000.0,000000.0,534000.0,0000000.0,1459000.0,0000000.0,1058000.0,1000000.0,22000.0,1000000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,284000.0,0.0,000000.0,7752000.0,8000000.0,7835000.0,8000000.0,8235000.0,8000000.0,8275000.0,8000000.0,0.0
Total liabilities,6433000.0,16227000.0,16000000.0,24665000.0,25000000.0,21346000.0,21000000.0,22923000.0,23000000.0,23995000.0,24000000.0,0.0
Other comprehensive income,238455000,237838000,-6000000.0,205235000,-5000000.0,200771000,-3000000.0,188108000,-1000000.0,186106000,-0000000.0,0.0
Retained earnings (deficit),-228346000.0,-223063000.0,-223000000.0,-199589000.0,-200000000.0,-191055000.0,-191000000.0,-181719000.0,-182000000.0,-174621000.0,-175000000.0,0.0
Total shareholders equity,4381000.0,8603000.0,9000000.0,437000.0,0000000.0,6993000.0,7000000.0,5446000.0,5000000.0,11446000.0,11000000.0,0.0
Investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Debt,-2807000.0,-6036000.0,-5000000,8114000.0,9000000,3097000.0,3000000,5898000.0,-2000000,700000.0,5000000,0.0
Other Assets,0.0,0.0,0,0.0,0,0.0,1000000,0.0,1000000,0.0,0,0.0
Other Liabilities,-284000.0,0.0,4000000,0.0,5000000,6189000.0,3000000,0.0,8000000,0.0,2000000,0.0
