date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2103484000.0,2970890000.0,2815775000.0,2079818658.54,1008586950.0,88918458.54,-157651532.35,-56517798.24,-23962308.59
,depreciationAndAmortization,366248000.0,356191000.0,241268000.0,81190788.84,58355695.2,43144635.72,17399667.45,5102722.08,917546.07
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,678686000.0,1408232000.0,580813000.0,324195159.33,220160122.8,112840815.24,41176111.42,5836011.12,3695151.52
,changeInWorkingCapital,-145729000.0,672823000.0,-275582000.0,317947203.0,212771919.6,129135283.44,61875822.75,14459732.64,-6266777.24
,accountsReceivables,52247000.0,442176000.0,-440644000.0,-8004173.94,-159554636.4,-55427159.16,-32287083.45,-11550817.44,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-11716000.0,52246000.0,233713000.0,168296570.82,222333532.2,34237858.68,27876686.46,2048361.12,0.0
,otherWorkingCapital,-25836000.0,-19792000.0,-90946000.0,74590283.25,105226345.2,96481428.84,74610766.52,22162297.68,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,3080889000.0,5448886000.0,3327718000.0,2791713544.83,1515907921.8,371669678.64,-36802932.97,-31119332.4,-25616388.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-124143000.0,-186522000.0,-242843000.0,-210968088.66,-48787138.8,-87775898.22,-54215006.6,-19277623.44,-6497724.21
,acquisitionsNet,0.0,0.0,-483000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-14973165000.0,-22590635000.0,-20864627000.0,-3984870814.47,-3657917458.2,-3050240053.38,-5018299.81,0.0,-5935961.31
,salesMaturitiesOfInvestments,19599159000.0,19046430000.0,14390093000.0,4037028518.88,2884482295.2,973773000.0,0.0,0.0,0.0
,otherInvestingActivites,-5250000000.0,-300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-748466000.0,-4029919000.0,-10034004000.0,-178298523.9,-821784842.4,-2164242951.6,-59233306.41,-19277623.44,-12433685.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-2041680000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,1805173627.08,0.0,0.0
,commonStockRepurchased,-330206000.0,0.0,0.0,0.0,0.0,0.0,-550797173.46,0.0,0.0
,dividendsPaid,-1123983000.0,-877346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-18355000.0,-396621000.0,-8550000.0,-940131.36,-2215072.2,-17099453.88,-10619690.08,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-1498150000.0,-1273780000.0,4687951000.0,2742049.8,97213.2,-14496234.06,2557261071.04,272710800.0,147000867.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-80944000.0,-478000.0,24175000.0,179839294.74,-82506231.6,-20371331.16,-7319646.2,915096.24,-212221.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,753329000.0,144709000.0,-1994160000.0,2795996365.47,611714061.0,-1827440838.18,2453905185.46,223228940.4,108738572.01
,cashAtEndOfPeriod,3366072000.0,2612743000.0,2468034000.0,4477551876.63,1788472903.2,1100162243.58,2797395091.12,335579729.76,115716915.59
,cashAtBeginningOfPeriod,2612743000.0,2468034000.0,4462194000.0,1681555511.16,1176758842.2,2927603081.76,343489905.66,112350789.36,6978343.58
,operatingCashFlow,3080889000.0,5448886000.0,3327718000.0,2791713544.83,1515907921.8,371669678.64,-36802932.97,-31119332.4,-25616388.24
,capitalExpenditure,-124143000.0,-186522000.0,-242843000.0,-230508457.83,-48787138.8,-87775898.22,-54215006.6,-19277623.44,-6497724.21
,freeCashFlow,2956746000.0,5262364000.0,3084875000.0,2561205087.0,1467120783.0,283893780.42,-91017939.57,-50396955.84,-32114112.45
