Date,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,262000000.0,177000000.0,160000000.0,345000000.0,338000000.0
Stock-based compensation,-1000000.0,40000000.0,37000000.0,15000000.0,13000000.0
Operating Cash Flow,266000000.0,292000000.0,181000000.0,272000000.0,415000000.0
Capital Expenditure,-613000000.0,-1558000000.0,-319000000.0,-672000000.0,-1361000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,12000000,30000000,-50000000,0
Investing Cash flow,-616000000.0,-1383000000.0,-109000000.0,-294000000.0,-1361000000.0
Issuance (repayment) of debt,-106000000.0,-144000000.0,-60000000.0,000000.0,-100000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,363000000.0,773000000.0,-6000000.0,-16000000.0,1266000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,13000000.0,-317000000.0,67000000.0,-39000000.0,320000000.0
Free Cash Flow,-347000000.0,-1266000000.0,-137000000.0,-400000000.0,-946000000.0
Net Cash/Marketcap,,,,,
