date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,211700000.0,147000000.0,268900000.0,389900000.0,156851000.0,140932000.0,133568000.0,95474000.0
,depreciationAndAmortization,290500000.0,292900000.0,291300000.0,279000000.0,266031000.0,236330000.0,230008000.0,212557000.0
,deferredIncomeTax,1700000.0,-200000.0,62200000.0,-152000000.0,75574000.0,86719000.0,57257000.0,20731000.0
,stockBasedCompensation,8900000.0,-3600000.0,22800000.0,17000000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,30500000.0,138800000.0,169700000.0,-49000000.0,-23527000.0,44525000.0,-47413000.0,-31788000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,3000000.0,16000000.0,-552000.0,32441000.0,5448000.0,-1425000.0
,otherWorkingCapital,3800000.0,940500000.0,801700000.0,632000000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,64400000.0,132100000.0,-3500000.0,-14200000.0,-1360000.0,-955000.0,-963000.0,53000.0
,netCashProvidedByOperatingActivites,618200000.0,636300000.0,566500000.0,461300000.0,455313000.0,485557000.0,345749000.0,278283000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-419000000.0,-465700000.0,-512500000.0,-532000000.0,-547522000.0,-607260000.0,-579405000.0,-370360000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-34000000.0,-17400000.0,-20100000.0,0.0,-14228000.0,-18581000.0,-13032000.0,-17256000.0
,salesMaturitiesOfInvestments,24200000.0,22100000.0,9900000.0,10500000.0,11098000.0,15166000.0,12084000.0,16795000.0
,otherInvestingActivites,22700000.0,20700000.0,94600000.0,61000000.0,63481000.0,57017000.0,43091000.0,27847000.0
,netCashUsedForInvestingActivites,-318700000.0,-350200000.0,-337600000.0,-390500000.0,-513347000.0,-483302000.0,-475724000.0,-270463000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-55600000.0,-52000000.0,-28700000.0,-258700000.0,-118052000.0,-277419000.0,-211013000.0,-197381000.0
,commonStockIssued,0.0,0.0,0.0,340600000.0,2299000.0,3262000.0,1268000.0,3226000.0
,commonStockRepurchased,0.0,0.0,0.0,-100000.0,-1430000.0,-2149000.0,-6430000.0,-7054000.0
,dividendsPaid,-400000000.0,-42500000.0,-40700000.0,-25500000.0,-31265000.0,-25158000.0,-20697000.0,-16001000.0
,otherFinancingActivites,0.0,-18700000.0,-19300000.0,-19400000.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-455600000.0,-113200000.0,-88700000.0,36900000.0,28145000.0,8536000.0,109028000.0,-7210000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-156100000.0,172900000.0,140200000.0,107700000.0,-29889000.0,10791000.0,-20947000.0,610000.0
,cashAtEndOfPeriod,395500000.0,551600000.0,378700000.0,238500000.0,130787000.0,160676000.0,149885000.0,170832000.0
,cashAtBeginningOfPeriod,551600000.0,378700000.0,238500000.0,130800000.0,160676000.0,149885000.0,170832000.0,170222000.0
,operatingCashFlow,618200000.0,636300000.0,566500000.0,461300000.0,455313000.0,485557000.0,345749000.0,278283000.0
,capitalExpenditure,-419000000.0,-465700000.0,-512500000.0,-532000000.0,-547522000.0,-607260000.0,-579405000.0,-370360000.0
,freeCashFlow,199200000.0,170600000.0,54000000.0,-70700000.0,-92209000.0,-121703000.0,-233656000.0,-92077000.0
