Date,2004-08,2003-08,2002-08,2001-08,2000-08
Cash and cash equivalents,129000000.0,175000000.0,169000000.0,111000000.0,000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,636000000.0,679000000.0,736000000.0,689000000.0,000000.0
Inventories,1343000000.0,1407000000.0,1302000000.0,1203000000.0,000000.0
Total current assets,2249000000.0,2810000000.0,2722000000.0,1863000000.0,000000.0
Property Plant & Equipment Net,921000000.0,966000000.0,2722000000.0,1863000000.0,000000.0
Goodwill and Intangible Assets,1234000000,1273000000,0,0,0
Long-term investments,73000000.0,85000000.0,000000.0,000000.0,000000.0
Tax assets,,,,,
Total non-current assets,2301000000.0,2144000000.0,2150000000.0,1498000000.0,000000.0
Total assets,4357000000.0,5071000000.0,4929000000.0,3866000000.0,000000.0
Payables,,,,,
Short-term debt,378000000.0,772000000.0,971000000.0,770000000.0,000000.0
Total current liabilities,1466000000.0,1933000000.0,1993000000.0,1959000000.0,000000.0
Long-term debt,1735000000.0,000000.0,000000.0,000000.0,000000.0
Total debt,1735000000.0,000000.0,000000.0,000000.0,000000.0
Deferred revenue,,,,,
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,2301000000.0,2144000000.0,2150000000.0,1498000000.0,000000.0
Total liabilities,3767000000.0,4077000000.0,4143000000.0,3457000000.0,000000.0
Other comprehensive income,-855000000.0,-747000000.0,-743000000.0,-755000000.0,000000.0
Retained earnings (deficit),1003000000.0,1299000000.0,1087000000.0,871000000.0,000000.0
Total shareholders equity,590000000.0,994000000.0,786000000.0,409000000.0,000000.0
Investments,73000000.0,85000000.0,000000.0,000000.0,000000.0
Net Debt,1984000000,597000000,802000000,659000000,0
Other Assets,21000000,486000000,0,0,0
Other Liabilities,1654000000,3305000000,3172000000,2687000000,0
