Date,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,1007269.0,76048.0,721417.0
Short-term investments,116855.0,150131.0,0.0
Cash and short-term investments,1124124.0,226179.0,721417.0
Receivables,1893471.0,281234.0,147233.0
Inventories,2375607.0,3043242.0,251627.0
Total current assets,11612514.0,9437980.0,3975958.0
Property, Plant & Equipment Net,11099501.0,8666441.0,1021058.0
Goodwill and Intangible Assets,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0
Tax assets,966310.0,0.0,0.0
Total non-current assets,10090688.0,7067467.0,3273681.0
Total assets,19450275.0,14325603.0,5674585.0
Payables,2352077.0,922260.0,99716.0
Short-term debt,0.0,0.0,0.0
Total current liabilities,9239059.0,7136321.0,1111397.0
Long-term debt,9981686.0,6988023.0,3273681.0
Total debt,9981686.0,6988023.0,3273681.0
Deferred revenue,4880481.0,5081609.0,559124.0
Tax Liabilities,99673.0,10062.0,88800.0
Deposit Liabilities,38422.0,0.0,0.0
Total non-current liabilities,10090688.0,7067467.0,3273681.0
Total liabilities,19329747.0,14203788.0,4385078.0
Other comprehensive income,726543.0,406182.0,-101866.0
Retained earnings (deficit),-38819083.0,-15096775.0,-1920007.0
Total shareholders equity,102710.0,121815.0,1289507.0
Investments,0.0,0.0,0.0
Net Debt,8857562.0,,
Other Assets,2444559.0,,
Other Liabilities,6886982.0,6214061.0,1011681.0
