date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,53300000.0,10700000.0,-44800000.0,99800000.0,-132200000.0,-74800000.0,-52700000.0,14700000.0,17100000.0,-3900000.0,3000000.0,17200000.0,-91300000.0,10400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,138100000.0,-104200000.0,-712300000.0,678400000.0,-523400000.0,337200000.0,183000000.0,495700000.0,108100000.0,-13100000.0,-21500000.0,176800000.0,-330600000.0,136900000.0
,cashAtEndOfPeriod,1839300000.0,1701200000.0,1805400000.0,2006400000.0,1328000000.0,1851400000.0,1514200000.0,1331200000.0,835500000.0,727400000.0,740500000.0,762000000.0,585200000.0,915800000.0
,cashAtBeginningOfPeriod,1701200000.0,1805400000.0,2517700000.0,1328000000.0,1851400000.0,1514200000.0,1331200000.0,835500000.0,727400000.0,740500000.0,762000000.0,585200000.0,915800000.0,778900000.0
,operatingCashFlow,1230300000.0,1116600000.0,828800000.0,1370700000.0,129300000.0,1053500000.0,1200400000.0,780200000.0,819300000.0,964800000.0,379200000.0,362700000.0,495700000.0,913700000.0
,capitalExpenditure,-115000000.0,-124300000.0,-102500000.0,-111700000.0,-147700000.0,-124500000.0,-133200000.0,-88200000.0,-99300000.0,-107000000.0,-89600000.0,-39500000.0,-84100000.0,-36700000.0
,freeCashFlow,1115300000.0,992300000.0,726300000.0,1259000000.0,-18400000.0,929000000.0,1067200000.0,692000000.0,720000000.0,857800000.0,289600000.0,323200000.0,411600000.0,877000000.0
