date,,2020-02-29_FY,2019-03-02_FY,2018-03-03_FY,2017-02-25_FY,2016-02-27_FY,2015-02-28_FY,2014-03-01_FY,2013-03-02_FY,2012-02-25_FY,2011-02-26_FY,2010-02-27_FY,2009-02-28_FY,2008-03-01_FY,2007-03-03_FY,2006-02-25_FY,2005-02-26_FY,2004-02-28_FY,2003-03-01_FY,2002-03-02_FY,2001-03-03_FY,2000-02-26_FY,1999-02-27_FY,1998-02-28_FY,1997-03-01_FY,1996-02-29_FY,1995-02-28_FY,1994-02-28_FY,1993-02-28_FY,1992-02-29_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-613816000.0,-137224000.0,424858000.0,685108000.0,841489000.0,957474000.0,1022000000.0,1038000000.0,990000000.0,791000000.0,600000000.0,425123000.0,563000000.0,594000000.0,573000000.0,505000000.0,399000000.0,302000000.0,220000000.0,172000000.0,131000000.0,97000000.0,73100000.0,55000000.0,39500000.0,30000000.0,21900000.0,16000000.0,12000000.0
,depreciationAndAmortization,342511000.0,338825000.0,313107000.0,290914000.0,273947000.0,239193000.0,220100000.0,194700000.0,183900000.0,183800000.0,184200000.0,175601000.0,157800000.0,133000000.0,111100000.0,97500000.0,84600000.0,74800000.0,62500000.0,46700000.0,31600000.0,23200000.0,18200000.0,13400000.0,9900000.0,7200000.0,4200000.0,2600000.0,1800000.0
,deferredIncomeTax,-145543000.0,-104089000.0,175351000.0,24878000.0,56997000.0,-22295000.0,11700000.0,17600000.0,30200000.0,-16000000.0,-22800000.0,-22325000.0,2300000.0,-56200000.0,-25900000.0,4100000.0,-3100000.0,-13300000.0,1700000.0,-3900000.0,-8200000.0,-5200000.0,-6300000.0,-2900000.0,0.0,0.0,-1400000.0,-1700000.0,0.0
,stockBasedCompensation,45676000.0,58514000.0,70510000.0,71911000.0,66965000.0,66539000.0,56244000.0,47163000.0,45223000.0,44276000.0,44235000.0,0.0,43755000.0,52596000.0,26439000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-472581000.0,26947000.0,245993000.0,-399337000.0,-182185000.0,187022000.0,-278400000.0,-571500000.0,52400000.0,337700000.0,803869000.0,544231000.0,-487900000.0,471100000.0,-141000000.0,23600000.0,285600000.0,198800000.0,182900000.0,171900000.0,93000000.0,91900000.0,54000000.0,34000000.0,15800000.0,17400000.0,20000000.0,2600000.0,-14600000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,506334000.0,106928000.0,176672000.0,-38493000.0,-121748000.0,-161506000.0,-112742000.0,-198407000.0,-102983000.0,-209204000.0,-117364000.0,-25358000.0,-96673000.0,-204080000.0,-149692000.0,-139694000.0,-27058000.0,-145789000.0,-147300000.0,-136300000.0,-110100000.0,-89900000.0,-83200000.0,-38800000.0,-40000000.0,-33400000.0,-31900000.0,-2500000.0,-15400000.0
,accountsPayables,-124206000.0,-90657000.0,13210000.0,49458000.0,-48148000.0,44563000.0,178132000.0,105251000.0,31582000.0,102307000.0,96279000.0,0.0,-31764000.0,75883000.0,64892000.0,51875000.0,19341000.0,86144000.0,-78500000.0,-47300000.0,-45700000.0,-34700000.0,0.0,-8800000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1359759000.0,1832340000.0,1805393000.0,1559400000.0,1958737000.0,2140922000.0,1953900000.0,2232300000.0,2803800000.0,2751400000.0,2413700000.0,1609831000.0,1065600000.0,1553500000.0,1082400000.0,1223400000.0,1199800000.0,914200000.0,715400000.0,532500000.0,360600000.0,267600000.0,175700000.0,121700000.0,87700000.0,71900000.0,54500000.0,34500000.0,31900000.0
,otherNonCashItems,-3446000.0,537503000.0,70441000.0,70879000.0,67363000.0,-2244000.0,67300000.0,61100000.0,43700000.0,39100000.0,37800000.0,42525000.0,48000000.0,62800000.0,49600000.0,28700000.0,66000000.0,32200000.0,32000000.0,48300000.0,8900000.0,11500000.0,0.0,0.0,0.0,0.0,-100000.0,1600000.0,6500000.0
,netCashProvidedByOperatingActivites,590941000.0,918278000.0,859689000.0,1043271000.0,1022554000.0,1185848000.0,1393600000.0,1193000000.0,1225300000.0,987400000.0,905400000.0,583970000.0,614500000.0,613600000.0,660400000.0,607000000.0,544400000.0,419300000.0,338000000.0,197900000.0,135900000.0,92600000.0,47900000.0,60700000.0,37100000.0,23200000.0,-1800000.0,25400000.0,5700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-325366000.0,-375793000.0,-373574000.0,-328395000.0,0.0,-317180000.0,-314682000.0,-243374000.0,-183474000.0,-153680000.0,-215859000.0,-358200000.0,-317500000.0,-220400000.0,-181400000.0,-109000000.0,-135300000.0,-121600000.0,-140400000.0,-90100000.0,-62300000.0,-41300000.0,-35100000.0,-24500000.0,-24500000.0,-19700000.0,-10400000.0,-5900000.0
,acquisitionsNet,0.0,0.0,-6119000.0,-201277000.0,0.0,0.0,0.0,-643098000.0,0.0,0.0,0.0,0.0,-85893000.0,0.0,0.0,0.0,-175487000.0,-24097000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-443500000.0,-148073000.0,-252433000.0,-547022000.0,-1100585000.0,-298094000.0,-1283995000.0,-1001280000.0,-1217956000.0,-687605000.0,-94857000.0,-4786000.0,-1495155000.0,-124125000.0,-442356000.0,-484793000.0,-361013000.0,-368008000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,545000000.0,11183000.0,0.0,0.0,0.0,677500000.0,0.0,0.0,0.0,0.0,0.0,107550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-47426000.0,-40067000.0,629944000.0,1153348000.0,0.0,1241425000.0,1293268000.0,1097330000.0,530120000.0,-240155000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
