date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY,2016-10-31_FY,2015-10-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY,2009-10-31_FY,2008-10-31_FY,2007-10-31_FY,2006-10-31_FY,2005-10-31_FY,2004-10-31_FY,2003-10-31_FY,2002-10-31_FY,2001-10-31_FY,2000-10-31_FY,1999-10-31_FY,1998-10-31_FY,1997-10-31_FY,1996-10-31_FY,1995-10-31_FY,1994-10-31_FY,1993-10-31_FY,1992-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-89107000.0,-77568000.0,-47334000.0,-53903000.0,-50957000.0,-29359000.0,-38125000.0,-34358000.0,-35495000.0,-45713000.0,-55663000.0,-68674000.0,-93357000.0,-68674000.0,-76105000.0,-68186000.0,-86443000.0,-67414000.0,-48840000.0,-15438000.0,-4459000.0,-1000000.0,-400000.0,400000.0,500000.0,400000.0,200000.0,300000.0,100000.0
,depreciationAndAmortization,19377000.0,12353000.0,8648000.0,8518000.0,4949000.0,4099000.0,4384000.0,4097000.0,5192000.0,6431000.0,7438000.0,9427000.0,8801000.0,9185000.0,9391000.0,7310000.0,8411000.0,6374000.0,3783000.0,2034000.0,1880000.0,1800000.0,1900000.0,2200000.0,2200000.0,2100000.0,2000000.0,1900000.0,1200000.0
,deferredIncomeTax,0.0,0.0,-3035000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,291000.0,0.0,0.0,600000.0,-700000.0,-100000.0,0.0,0.0,-100000.0,0.0,0.0
,stockBasedCompensation,1868000.0,2804000.0,3238000.0,4585000.0,3425000.0,3157000.0,2908000.0,2226000.0,2054000.0,2577000.0,2965000.0,4815000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-15139000.0,4247000.0,48251000.0,-38138000.0,-7081000.0,-21990000.0,-35813000.0,8927000.0,-36147000.0,25410000.0,6664000.0,-13832000.0,13384000.0,-3857000.0,12461000.0,796000.0,2091000.0,2201000.0,-10891000.0,204356000.0,64617000.0,-3100000.0,3900000.0,-1700000.0,-100000.0,600000.0,-700000.0,-100000.0,-1600000.0
,accountsReceivables,-6271000.0,4842000.0,48731000.0,-51276000.0,30235000.0,3173000.0,-15378000.0,-12000000.0,-14066000.0,-4046000.0,4480000.0,-6792000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-2111000.0,-6427000.0,31714000.0,-7972000.0,-8052000.0,-10100000.0,1059000.0,-5901000.0,-7600000.0,-6697000.0,-7971000.0,-910000.0,5058000.0,-11517000.0,-1980000.0,2480000.0,1333000.0,-1973000.0,-7647000.0,-6029000.0,899000.0,-1200000.0,0.0,0.0,100000.0,-100000.0,0.0,1200000.0,-1000000.0
,accountsPayables,-7059000.0,-173000.0,-19846000.0,25020000.0,-3019000.0,-7224000.0,-1566000.0,11776000.0,-1790000.0,3405000.0,774000.0,-7050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,175082000.0,21587000.0,70182000.0,105432000.0,150206000.0,129010000.0,141970000.0,83066000.0,61029000.0,18783000.0,48171000.0,77793000.0,59606000.0,158687000.0,105868000.0,138748000.0,156796000.0,143998000.0,218334000.0,276173000.0,71817000.0,7200000.0,10300000.0,6400000.0,8100000.0,8200000.0,7600000.0,8300000.0,8400000.0
,otherNonCashItems,8204000.0,6813000.0,6717000.0,6421000.0,3658000.0,2242000.0,1715000.0,2098000.0,-117000.0,340000.0,2367000.0,2390000.0,6140000.0,4461000.0,4890000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,-100000.0,0.0,100000.0,0.0,0.0
,netCashProvidedByOperatingActivites,-36781000.0,-30572000.0,16322000.0,-71845000.0,-46595000.0,-44274000.0,-57468000.0,-16658000.0,-58659000.0,-8485000.0,-34992000.0,-65203000.0,-61407000.0,-55969000.0,-48409000.0,-55974000.0,-64052000.0,-58835000.0,-55594000.0,-16415000.0,320000.0,100000.0,2500000.0,2300000.0,1400000.0,6900000.0,900000.0,3200000.0,-200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7368000.0,-4409000.0,-11287000.0,-14072000.0,-7921000.0,-6630000.0,-15373000.0,-19094000.0,-4155000.0,-1200000.0,-1700000.0,-2800000.0,-1900000.0,-1500000.0,-1300000.0,-700000.0,-1400000.0
,acquisitionsNet,-1000000.0,-35000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60277000.0,-600000.0,0.0,-277674000.0,-139676000.0,-432424000.0,-96433000.0,-150680000.0,-167288000.0,-33663000.0,0.0,0.0,0.0,0.0,0.0,-3900000.0,-400000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,0.0,32500000.0,41000000.0,0.0,312120000.0,202761000.0,382608000.0,101546000.0,155659000.0,82500000.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,2300000.0,0.0,0.0,0.0
,otherInvestingActivites,-32138000.0,-67149000.0,-41232000.0,-19726000.0,-33726000.0,0.0,0.0,0.0,0.0,21381000.0,0.0,0.0,11187000.0,-2000000.0,0.0,0.0,68917000.0,-1500000.0,0.0,0.0,6000.0,-300000.0,0.0,-100000.0,-100000.0,-1200000.0,-1400000.0,-1100000.0,0.0
,netCashUsedForInvestingActivites,-32520000.0,-69300000.0,-51260000.0,-31444000.0,-41452000.0,-6930000.0,-7079000.0,-6194000.0,7547000.0,18031000.0,-30258000.0,37812000.0,3819000.0,28037000.0,51798000.0,-63888000.0,66109000.0,-3151000.0,-100161000.0,-52757000.0,-4149000.0,-900000.0,-1700000.0,-900000.0,0.0,-4300000.0,-3100000.0,-1800000.0,-1400000.0
