date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-28_FY,2011-12-30_FY,2010-12-31_FY,2010-01-01_FY,2009-01-02_FY,2007-12-28_FY,2006-12-29_FY,2005-12-30_FY,2004-12-31_FY,2004-01-02_FY,2003-01-03_FY,2001-12-28_FY,2000-12-29_FY,1999-12-31_FY,1999-01-01_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-267000000.0,1273000000.0,1907000000.0,1372000000.0,780000000.0,859000000.0,753000000.0,626000000.0,571000000.0,198000000.0,458000000.0,-346000000.0,362000000.0,696000000.0,608000000.0,669000000.0,596000000.0,502000000.0,277000000.0,236000000.0,479000000.0,400000000.0,390000000.0
,depreciationAndAmortization,478000000.0,403000000.0,284000000.0,290000000.0,168000000.0,139000000.0,148000000.0,127000000.0,145000000.0,168000000.0,178000000.0,185000000.0,190000000.0,197000000.0,188000000.0,184000000.0,166000000.0,160000000.0,187000000.0,222000000.0,195000000.0,162000000.0,140000000.0
,deferredIncomeTax,-478000000.0,-200000000.0,-239000000.0,828000000.0,76000000.0,143000000.0,71000000.0,73000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87000000.0,0.0
,stockBasedCompensation,201000000.0,187000000.0,184000000.0,181000000.0,212000000.0,113000000.0,109000000.0,0.0,77000000.0,86000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-28000000.0,181000000.0,-468000000.0,-1487000000.0,73000000.0,-710000000.0,-367000000.0,526000000.0,-64000000.0,-2115000000.0,317000000.0,-271000000.0,139000000.0,-96000000.0,774000000.0,428000000.0,125000000.0,-72000000.0,-791000000.0,830000000.0,-359000000.0,-64000000.0,193000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128000000.0,0.0,-81000000.0,-31000000.0,117000000.0,12000000.0,0.0,119000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-4000000.0,-17000000.0,54000000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113000000.0,0.0,115000000.0,-32000000.0,-37000000.0,-32000000.0,0.0,342000000.0
,otherWorkingCapital,0.0,-3550000000.0,-3731000000.0,-3263000000.0,-1776000000.0,-1849000000.0,-1139000000.0,-772000000.0,-1298000000.0,-1234000000.0,881000000.0,564000000.0,835000000.0,696000000.0,792000000.0,18000000.0,-410000000.0,-535000000.0,-463000000.0,328000000.0,-502000000.0,-143000000.0,-79000000.0
,otherNonCashItems,1730000000.0,442000000.0,491000000.0,371000000.0,523000000.0,302000000.0,263000000.0,99000000.0,79000000.0,619000000.0,86000000.0,1097000000.0,-193000000.0,-23000000.0,217000000.0,108000000.0,0.0,-89000000.0,-2000000.0,-83000000.0,-147000000.0,0.0,6000000.0
,netCashProvidedByOperatingActivites,1639000000.0,1685000000.0,2357000000.0,2436000000.0,1582000000.0,1430000000.0,1224000000.0,1140000000.0,989000000.0,1089000000.0,1151000000.0,868000000.0,641000000.0,778000000.0,970000000.0,837000000.0,891000000.0,421000000.0,516000000.0,400000000.0,850000000.0,711000000.0,605000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-437000000.0,-183000000.0,0.0,-147000000.0,-357000000.0,-671000000.0,-529000000.0,-780000000.0,-181000000.0,-210000000.0,-292000000.0,-560000000.0,-1095000000.0,-990000000.0,-937000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-2392000000.0,-137000000.0,-184000000.0,-112000000.0,-210000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-7000000.0,0.0,-65000000.0,-1145000000.0,-1425000000.0,-29000000.0,0.0,0.0,0.0,0.0,-15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,121000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-90000000.0,-26000000.0,25000000.0,31000000.0,64000000.0,143000000.0,-82000000.0,27000000.0,997000000.0,1361000000.0,14000000.0,78000000.0,0.0,0.0,0.0,0.0,66000000.0,0.0,0.0,0.0,0.0,-233000000.0,0.0
,netCashUsedForInvestingActivites,35000000.0,-284000000.0,-52000000.0,1020000000.0,-2409000000.0,367000000.0,-313000000.0,-519000000.0,-585000000.0,-247000000.0,-264000000.0,-69000000.0,-483000000.0,125000000.0,119000000.0,-130000000.0,287000000.0,284000000.0,317000000.0,-481000000.0,-1026000000.0,-787000000.0,-724000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4177000000.0,-835000000.0,-397000000.0,-310000000.0,-326000000.0,-325000000.0,-7000000.0,-407000000.0,-370000000.0,-264000000.0,-810000000.0,-238000000.0,0.0,0.0,0.0,-523000000.0,0.0,-273000000.0,-946000000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,7000000.0,4000000.0,6000000.0,34000000.0,40000000.0,178000000.0,199000000.0,179000000.0,124000000.0,198000000.0,27000000.0,0.0,0.0,0.0,0.0,206000000.0,0.0,0.0,0.0,0.0,43000000.0,0.0
