date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2190000000.0,1609000000.0,183000000.0,708000000.0,253000000.0,1026000000.0,1193000000.0,315000000.0,594400000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,717000000.0,405000000.0,2073000000.0,1087000000.0,692000000.0,615000000.0,640000000.0,47000000.0,84200000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87000000.0,0.0
,changeInWorkingCapital,-250000000.0,399000000.0,-2000000.0,-90000000.0,476000000.0,-158000000.0,-302000000.0,-315000000.0,-24900000.0
,accountsReceivables,105000000.0,-50000000.0,-78000000.0,-107000000.0,382000000.0,-84000000.0,-131000000.0,-231000000.0,7800000.0
,inventory,4000000.0,15000000.0,-90000000.0,49000000.0,34000000.0,-30000000.0,-53000000.0,-92000000.0,17600000.0
,accountsPayables,-198000000.0,21000000.0,73000000.0,144000000.0,-156000000.0,-1000000.0,-36000000.0,44000000.0,41100000.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11500000.0
,otherNonCashItems,23000000.0,-198000000.0,-78000000.0,-85000000.0,-424000000.0,-677000000.0,-139000000.0,-52000000.0,339800000.0
,netCashProvidedByOperatingActivites,4748000000.0,5043000000.0,4601000000.0,4787000000.0,5303000000.0,4467000000.0,4064000000.0,2795000000.0,2365100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,1499000000.0,2998000000.0,0.0,1401000000.0,0.0,0.0,0.0,-3179000000.0,0.0
,purchasesOfInvestments,-1327000000.0,-433000000.0,-684000000.0,-408000000.0,-96000000.0,-389000000.0,-217000000.0,-192000000.0,-1341600000.0
,salesMaturitiesOfInvestments,1527000000.0,124000000.0,0.0,0.0,0.0,0.0,0.0,0.0,236400000.0
,otherInvestingActivites,-87000000.0,-70000000.0,18000000.0,-377000000.0,-1942000000.0,-1391000000.0,250000000.0,-45000000.0,-109500000.0
,netCashUsedForInvestingActivites,-1714000000.0,-68000000.0,-3362000000.0,-1705000000.0,-5706000000.0,-5210000000.0,-3064000000.0,-5084000000.0,-2391500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-11224000000.0,-14591000000.0,-11064000000.0,-10060000000.0,-15116000000.0,-17801000000.0,-12393000000.0,-14755000000.0,-8792900000.0
,commonStockIssued,0.0,0.0,0.0,0.0,3870000000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-2000000.0,-273000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-2174000000.0,-1774000000.0,-1276000000.0,-1272000000.0,-4224000000.0,-1760000000.0,-1622000000.0,-1184000000.0,-769600000.0
,otherFinancingActivites,-821000000.0,63000000.0,2041000000.0,74000000.0,-48000000.0,-4349000000.0,-24000000.0,532000000.0,-66300000.0
,netCashUsedProvidedByFinancingActivities,-6185000000.0,-1824000000.0,-1681000000.0,-2629000000.0,327000000.0,471000000.0,-1095000000.0,2584000000.0,-57000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-3122000000.0,3005000000.0,-420000000.0,455000000.0,-86000000.0,-283000000.0,-116000000.0,303000000.0,-91000000.0
,cashAtEndOfPeriod,209000000.0,3331000000.0,264000000.0,684000000.0,229000000.0,315000000.0,598000000.0,714000000.0,411400000.0
,cashAtBeginningOfPeriod,3331000000.0,326000000.0,684000000.0,229000000.0,315000000.0,598000000.0,714000000.0,411000000.0,502400000.0
,operatingCashFlow,4748000000.0,5043000000.0,4601000000.0,4787000000.0,5303000000.0,4467000000.0,4064000000.0,2795000000.0,2365100000.0
,capitalExpenditure,-2270000000.0,-2924000000.0,-3188000000.0,-2882000000.0,-3896000000.0,-3617000000.0,-3369000000.0,-2022000000.0,-1200100000.0
,freeCashFlow,2478000000.0,2119000000.0,1413000000.0,1905000000.0,1407000000.0,850000000.0,695000000.0,773000000.0,1165000000.0
