Date,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,1124000000.0,1030000000.0,976000000.0,852000000.0,1145000000.0
Stock-based compensation,,,,,
Operating Cash Flow,2680000000.0,2117000000.0,2084000000.0,1911000000.0,1839000000.0
Capital Expenditure,-2713000000.0,-2250000000.0,-2045000000.0,-2020000000.0,-2049000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,15000000,14000000,-6000000,-13000000,-10000000
Investing Cash flow,-3347000000.0,-2564000000.0,-3388000000.0,-2204000000.0,-2060000000.0
Issuance (repayment) of debt,-105000000.0,-385000000.0,-866000000.0,-286000000.0,-1237000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,654000000.0,421000000.0,1359000000.0,282000000.0,217000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-13000000.0,-26000000.0,55000000.0,-11000000.0,-4000000.0
Free Cash Flow,-33000000.0,-133000000.0,39000000.0,-109000000.0,-210000000.0
Net Cash/Marketcap,,,,,
