date,,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-04-02_FY,2011-01-01_FY,2010-01-02_FY,2009-01-03_FY,2007-12-29_FY,2006-12-31_FY,2006-12-30_FY,2005-12-31_FY,2005-01-01_FY,2004-01-03_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,2000-01-01_FY,1999-01-02_FY,1998-01-03_FY,1996-12-28_FY,1995-12-30_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,955800000.0,605200000.0,1227300000.0,965300000.0,883700000.0,761000000.0,490000000.0,884000000.0,674600000.0,0.0,198000000.0,224000000.0,313000000.0,337000000.0,289500000.0,290000000.0,269600000.0,367000000.0,108000000.0,185000000.0,158000000.0,194000000.0,150000000.0,138000000.0,-42000000.0,97000000.0,59000000.0,125300000.0
,depreciationAndAmortization,560200000.0,506500000.0,460700000.0,408000000.0,414000000.0,449800000.0,441300000.0,445300000.0,410100000.0,0.0,348700000.0,200100000.0,183000000.0,162200000.0,121200000.0,121200000.0,96500000.0,95000000.0,86500000.0,71200000.0,82900000.0,83300000.0,85600000.0,79700000.0,72400000.0,74700000.0,81200000.0,81800000.0
,deferredIncomeTax,-17900000.0,191100000.0,-103000000.0,-25700000.0,-1300000.0,42400000.0,-135700000.0,0.0,-73400000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,88000000.0,76500000.0,78700000.0,81200000.0,67900000.0,57100000.0,66400000.0,89700000.0,68900000.0,0.0,85000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-122100000.0,-167500000.0,-814600000.0,-5500000.0,-240100000.0,-117100000.0,-68600000.0,-95000000.0,-68500000.0,-219000000.0,-64600000.0,88000000.0,33500000.0,-16100000.0,-34400000.0,-34400000.0,-54000000.0,42200000.0,142600000.0,-7200000.0,-109300000.0,-83700000.0,-49700000.0,-193800000.0,-9900000.0,2000000.0,-80000000.0,-96900000.0
,accountsReceivables,137000000.0,-48800000.0,-200600000.0,-69400000.0,-41300000.0,81600000.0,11300000.0,-55200000.0,10100000.0,0.0,22000000.0,130000000.0,129000000.0,-30000000.0,0.0,-136000000.0,0.0,-18000000.0,62000000.0,70000000.0,-19000000.0,14000000.0,-29000000.0,-44000000.0,-27000000.0,-7000000.0,-29000000.0,0.0
,inventory,7000000.0,-401600000.0,-303000000.0,-23900000.0,-54700000.0,-175900000.0,-101900000.0,11400000.0,-90200000.0,0.0,173000000.0,152000000.0,26000000.0,47000000.0,-62700000.0,-138000000.0,-19300000.0,-43000000.0,24000000.0,-5000000.0,-12000000.0,-17000000.0,0.0,-80000000.0,37000000.0,11000000.0,20000000.0,-69800000.0
,accountsPayables,-169000000.0,211000000.0,240400000.0,159700000.0,-9700000.0,71700000.0,105000000.0,109100000.0,214200000.0,0.0,77000000.0,-57000000.0,-32000000.0,34000000.0,0.0,-117000000.0,0.0,54000000.0,20000000.0,-12000000.0,-8000000.0,-15000000.0,-53000000.0,-16000000.0,-25000000.0,-18000000.0,12000000.0,0.0
,otherWorkingCapital,51000000.0,567800000.0,204300000.0,-71000000.0,859500000.0,1116800000.0,747700000.0,1024900000.0,-206100000.0,0.0,219000000.0,219000000.0,302000000.0,491000000.0,1300000.0,0.0,-17200000.0,553000000.0,447000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3900000.0
,otherNonCashItems,127500000.0,125000000.0,-101500000.0,29300000.0,126000000.0,159900000.0,140700000.0,-267900000.0,644500000.0,0.0,257000000.0,25000000.0,-13200000.0,61400000.0,61300000.0,62800000.0,35600000.0,-132600000.0,127300000.0,36100000.0,89700000.0,42200000.0,36400000.0,32500000.0,220600000.0,86300000.0,117800000.0,18300000.0
,netCashProvidedByOperatingActivites,1505700000.0,1260900000.0,668500000.0,1485200000.0,1182300000.0,1295900000.0,868000000.0,966200000.0,998900000.0,0.0,739300000.0,539400000.0,516600000.0,544100000.0,439100000.0,439100000.0,362300000.0,371500000.0,464300000.0,285100000.0,221600000.0,236200000.0,222300000.0,56200000.0,241200000.0,259900000.0,178100000.0,128500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-424700000.0,-492100000.0,-442400000.0,0.0,-311400000.0,-291000000.0,-365600000.0,-386000000.0,0.0,0.0,-185500000.0,-93400000.0,-140800000.0,-86900000.0,-80500000.0,-80500000.0,-53300000.0,-54800000.0,-39400000.0,-52300000.0,-73100000.0,-64400000.0,-102900000.0,-64700000.0,-84100000.0,-103700000.0,-66500000.0,-66400000.0
,acquisitionsNet,-685000000.0,-524600000.0,-2601100000.0,-35000000.0,-35000000.0,-3200000.0,-933900000.0,-707300000.0,-1153000000.0,-1153000000.0,-1153000000.0,-550000000.0,-24000000.0,-643000000.0,-571000000.0,-571000000.0,-307000000.0,-307000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-260000000.0,-527100000.0,-28700000.0,0.0,-649800000.0,-28200000.0,-39200000.0,-1073900000.0,-36000000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,104700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,554700000.0,783100000.0,-6400000.0,773800000.0,-59800000.0,95400000.0,2347500000.0,26300000.0,0.0,0.0,0.0,0.0,0.0,-6800000.0,0.0,-26700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9800000.0
