date,,2020-12-26_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2004-12-25_FY,2003-12-27_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,1999-12-25_FY,1998-12-26_FY,1997-12-27_FY,1996-12-28_FY,1995-12-30_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,20899000000.0,21048000000.0,21053000000.0,9601000000.0,10316000000.0,11420000000.0,11704000000.0,9620000000.0,11005000000.0,12942000000.0,11464000000.0,4369000000.0,5292000000.0,6976000000.0,5044000000.0,8664000000.0,7516000000.0,5641000000.0,3117000000.0,1291000000.0,10535000000.0,7314000000.0,6068000000.0,6945000000.0,5157000000.0,3566000000.0,2288000000.0
,depreciationAndAmortization,12239000000.0,10826000000.0,9085000000.0,8129000000.0,7790000000.0,8711000000.0,8549000000.0,8032000000.0,7522000000.0,6064000000.0,4638000000.0,5052000000.0,4616000000.0,4798000000.0,4912000000.0,4595000000.0,4889000000.0,5070000000.0,5344000000.0,6558000000.0,4911000000.0,3597000000.0,2863000000.0,2192000000.0,1888000000.0,1379000000.0,1047000000.0
,deferredIncomeTax,0.0,0.0,-1749000000.0,1548000000.0,257000000.0,-1270000000.0,-703000000.0,-900000000.0,-242000000.0,790000000.0,-46000000.0,271000000.0,-790000000.0,-443000000.0,-325000000.0,-413000000.0,-207000000.0,391000000.0,110000000.0,-519000000.0,-130000000.0,-219000000.0,77000000.0,6000000.0,179000000.0,0.0,-150000000.0
,stockBasedCompensation,1854000000.0,1700000000.0,1500000000.0,1400000000.0,1444000000.0,1305000000.0,1148000000.0,1118000000.0,1102000000.0,1053000000.0,917000000.0,889000000.0,851000000.0,952000000.0,1375000000.0,0.0,295000000.0,276000000.0,107000000.0,-524000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2179000000.0,-3232000000.0,82000000.0,-3127000000.0,-7468000000.0,10955000000.0,-6797000000.0,56000000.0,4616000000.0,-8440000000.0,8718000000.0,1513000000.0,-3261000000.0,5548000000.0,-2194000000.0,-4092000000.0,49000000.0,3673000000.0,1267000000.0,-1437000000.0,1780000000.0,3049000000.0,-2176000000.0,1026000000.0,4343000000.0,1335000000.0,-246000000.0
,accountsReceivables,883000000.0,-935000000.0,-1714000000.0,-781000000.0,65000000.0,-355000000.0,-861000000.0,271000000.0,-176000000.0,-678000000.0,-584000000.0,-535000000.0,260000000.0,316000000.0,1217000000.0,0.0,-39000000.0,-430000000.0,30000000.0,1561000000.0,-429000000.0,-173000000.0,-89000000.0,285000000.0,-607000000.0,-1138000000.0,0.0
,inventory,-687000000.0,-1481000000.0,-214000000.0,-1300000000.0,119000000.0,-764000000.0,-98000000.0,563000000.0,-626000000.0,-243000000.0,-806000000.0,796000000.0,-395000000.0,700000000.0,-1116000000.0,-500000000.0,-101000000.0,-245000000.0,-26000000.0,24000000.0,-763000000.0,104000000.0,115000000.0,-404000000.0,711000000.0,-835000000.0,-331000000.0
,accountsPayables,412000000.0,696000000.0,211000000.0,191000000.0,182000000.0,-312000000.0,-249000000.0,267000000.0,67000000.0,596000000.0,407000000.0,-506000000.0,29000000.0,102000000.0,7000000.0,0.0,283000000.0,116000000.0,-226000000.0,-673000000.0,-1017000000.0,-126000000.0,163000000.0,-438000000.0,-105000000.0,-289000000.0,0.0
,otherWorkingCapital,1752000000.0,8929000000.0,12161000000.0,12079000000.0,15206000000.0,22674000000.0,11719000000.0,18516000000.0,18460000000.0,13844000000.0,22284000000.0,13566000000.0,12053000000.0,15314000000.0,9766000000.0,11960000000.0,16052000000.0,16003000000.0,12330000000.0,11063000000.0,12500000000.0,10720000000.0,7671000000.0,9847000000.0,8821000000.0,4478000000.0,3143000000.0
,otherNonCashItems,0.0,123000000.0,1464000000.0,-752000000.0,1886000000.0,1237000000.0,967000000.0,884000000.0,819000000.0,0.0,571000000.0,1418000000.0,3313000000.0,1220000000.0,1061000000.0,0.0,437000000.0,1338000000.0,963000000.0,1414000000.0,-2741000000.0,208000000.0,677000000.0,248000000.0,316000000.0,191000000.0,0.0
,netCashProvidedByOperatingActivites,35384000000.0,33145000000.0,29432000000.0,22110000000.0,21808000000.0,19017000000.0,20418000000.0,20776000000.0,18884000000.0,20963000000.0,16692000000.0,11170000000.0,10926000000.0,12625000000.0,10632000000.0,14823000000.0,13119000000.0,11515000000.0,9129000000.0,8789000000.0,12827000000.0,12134000000.0,9447000000.0,10008000000.0,8743000000.0,4016000000.0,2981000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-14453000000.0,-16213000000.0,-15181000000.0,-11778000000.0,-9625000000.0,-7326000000.0,-10105000000.0,-10711000000.0,-11027000000.0,-10764000000.0,-5207000000.0,-4515000000.0,-5197000000.0,-5000000000.0,-5779000000.0,-5818000000.0,-3843000000.0,-3656000000.0,-4703000000.0,-7309000000.0,-6674000000.0,-3403000000.0,-3557000000.0,-4501000000.0,-3024000000.0,-3550000000.0,-2441000000.0
,acquisitionsNet,0.0,-1958000000.0,-190000000.0,-14499000000.0,-15470000000.0,-913000000.0,-934000000.0,-925000000.0,-638000000.0,-8671000000.0,-218000000.0,-853000000.0,-16000000.0,-76000000.0,752000000.0,-191000000.0,-53000000.0,-61000000.0,-57000000.0,-883000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-29239000000.0,-16366000000.0,-15447000000.0,-5216000000.0,-21506000000.0,-3001000000.0,-10792000000.0,-2440000000.0,-5110000000.0,-23237000000.0,-17675000000.0,-8655000000.0,-6479000000.0,-11728000000.0,-5272000000.0,-8475000000.0,-16618000000.0,-11662000000.0,-6309000000.0,-7141000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-975000000.0
,salesMaturitiesOfInvestments,22158000000.0,4226000000.0,3163000000.0,3687000000.0,20413000000.0,6168000000.0,8944000000.0,8336000000.0,5369000000.0,32139000000.0,13133000000.0,7756000000.0,7993000000.0,8011000000.0,7147000000.0,8433000000.0,15633000000.0,8488000000.0,5634000000.0,15398000000.0,0.0,0.0,0.0,0.0,0.0,0.0,513000000.0
