date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2011-12-25_FY,2010-12-26_FY,2009-12-27_FY,2008-12-28_FY,2007-12-30_FY,2006-12-31_FY,2005-12-25_FY,2004-12-26_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,1999-12-26_FY,1998-12-27_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1994-12-25_FY,1993-12-26_FY,1992-12-27_FY,1991-12-29_FY,1990-12-30_FY,1989-12-31_FY,1988-12-25_FY,1987-12-27_FY,1986-12-28_FY,1985-12-29_FY,1984-12-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,482778000.0,286235000.0,405665000.0,273744000.0,436697000.0,459522000.0,1062200000.0,388700000.0,424300000.0,458700000.0,588200000.0,355300000.0,-6647600000.0,1055600000.0,1160782000.0,1244700000.0,1317200000.0,1211200000.0,1160100000.0,831200000.0,1719077000.0,957900000.0,999900000.0,712700000.0,943100000.0,477300000.0,465400000.0,397800000.0,199700000.0,301600000.0,377000000.0,397500000.0,364500000.0,319400000.0,276400000.0,253300000.0,223900000.0
,depreciationAndAmortization,134570000.0,110629000.0,86787000.0,136507000.0,204490000.0,262244000.0,265724000.0,189600000.0,194000000.0,197300000.0,214700000.0,242800000.0,262200000.0,285100000.0,276770000.0,276200000.0,244000000.0,231600000.0,222400000.0,443800000.0,375915000.0,280100000.0,310200000.0,301100000.0,287400000.0,210000000.0,190200000.0,209600000.0,197800000.0,199800000.0,194000000.0,190100000.0,177200000.0,161100000.0,143200000.0,103500000.0,90500000.0
,deferredIncomeTax,8533000.0,22064000.0,17258000.0,-296820000.0,16535000.0,100202000.0,1200000.0,53900000.0,122700000.0,97500000.0,150400000.0,54700000.0,-816200000.0,15500000.0,32010000.0,10700000.0,78000000.0,65400000.0,175100000.0,228600000.0,-169290000.0,22000000.0,40100000.0,-14200000.0,68300000.0,23600000.0,-40600000.0,20300000.0,-17200000.0,-10800000.0,16600000.0,21500000.0,16200000.0,22900000.0,37000000.0,0.0,20400000.0
,stockBasedCompensation,20306000.0,20146000.0,12531000.0,17098000.0,17590000.0,26344000.0,33882000.0,33437000.0,26608000.0,28003000.0,32707000.0,25373000.0,22646000.0,29082000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,130584000.0,80161000.0,-45566000.0,140064000.0,-26869000.0,18766000.0,-736390000.0,778000000.0,-36000000.0,-72000000.0,97000000.0,56000000.0,-288000000.0,-34071000.0,49071000.0,0.0,105000000.0,87000000.0,124000000.0,-78335000.0,-62665000.0,13000000.0,61000000.0,69000000.0,6700000.0,-82700000.0,-179000000.0,104000000.0,7000000.0,23000000.0,-24200000.0,29200000.0,38000000.0,-13000000.0,-31000000.0,69000000.0,29100000.0
,accountsReceivables,27474000.0,-86245000.0,-5351000.0,14541000.0,-32046000.0,32787000.0,-1514000.0,-17884000.0,35799000.0,33464000.0,34909000.0,105184000.0,132143000.0,56237000.0,0.0,-17987000.0,-42263000.0,-69948000.0,-21000000.0,69000000.0,0.0,-136000000.0,-27000000.0,-69000000.0,19000000.0,0.0,-39000000.0,-18000000.0,-11000000.0,27000000.0,12000000.0,0.0,-20000000.0,-41000000.0,-69000000.0,-52000000.0,-42000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,1807000.0,10032000.0,4489000.0,-7167000.0,22932000.0,-10434000.0,56768000.0,-26856000.0,21943000.0,-2145000.0,4149000.0,-3438000.0,-14153000.0,4000000.0,23000000.0,-16091000.0,-8000000.0,14000000.0,-27000000.0,38000000.0,-47000000.0,0.0,-5000000.0,3000000.0,16000000.0,-6000000.0,23200000.0,-19000000.0,-8000000.0,-3000000.0,-13000000.0,-10000000.0
,accountsPayables,7245000.0,-29526000.0,29357000.0,-21474000.0,-1506000.0,-57643000.0,66740000.0,-29310000.0,-3284000.0,-12614000.0,-15199000.0,-66765000.0,50256000.0,-35970000.0,0.0,31154000.0,-10162000.0,-12666000.0,22000000.0,135000000.0,0.0,-29000000.0,-8000000.0,-38000000.0,19000000.0,0.0,-29000000.0,-3000000.0,-1000000.0,-13000000.0,19000000.0,0.0,-26000000.0,-43000000.0,-38000000.0,-8000000.0,-18000000.0
,otherWorkingCapital,29399000.0,346166000.0,266005000.0,311571000.0,171507000.0,198376000.0,179610000.0,916000000.0,138000000.0,174000000.0,246000000.0,149000000.0,93000000.0,381000000.0,415071000.0,366000000.0,366000000.0,261000000.0,174000000.0,50000000.0,128335000.0,191000000.0,178000000.0,117000000.0,48000000.0,41300000.0,124000000.0,303000000.0,199000000.0,192000000.0,169000000.0,193200000.0,164000000.0,126000000.0,139000000.0,170000000.0,101000000.0
,otherNonCashItems,20251000.0,0.0,-4991000.0,52391000.0,42067000.0,-65496000.0,-319138000.0,46000000.0,90300000.0,17600000.0,-79500000.0,146900000.0,8264600000.0,-154900000.0,139056000.0,400000.0,-33500000.0,28800000.0,-306400000.0,-318600000.0,0.0,-87800000.0,-360900000.0,-20200000.0,-437000000.0,40800000.0,32900000.0,36000000.0,171400000.0,-5300000.0,-6000000.0,63600000.0,5600000.0,15400000.0,9700000.0,20600000.0,-2100000.0
,netCashProvidedByOperatingActivites,805136000.0,297473000.0,527209000.0,386211000.0,683429000.0,613106000.0,847540000.0,511500000.0,756700000.0,814100000.0,772900000.0,866600000.0,1017200000.0,1345100000.0,1479865000.0,1431700000.0,1585800000.0,1479100000.0,1031700000.0,1319000000.0,502327000.0,1146900000.0,970500000.0,881100000.0,606900000.0,603500000.0,714300000.0,670300000.0,545000000.0,461200000.0,615400000.0,603400000.0,521900000.0,455400000.0,560200000.0,355700000.0,361900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
