date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1534000000.0,1893000000.0,2098000000.0,1480000000.0,1314000000.0,1562000000.0,1619000000.0,1334000000.0,1029000000.0,1076000000.0,1097000000.0,722000000.0,-38000000.0,814000000.0,631000000.0,574000000.0,794000000.0
,depreciationAndAmortization,207000000.0,183000000.0,198000000.0,234000000.0,248000000.0,248000000.0,254000000.0,239000000.0,225000000.0,110000000.0,110000000.0,120000000.0,204000000.0,780000000.0,686000000.0,295000000.0,0.0
,deferredIncomeTax,-321000000.0,-308000000.0,25000000.0,156000000.0,-34000000.0,-131000000.0,228000000.0,-118000000.0,50000000.0,61000000.0,513000000.0,-25000000.0,-409000000.0,25000000.0,24000000.0,34000000.0,-34000000.0
,stockBasedCompensation,146000000.0,135000000.0,144000000.0,121000000.0,134000000.0,145000000.0,130000000.0,143000000.0,134000000.0,145000000.0,158000000.0,182000000.0,148000000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2992000000.0,-14912000000.0,9146000000.0,-8317000000.0,-32000000.0,3213000000.0,-2575000000.0,-9853000000.0,-1348000000.0,-4613000000.0,-10599000000.0,-17912000000.0,16857000000.0,-5424000000.0,-10267000000.0,-82409000000.0,-31000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101000000.0,-85000000.0,62000000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158000000.0,98000000.0,21000000.0,0.0
,otherWorkingCapital,703000000.0,-139045000000.0,-124133000000.0,-133279000000.0,-124962000000.0,-124930000000.0,-128143000000.0,-125568000000.0,-115715000000.0,-114367000000.0,-109754000000.0,-99155000000.0,-81243000000.0,-98100000000.0,-92676000000.0,-82409000000.0,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106000000.0,-360000000.0,-702000000.0,594000000.0,-782000000.0,-735000000.0,-368000000.0,182000000.0
,netCashProvidedByOperatingActivites,4623000000.0,2341000000.0,2597000000.0,1701000000.0,1971000000.0,2572000000.0,2399000000.0,1364000000.0,1505000000.0,2178000000.0,2035000000.0,-1258000000.0,2002000000.0,845000000.0,619000000.0,945000000.0,911000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250000000.0,-131000000.0,-83000000.0,-125000000.0,-306000000.0,-187000000.0,-141000000.0,-125000000.0
,acquisitionsNet,0.0,934000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-866000000.0,0.0,-563000000.0,115000000.0,437000000.0,88000000.0,0.0
,purchasesOfInvestments,-15104000000.0,-13151000000.0,-9543000000.0,-7174000000.0,-7634000000.0,-7546000000.0,-7733000000.0,-9204000000.0,-6964000000.0,-7658000000.0,-7792000000.0,-232000000.0,-3956000000.0,-1908000000.0,-151000000.0,-9339000000.0,-9955000000.0
,salesMaturitiesOfInvestments,12199000000.0,9574000000.0,9114000000.0,7029000000.0,6461000000.0,7081000000.0,7092000000.0,8380000000.0,11228000000.0,9853000000.0,10117000000.0,369000000.0,4708000000.0,7154000000.0,6037000000.0,9734000000.0,7398000000.0
,otherInvestingActivites,106000000.0,-366000000.0,-56000000.0,-112000000.0,102000000.0,11000000.0,-21000000.0,46000000.0,-8000000.0,-356000000.0,-380000000.0,-6390000000.0,85000000.0,-595000000.0,-2613000000.0,-509000000.0,36000000.0
,netCashUsedForInvestingActivites,-2894000000.0,-3234000000.0,-587000000.0,-199000000.0,-804000000.0,-514000000.0,-715000000.0,-802000000.0,4417000000.0,-1146000000.0,-922000000.0,-6433000000.0,15000000.0,4495000000.0,3523000000.0,-255000000.0,-2642000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-836000000.0,-397000000.0,-1541000000.0,-129000000.0,-774000000.0,-1128000000.0,-1211000000.0,-1396000000.0,-709000000.0,-877000000.0,-823000000.0,-550000000.0,-55000000.0,-54000000.0,-908000000.0,-1391000000.0,-78000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869000000.0,0.0,37000000.0,20000000.0,0.0,0.0
,commonStockRepurchased,-1441000000.0,-1943000000.0,-1630000000.0,-1485000000.0,-1707000000.0,-1741000000.0,-1577000000.0,-1583000000.0,-1381000000.0,-1495000000.0,-582000000.0,-11000000.0,-638000000.0,-977000000.0,-490000000.0,0.0,0.0
,dividendsPaid,-497000000.0,-504000000.0,-506000000.0,-491000000.0,-479000000.0,-465000000.0,-426000000.0,-401000000.0,-305000000.0,-212000000.0,-354000000.0,-164000000.0,-143000000.0,-133000000.0,-108000000.0,-27000000.0,0.0
,otherFinancingActivites,2845000000.0,3558000000.0,1476000000.0,305000000.0,1325000000.0,-649000000.0,-877000000.0,489000000.0,-3921000000.0,1137000000.0,-1001000000.0,4395000000.0,-49000000.0,-3142000000.0,-3075000000.0,-1225000000.0,1778000000.0
,netCashUsedProvidedByFinancingActivities,952000000.0,1214000000.0,-1263000000.0,-1785000000.0,-1131000000.0,-2318000000.0,-1657000000.0,-306000000.0,-6342000000.0,-1111000000.0,-1343000000.0,4545000000.0,429000000.0,-4269000000.0,-3937000000.0,207000000.0,1718000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
