Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,7000000.0,1000000.0,000000.0,000000.0,000000.0
Stock-based compensation,0000000.0,2000000.0,2000000.0,1000000.0,0000000.0
Operating Cash Flow,97000000.0,87000000.0,118000000.0,132000000.0,224000000.0
Capital Expenditure,,,,,
Acquisitions and disposals,,,,,
Investment purchases and sales,-319000000,976000000,1472000000,1934000000,-1673000000
Investing Cash flow,-687000000.0,752000000.0,1344000000.0,1686000000.0,-1350000000.0
Issuance (repayment) of debt,-34000000.0,-0000000.0,000000.0,000000.0,000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,591000000.0,-885000000.0,-1496000000.0,-1821000000.0,1175000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,0000000.0,-46000000.0,-34000000.0,-3000000.0,49000000.0
Free Cash Flow,97000000.0,87000000.0,118000000.0,132000000.0,224000000.0
Net Cash/Marketcap,,,,,
