date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-456000000.0,916000000.0,1208000000.0,473000000.0,640000000.0,520000000.0,438000000.0,466000000.0,912000000.0,871000000.0,258000000.0,-781000000.0,441000000.0,511000000.0
,depreciationAndAmortization,606000000.0,637000000.0,721000000.0,850000000.0,657000000.0,643000000.0,632000000.0,596000000.0,641000000.0,571000000.0,566000000.0,561000000.0,536000000.0,491000000.0
,deferredIncomeTax,-243000000.0,-185000000.0,-421000000.0,-199000000.0,-122000000.0,-160000000.0,-131000000.0,-179000000.0,44000000.0,-38000000.0,-203000000.0,-828000000.0,-128000000.0,-262000000.0
,stockBasedCompensation,71000000.0,88000000.0,97000000.0,75000000.0,60000000.0,83000000.0,110000000.0,85000000.0,46000000.0,47000000.0,38000000.0,0.0,0.0,0.0
,changeInWorkingCapital,-337000000.0,-241000000.0,5000000.0,24000000.0,-242000000.0,265000000.0,-400000000.0,355000000.0,-206000000.0,293000000.0,147000000.0,-239000000.0,-203000000.0,-181000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,-214000000.0,182000000.0,-68000000.0,3000000.0,345000000.0,-337000000.0,433000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,92000000.0,-245000000.0,-80000000.0,-63000000.0,-78000000.0,-174000000.0,247000000.0,5000000.0,0.0,0.0,0.0
,otherNonCashItems,14000000.0,42000000.0,-374000000.0,-2000000.0,14000000.0,12000000.0,16000000.0,8000000.0,4000000.0,83000000.0,149000000.0,357000000.0,12000000.0,26000000.0
,netCashProvidedByOperatingActivites,1284000000.0,1273000000.0,1222000000.0,1273000000.0,981000000.0,1204000000.0,972000000.0,1470000000.0,1218000000.0,1256000000.0,1087000000.0,508000000.0,604000000.0,553000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-459000000.0,-275000000.0,-201000000.0,-206000000.0,-218000000.0,-226000000.0,-295000000.0,-338000000.0,-312000000.0,-258000000.0,-208000000.0,-166000000.0,-289000000.0,-259000000.0
,acquisitionsNet,0.0,0.0,25000000.0,0.0,-844000000.0,0.0,-24000000.0,-83000000.0,-14000000.0,459000000.0,306000000.0,-51000000.0,-224000000.0,-767000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-184000000.0,-73000000.0,0.0,0.0,-111000000.0,-29000000.0,-43000000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,562000000.0,2000000.0,12000000.0,193000000.0,52000000.0,0.0,46000000.0,0.0,459000000.0,7000000.0,0.0,0.0,23000000.0
,otherInvestingActivites,-141000000.0,-240000000.0,-52000000.0,-44000000.0,-76000000.0,-34000000.0,-44000000.0,-170000000.0,-14000000.0,1012000000.0,-12000000.0,-324000000.0,-74000000.0,-344000000.0
,netCashUsedForInvestingActivites,-600000000.0,47000000.0,-229000000.0,-238000000.0,-909000000.0,-281000000.0,-362000000.0,-462000000.0,-437000000.0,1151000000.0,48000000.0,-541000000.0,-587000000.0,-1016000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3274000000.0,-4395000000.0,-2618000000.0,-2178000000.0,-3244000000.0,-3563000000.0,-3056000000.0,-1392000000.0,-899000000.0,-5107000000.0,-2732000000.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-392000000.0,-988000000.0,-765000000.0,-799000000.0,-785000000.0,-785000000.0,-1089000000.0,-815000000.0,-366000000.0,0.0,0.0,-75000000.0,-1224000000.0,-954000000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-156000000.0,-412000000.0,-100000000.0,-31000000.0,-5000000.0,-1048000000.0,-62000000.0,-1245000000.0,-48000000.0,-83000000.0,-121000000.0,307000000.0,28000000.0,361000000.0
,netCashUsedProvidedByFinancingActivities,-661000000.0,-1574000000.0,-1014000000.0,-1103000000.0,-65000000.0,-1036000000.0,-687000000.0,-1136000000.0,-1194000000.0,-2216000000.0,-1066000000.0,278000000.0,-416000000.0,446000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-2000000.0,2000000.0,13000000.0,-20000000.0,-3000000.0,-46000000.0,-24000000.0,-20000000.0,-4000000.0,14000000.0,-17000000.0,30000000.0,10000000.0,18000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,21000000.0,-252000000.0,-8000000.0,-88000000.0,4000000.0,-173000000.0,-101000000.0,-148000000.0,-506000000.0,205000000.0,52000000.0,275000000.0,-389000000.0,1000000.0
