date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3064000000.0,3468000000.0,2888000000.0,4536000000.0,1460000000.0,733000000.0,247000000.0,35000000.0,394172000.0,301310000.0,193415000.0,176844000.0,149438000.0,100403000.0,53806000.0,198677000.0,15358000.0,130305000.0,0.0,0.0
,depreciationAndAmortization,14151000000.0,6616000000.0,6486000000.0,5984000000.0,6243000000.0,4688000000.0,4412000000.0,3627000000.0,641425000.0,538835000.0,449732000.0,377856000.0,255319000.0,178202000.0,135028000.0,87895000.0,42428000.0,0.0,0.0,0.0
,deferredIncomeTax,822000000.0,1091000000.0,980000000.0,-1404000000.0,914000000.0,256000000.0,122000000.0,10000000.0,216808000.0,174617000.0,115478000.0,110161000.0,124347000.0,118524000.0,32341000.0,125055000.0,18716000.0,0.0,0.0,0.0
,stockBasedCompensation,694000000.0,495000000.0,424000000.0,306000000.0,235000000.0,201000000.0,196000000.0,100000000.0,37974000.0,41791000.0,46537000.0,47783000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,5383000000.0,-1215000000.0,614000000.0,-7795000000.0,-167000000.0,154000000.0,-1212000000.0,4080500000.0,412630000.0,1135405000.0,97543000.0,392394000.0,-850866000.0,829496000.0,-53587000.0,272760000.0,103725000.0,0.0,0.0,0.0
,accountsReceivables,-3273000000.0,-3709000000.0,-4617000000.0,-444000000.0,-603000000.0,-259000000.0,-90000000.0,-1315000000.0,-20642000.0,-20485000.0,-6523000.0,-17056000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-2222000000.0,-617000000.0,-201000000.0,-844000000.0,-802000000.0,-2495000000.0,-499000000.0,42000000.0,-19508000.0,-78599000.0,-13648000.0,8554000.0,-46816000.0,-16275000.0,-53320000.0,-5717000.0,-7745000.0,0.0,0.0,0.0
,accountsPayables,-2123000000.0,0.0,-867000000.0,1079000000.0,-1201000000.0,693000000.0,2395000000.0,611000000.0,-51718000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2182000000.0,-3201000000.0,-1986000000.0,-2600000000.0,5195000000.0,5362000000.0,5208000000.0,6420000000.0,2339500000.0,1926870000.0,791465000.0,693922000.0,301528000.0,1152394000.0,322898000.0,376485000.0,103725000.0,0.0,0.0,0.0
,otherNonCashItems,367000000.0,257000000.0,78000000.0,137000000.0,192000000.0,152000000.0,178000000.0,167000000.0,-19558000.0,31746000.0,41969000.0,37297000.0,100003000.0,152103000.0,81988000.0,59265000.0,12027000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,8640000000.0,6824000000.0,3899000000.0,7962000000.0,6135000000.0,5414000000.0,4146000000.0,3545000000.0,1181451000.0,1061808000.0,994500000.0,899349000.0,447490000.0,589306000.0,364761000.0,283216000.0,112605000.0,-50672000.0,-32401000.0,-9463000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-12367000000.0,-7358000000.0,-5668000000.0,-11065000000.0,-8670000000.0,-6659000000.0,-7217000000.0,-4406000000.0,-840323000.0,-956029000.0,-771058000.0,-883975000.0,-1283131000.0,-787701000.0,-1947597000.0,-782229000.0,-119793000.0,0.0,0.0,0.0
,acquisitionsNet,-5000000000.0,-31000000.0,-338000000.0,0.0,0.0,0.0,0.0,2144000000.0,-5000000.0,73000000.0,-50000000.0,-19000000.0,-356000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-2997000000.0,-9000000.0,0.0,-692147000.0,-599765000.0,-721612000.0,-501758000.0,0.0,-3358427000.0,-1269919000.0,-739589000.0,-209149000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,2998000000.0,0.0,0.0,0.0,755569000.0,675000000.0,562500000.0,262500000.0,37000.0,3625942000.0,1274830000.0,386444000.0,210102000.0,0.0,0.0,0.0
,otherInvestingActivites,2796000000.0,3226000000.0,5427000000.0,1000000.0,-8000000.0,96000000.0,0.0,200000000.0,50146000.0,300000.0,12018000.0,949000.0,13125000.0,-661000.0,0.0,0.0,-188034000.0,-88311000.0,24183000.0,-15093000.0
,netCashUsedForInvestingActivites,-12715000000.0,-4125000000.0,-579000000.0,-11064000000.0,-5680000000.0,-9560000000.0,-7246000000.0,-2092000000.0,-723430000.0,-886871000.0,-950418000.0,-1116954000.0,-1294275000.0,-517088000.0,-1939665000.0,-905228000.0,-306868000.0,-88311000.0,24183000.0,-15093000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-40847000000.0,-4541000000.0,-10826000000.0,-13926000000.0,-375000000.0,-621000000.0,-1437000000.0,-244000000.0,-34459000.0,-567939000.0,-2059846000.0,-39913000.0,0.0,0.0,0.0,0.0,-9077000.0,0.0,0.0,0.0
,commonStockIssued,19840000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1787000000.0,0.0,0.0,0.0,0.0,12582000.0,872206000.0,2744000.0,55872000.0,65580000.0,0.0,0.0,0.0
,commonStockRepurchased,-19536000000.0,0.0,-1071000000.0,-427000000.0,0.0,0.0,0.0,0.0,-4330000.0,-4918000.0,-1914000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,-55000000.0,-55000000.0,-55000000.0,0.0,-41000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
