date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1789000000.0,2260000000.0,2141000000.0,999000000.0,1394000000.0,1399000000.0,1651000000.0,1483000000.0,1645000000.0,1848000000.0,1040000000.0,428000000.0,755000000.0,739000000.0,715000000.0,550000000.0,350000000.0,50000000.0,82000000.0,-102000000.0,8000000.0,160000000.0,-21000000.0,212000000.0,160000000.0,224000000.0,252900000.0,177100000.0,-189500000.0,-65600000.0,-165100000.0,-6100000.0
,depreciationAndAmortization,673000000.0,672000000.0,611000000.0,583000000.0,530000000.0,514000000.0,455000000.0,407000000.0,361000000.0,325000000.0,320000000.0,326000000.0,314000000.0,290000000.0,296000000.0,294000000.0,266000000.0,216000000.0,219000000.0,231000000.0,240000000.0,233000000.0,199000000.0,158000000.0,149000000.0,143000000.0,127700000.0,125100000.0,122500000.0,127200000.0,143400000.0,135000000.0
,deferredIncomeTax,7000000.0,-4000000.0,-82000000.0,766000000.0,50000000.0,-108000000.0,31000000.0,100000000.0,116000000.0,85000000.0,56000000.0,5000000.0,-1000000.0,60000000.0,139000000.0,124000000.0,-51000000.0,0.0,0.0,2000000.0,2000000.0,-31000000.0,-65000000.0,22000000.0,17000000.0,-100000000.0,0.0,0.0,0.0,0.0,-3100000.0,-1300000.0
,stockBasedCompensation,31000000.0,49000000.0,53000000.0,41000000.0,32000000.0,24000000.0,36000000.0,37000000.0,36000000.0,42000000.0,22000000.0,20000000.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,554000000.0,-307000000.0,183000000.0,-131000000.0,-762000000.0,-890000000.0,-237000000.0,1240000000.0,597000000.0,405000000.0,458000000.0,497000000.0,-30000000.0,15000000.0,391000000.0,622000000.0,337000000.0,86000000.0,-12000000.0,58000000.0,-259000000.0,61000000.0,150000000.0,123000000.0,197000000.0,-123000000.0,86600000.0,100000000.0,52200000.0,-44200000.0,39200000.0,76800000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148000000.0,87000000.0,0.0,0.0,0.0,88000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,46000000.0,291000000.0,-695000000.0,-407000000.0,-4000000.0,150000000.0,-256000000.0,-46000000.0,-32000000.0,-225000000.0,-574000000.0,482000000.0,-251000000.0,-255000000.0,-158000000.0,-187000000.0,-204000000.0,-63000000.0,46000000.0,67000000.0,9000000.0,-60000000.0,-26000000.0,-65000000.0,-62000000.0,3000000.0,-45800000.0,900000.0,-18800000.0,31100000.0,-5600000.0,26100000.0
,accountsPayables,288000000.0,-310000000.0,302000000.0,639000000.0,184000000.0,-136000000.0,244000000.0,163000000.0,-256000000.0,208000000.0,345000000.0,-75000000.0,-174000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,189000000.0,3127000000.0,3434000000.0,3251000000.0,3382000000.0,4144000000.0,5034000000.0,5271000000.0,4031000000.0,3434000000.0,3029000000.0,2571000000.0,2074000000.0,2104000000.0,2089000000.0,1698000000.0,1076000000.0,739000000.0,653000000.0,665000000.0,607000000.0,866000000.0,805000000.0,655000000.0,532000000.0,335000000.0,458000000.0,371400000.0,271400000.0,219200000.0,263400000.0,224200000.0
,otherNonCashItems,-359000000.0,31000000.0,128000000.0,-220000000.0,166000000.0,94000000.0,20000000.0,-12000000.0,-14000000.0,1000000.0,-47000000.0,195000000.0,140000000.0,4000000.0,-8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29800000.0,43700000.0,9300000.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,2722000000.0,3181000000.0,2378000000.0,2277000000.0,1935000000.0,2059000000.0,2266000000.0,2089000000.0,1532000000.0,2073000000.0,1006000000.0,1137000000.0,987000000.0,810000000.0,840000000.0,760000000.0,614000000.0,158000000.0,193000000.0,144000000.0,388000000.0,307000000.0,271000000.0,200000000.0,193000000.0,406000000.0,375700000.0,285600000.0,197700000.0,106700000.0,32400000.0,208800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-420000000.0,-301000000.0,-186000000.0,-151000000.0,-140000000.0,-90000000.0,-206000000.0,-228000000.0,-215000000.0,-271000000.0,-405000000.0,-304000000.0,-223000000.0,-237700000.0,-174200000.0,-139300000.0,-123900000.0,-147000000.0,-137900000.0
,acquisitionsNet,0.0,-237000000.0,-70000000.0,-662000000.0,-94000000.0,-117000000.0,-436000000.0,-147000000.0,-215000000.0,199000000.0,-104000000.0,-2000000.0,-78000000.0,-51000000.0,4000000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-593000000.0,-495000000.0,-368000000.0,-194000000.0,-478000000.0,-282000000.0,-275000000.0,-458000000.0,-561000000.0,-828000000.0,-885000000.0,-493000000.0,-452000000.0,-528000000.0,-321000000.0,-123000000.0,-152000000.0,-137000000.0,-116000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
