date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,506622000.0,671135000.0,618158000.0,107681000.0,216691000.0,895344000.0,-313490000.0,599327000.0,245275000.0,151325000.0,137401000.0,-573919000.0,-1243903000.0,-64493000.0,357676000.0,540702000.0,489908000.0,470915000.0,351932000.0,303852000.0,276103000.0,257500000.0,232300000.0,209600000.0,185200000.0,146400000.0,125100000.0,110200000.0,85100000.0,65400000.0,63400000.0
,depreciationAndAmortization,64849000.0,67437000.0,62626000.0,57742000.0,59018000.0,58493000.0,56571000.0,58045000.0,56808000.0,56100000.0,68034000.0,73933000.0,84597000.0,260867000.0,327832000.0,254049000.0,82114000.0,148985000.0,128406000.0,132989000.0,107061000.0,109300000.0,91000000.0,77100000.0,72000000.0,69500000.0,65700000.0,27300000.0,27000000.0,25500000.0,16000000.0
,deferredIncomeTax,75044000.0,141332000.0,-12320000.0,207428000.0,61574000.0,-519128000.0,43512000.0,-288754000.0,-135491000.0,5862000.0,-12127000.0,-79890000.0,379726000.0,-223740000.0,-26208000.0,-37242000.0,23914000.0,-4131000.0,-22766000.0,19356000.0,-11234000.0,-51000000.0,-10500000.0,-28600000.0,-20000000.0,1400000.0,0.0,-43000000.0,0.0,0.0,0.0
,stockBasedCompensation,8254000.0,12303000.0,10521000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202000.0,1099000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,458201000.0,-3879471000.0,-3170416000.0,-5887011000.0,-2886524000.0,-1827267000.0,2199378000.0,520449000.0,953911000.0,-729922000.0,-183194000.0,2637212000.0,3957839000.0,-1677223000.0,870384000.0,-5458283000.0,-4427717000.0,262000000.0,-2213000000.0,149000000.0,-2939000000.0,-1803000000.0,-3751000000.0,-1908000000.0,-761000000.0,-2363000000.0,-11236000000.0,0.0,0.0,0.0,12600000.0
,accountsReceivables,-35616000.0,-8369000.0,49288000.0,-75802000.0,-13808000.0,5392000.0,9719000.0,-5809000.0,-519000.0,25449000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-5404000.0,-284000.0,-9786000.0,2549000.0,165000.0,528000.0,-707000.0,-2466000.0,-9164000.0,-12471000.0,-29562000.0,-47695000.0,-58406000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,485730000.0,-45550855000.0,-41671384000.0,-38500968000.0,-32613957000.0,-29727433000.0,-27900166000.0,-30099544000.0,-30619993000.0,-31573904000.0,-30843982000.0,-30660788000.0,-33298000000.0,-37255839000.0,-35578616000.0,-36449000000.0,-30990717000.0,-26563000000.0,-26825000000.0,-24612000000.0,-24761000000.0,-21822000000.0,-20019000000.0,-16268000000.0,-14360000000.0,-13599000000.0,-11236000000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-609259000.0,-437710000.0,-519721000.0,-422143000.0,-478641000.0,-1022481000.0,-782825000.0,-1076919000.0,-1251717000.0,-4985000.0,-19696000.0,-26095000.0,391727000.0,767160000.0,291857000.0,419076000.0,293039000.0,197429000.0,227385000.0,213250000.0,194850000.0,176200000.0,-241700000.0,149800000.0,-18300000.0,35400000.0,66200000.0,153600000.0,111400000.0,129100000.0,61600000.0
,netCashProvidedByOperatingActivites,678772000.0,705367000.0,847503000.0,635512000.0,589467000.0,670135000.0,873002000.0,819305000.0,524126000.0,676673000.0,163159000.0,628903000.0,1257518000.0,703962000.0,846016000.0,1069580000.0,142940000.0,562481000.0,383961000.0,442091000.0,412306000.0,548700000.0,7500000.0,583900000.0,54500000.0,124500000.0,272800000.0,260800000.0,207000000.0,203400000.0,153500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-60073000.0,-75665000.0,-80549000.0,-62697000.0,-100320000.0,-62656000.0,-51046000.0,-38573000.0,-54899000.0,-50043000.0,-66855000.0,-69640000.0,-146140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,-1843000000.0,0.0,0.0,714000000.0,-212000000.0,0.0,1000000.0,-1000000.0,904000000.0,0.0,0.0,720000000.0,-3000000.0,-412000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-29444956000.0,-18749595000.0,-8979718000.0,-6534336000.0,-4132034000.0,-2413618000.0,-3076883000.0,-2209192000.0,-1791539000.0,-2001272000.0,-613856000.0,-4499908000.0,-9355873000.0,-30119566000.0,-21184323000.0,-33657518000.0,-7047542000.0,-7425509000.0,-36243997000.0,-15308666000.0,-10428384000.0,-12414300000.0,-17112900000.0,-76676200000.0,-34246700000.0,-13033200000.0,-7676700000.0,-4344100000.0,-4679300000.0,-6182400000.0,-5492800000.0
,salesMaturitiesOfInvestments,18262363000.0,15688328000.0,6981788000.0,2083478000.0,1258863000.0,1538948000.0,2202678000.0,2497196000.0,2056584000.0,1849273000.0,2382706000.0,5725881000.0,10669250000.0,30848757000.0,23480842000.0,37714176000.0,6355938000.0,8001699000.0,35715809000.0,14827007000.0,9062346000.0,11731400000.0,16383600000.0,76239600000.0,34496100000.0,12171100000.0,8045100000.0,4005900000.0,3671300000.0,5783500000.0,5402700000.0
