Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,5548000.0,10163208.0,10000000.0,3310787.0,3000000.0,7927240.0,8000000.0,11619167.0,12000000.0,23297479.0,23000000.0,22508781.0,28687688.0,37367591.0,14617594.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1005411.0,0.0,0.0
Cash and short-term investments,5548000.0,10163208.0,,3310787.0,,7927240.0,,11619167.0,,23297479.0,,22508781.0,29693099.0,37367591.0,14617594.0
Receivables,917000.0,488613.0,0000000.0,143692.0,0000000.0,57928.0,0000000.0,2812.0,0000000.0,17742.0,0000000.0,52406.0,0.0,0.0,10007.0
Inventories,985000.0,1968546.0,3000000.0,1789578.0,2000000.0,1686324.0,2000000.0,980519.0,1000000.0,1127941.0,1000000.0,1271207.0,1068623.0,0.0,0.0
Total current assets,8719000.0,13936716.0,75000000.0,5720681.0,1000000.0,10502987.0,1000000.0,13024171.0,1000000.0,24989906.0,1000000.0,24404048.0,31566521.0,37804129.0,15101937.0
Property, Plant & Equipment Net,64000.0,341976.0,0000000.0,200720.0,0000000.0,326296.0,0000000.0,481522.0,0000000.0,577095.0,1000000.0,609672.0,630354.0,741564.0,965829.0
Goodwill and Intangible Assets,36927000.0,35813400.0,73000000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current assets,37554000.0,74767833.0,5000000.0,1320125.0,0000000.0,1084098.0,3000000.0,1361427.0,000000.0,1397862.0,3000000.0,1692437.0,919334.0,883136.0,1112063.0
Total assets,46273000.0,88704549.0,89000000.0,7040806.0,7000000.0,11587085.0,12000000.0,14385598.0,14000000.0,26387768.0,26000000.0,26096485.0,32485855.0,38687265.0,16214000.0
Payables,1628000.0,1088271.0,1000000.0,1311706.0,1000000.0,172050.0,0000000.0,399336.0,0000000.0,127329.0,0000000.0,340555.0,434436.0,125188.0,33618.0
Short-term debt,0.0,0.0,000000.0,0.0,000000.0,717391.0,1000000.0,2976164.0,3000000.0,4000000.0,4000000.0,3000000.0,2307162.0,921998.0,3880656.0
Total current liabilities,8364000.0,7043789.0,7000000.0,4063121.0,4000000.0,4486028.0,4000000.0,7721203.0,8000000.0,8840061.0,9000000.0,7537842.0,9563789.0,3997049.0,6280495.0
Long-term debt,0.0,0.0,000000.0,0.0,000000.0,549791.0,1000000.0,0.0,000000.0,2868330.0,3000000.0,6683972.0,2881161.0,4983159.0,3880810.0
Total debt,0.0,0.0,000000.0,0.0,000000.0,1267182.0,1000000.0,2976164.0,000000.0,6868330.0,3000000.0,9683972.0,5188323.0,5905157.0,7761466.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax Liabilities,1844000.0,5292291.0,5000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,6247000.0,5293891.0,5000000.0,39119.0,0000000.0,3427608.0,3000000.0,0.0,000000.0,2868330.0,3000000.0,6683972.0,2881161.0,4983159.0,4352395.0
Total liabilities,14611000.0,12337680.0,12000000.0,4102240.0,4000000.0,7913636.0,8000000.0,7721203.0,8000000.0,11708391.0,12000000.0,14221814.0,12444950.0,8980208.0,10632890.0
Other comprehensive income,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,692.0,0.0,0.0
Retained earnings (deficit),-418990000.0,-334759354.0,-335000000.0,-300941382.0,-301000000.0,-277580538.0,-278000000.0,-252081791.0,-252000000.0,-225953071.0,-226000000.0,-200172412.0,-176712309.0,-150714987.0,-133367600.0
Total shareholders equity,31662000.0,76366869.0,76000000.0,2938566.0,3000000.0,3673449.0,4000000.0,6664395.0,7000000.0,14679377.0,15000000.0,11874671.0,20040905.0,29707057.0,5581110.0
Investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1005411.0,0.0,0.0
Net Debt,-5548000.0,-10163208.0,-10000000,-3310787.0,-3000000,-6660058.0,-6000000,-8643003.0,-9000000,-16429149.0,-16000000,-12824809.0,-24504776.0,-31462434.0,-6856128.0
Other Assets,1269000.0,1316349.0,1000000,476624.0,1000000,831495.0,1000000,421673.0,1000000,546744.0,1000000,571654.0,804799.0,436538.0,474336.0
Other Liabilities,6736000.0,5955518.0,2000000,2751415.0,1000000,3596587.0,4000000,4345703.0,1000000,4712732.0,0,4197287.0,6822191.0,2949863.0,2366221.0
