date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,155810000.0,198075000.0,172595000.0,96787000.0,88526000.0,75063000.0,65000000.0,48349000.0,67303000.0,66739000.0,59251000.0,246546000.0,22962000.0,35681000.0,21271000.0,37933000.0,41118000.0,37906000.0,48235000.0,43309000.0,58222000.0,50300000.0,44100000.0,40300000.0,33900000.0,31800000.0,28200000.0,24300000.0,21400000.0,16600000.0
,depreciationAndAmortization,33337000.0,28138000.0,24171000.0,12645000.0,13037000.0,13266000.0,12785000.0,14270000.0,15833000.0,11951000.0,0.0,0.0,6677000.0,8080000.0,8477000.0,10589000.0,11054000.0,19482000.0,10323000.0,8809000.0,2175000.0,9200000.0,8300000.0,5600000.0,4700000.0,5100000.0,5700000.0,5900000.0,3600000.0,3300000.0
,deferredIncomeTax,-8380000.0,12590000.0,6267000.0,-4488000.0,346000.0,4192000.0,-22405000.0,-25328000.0,-14085000.0,-14463000.0,-11460000.0,127995000.0,-4210000.0,-3338000.0,14360000.0,-778000.0,3225000.0,1369000.0,-7524000.0,79000.0,9179000.0,2100000.0,1700000.0,-200000.0,700000.0,200000.0,1400000.0,-500000.0,1400000.0,-100000.0
,stockBasedCompensation,7678000.0,7969000.0,6219000.0,5446000.0,5354000.0,4049000.0,3970000.0,3803000.0,4186000.0,3935000.0,3084000.0,2799000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1340008000.0,12505919000.0,-3405496000.0,-364399000.0,-227902000.0,-827776000.0,-719498000.0,155619000.0,20348000.0,-435328000.0,278831000.0,-5979624000.0,3369550000.0,-100183000.0,331126000.0,161928000.0,17741000.0,-3671466000.0,7080000.0,-3548310000.0,-4792000.0,1063500000.0,2777600000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1500000.0
,accountsReceivables,-9697000.0,2117000.0,-3808000.0,-5707000.0,-1456000.0,-995000.0,-1903000.0,-1181000.0,3267000.0,-1438000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-7431000.0,1545000.0,5207000.0,55000.0,46000.0,2296000.0,30000.0,-350000.0,-1686000.0,-1853000.0,757000.0,-1274000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,64460000.0,1404468000.0,-11101451000.0,-7695955000.0,-7331556000.0,-7103654000.0,-6275878000.0,-5556380000.0,-5711999000.0,-5732347000.0,-5297019000.0,-5575850000.0,403774000.0,-2965776000.0,-2865593000.0,-3196719000.0,-3358647000.0,-3376388000.0,295078000.0,287998000.0,3836308000.0,3841100000.0,2777600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,23454000.0,5532000.0,9603000.0,5504000.0,14303000.0,-4816000.0,-574000.0,6529000.0,9448000.0,11482000.0,36388000.0,25633000.0,11061000.0,23966000.0,-22879000.0,4455000.0,-2835000.0,3848000.0,4304000.0,23304000.0,375000.0,-7200000.0,1600000.0,1400000.0,-3500000.0,1900000.0,1200000.0,6700000.0,7000000.0,5800000.0
,netCashProvidedByOperatingActivites,109888000.0,186329000.0,261398000.0,121171000.0,138361000.0,91567000.0,56654000.0,164354000.0,211834000.0,203078000.0,185015000.0,39453000.0,34654000.0,73404000.0,16720000.0,60809000.0,53255000.0,61758000.0,64137000.0,77380000.0,66840000.0,52200000.0,53200000.0,47200000.0,35700000.0,41800000.0,34800000.0,36900000.0,27700000.0,22800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-16466000.0,-20934000.0,-18228000.0,-6537000.0,-9726000.0,-7467000.0,-10609000.0,-7295000.0,-25502000.0,-23541000.0,-22789000.0,-13180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-52000000.0,24000000.0,0.0,0.0,-306000000.0,34000000.0,0.0,0.0,621000000.0,0.0,286000000.0,0.0,0.0,0.0,92000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1610861000.0,-846863000.0,-897530000.0,-746533000.0,-408180000.0,-551421000.0,-288280000.0,-447509000.0,-1030293000.0,-1027754000.0,-619555000.0,-113399000.0,-368147000.0,-47227000.0,-37459000.0,-193378000.0,-105078000.0,-673783000.0,-272907000.0,-253189000.0,-83509000.0,-137800000.0,-148200000.0,-151000000.0,-136500000.0,-118900000.0,-151100000.0,-76500000.0,-74000000.0,-154500000.0
,salesMaturitiesOfInvestments,1098331000.0,1094232000.0,714767000.0,536555000.0,525005000.0,331231000.0,373399000.0,437151000.0,663623000.0,520128000.0,169673000.0,338767000.0,225344000.0,63339000.0,274674000.0,155155000.0,215069000.0,500811000.0,246070000.0,232608000.0,77831000.0,188600000.0,226100000.0,155800000.0,198700000.0,154400000.0,229900000.0,117800000.0,120300000.0,101500000.0
,otherInvestingActivites,2076000.0,1453000.0,3797000.0,6983000.0,9356000.0,15817000.0,30570000.0,266353000.0,291262000.0,0.0,85065000.0,0.0,-187635000.0,-113085000.0,114673000.0,263886000.0,-98638000.0,-72067000.0,117518000.0,103064000.0,-23259000.0,-395700000.0,-266100000.0,-5500000.0,-97900000.0,-45600000.0,-179100000.0,-44300000.0,600000.0,61700000.0
