date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,64398000.0,98070000.0,74955000.0,110940000.0,60251000.0,44467000.0,27376000.0,47218000.0,41457849.801202,-5367929.860736,-72169361.248095,8932322.861792,40472000.0,29073000.0,20528000.0
,depreciationAndAmortization,13213000.0,14796000.0,13133000.0,11585000.0,8987000.0,6917000.0,6429000.0,5881000.0,6352110.276213,7598097.815196,11111065.967891,10625019.977564,7894000.0,1092000.0,866000.0
,deferredIncomeTax,1118000.0,-1664000.0,581000.0,-3373000.0,911000.0,471000.0,1181000.0,1582000.0,2296549.931064,-172404.500345,1621343.047599,264662.771105,-3425000.0,-2630000.0,-693000.0
,stockBasedCompensation,14591000.0,20779000.0,15494000.0,17364000.0,10418000.0,10347000.0,10262000.0,11802000.0,8859915.240028,6603472.413207,13953307.395428,8403880.137659,0.0,0.0,0.0
,changeInWorkingCapital,-18687000.0,-28213000.0,-8760000.0,-10992000.0,-14628000.0,6509000.0,3997000.0,2611000.0,-5925493.228231,-18555423.037111,16297188.511523,54935150.923839,-5650000.0,-11221000.0,-3893000.0
,accountsReceivables,-18755000.0,-12628000.0,-5156000.0,-14620000.0,-29179000.0,2359000.0,5572000.0,2002000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-10155000.0,12668000.0,-22299000.0,-24777000.0,-410000.0,-10410000.0,-1523000.0,-1828000.0,-7445382.224301,-8321194.766642,5651479.688833,-2775275.614282,640000.0,-4559000.0,7031000.0
,accountsPayables,4426000.0,-28766000.0,24248000.0,9198000.0,7651000.0,-415000.0,-11981000.0,5644000.0,10376681.571732,187088.250374,-1696787.785578,-1994012.058077,0.0,0.0,0.0
,otherWorkingCapital,-18025000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-440702.979633,-1395854.552792,308529.599558,2545712.472241,2599000.0,0.0,0.0
,otherNonCashItems,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1493.448175,1520.200003,-2468.986868,30.442003,10776000.0,2544000.0,0.0
,netCashProvidedByOperatingActivites,77695000.0,108242000.0,103881000.0,125568000.0,65946000.0,68725000.0,49128000.0,69236000.0,53028916.550868,-9625042.66925,10123689.991509,84782316.849496,49315000.0,18311000.0,16433000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-11015000.0,-74853000.0,-11683000.0,-12220000.0,-23664000.0,-11596000.0,-12772000.0,-4280000.0,-4898374.245894,-4736355.859473,-3109048.274319,-17861845.059339,-6970000.0,-8337000.0,-1302000.0
,acquisitionsNet,44000000.0,0.0,-3000000.0,0.0,-30000000.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,-55000000.0,0.0,0.0
,purchasesOfInvestments,0.0,-4715000.0,0.0,0.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-588000.0,-4759000.0,-254975000.0
,salesMaturitiesOfInvestments,1715000.0,0.0,0.0,4000000.0,0.0,0.0,46000.0,0.0,0.0,104237.350208,807858.753949,0.0,1882000.0,0.0,225598000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-463000.0,-3817000.0,-89000.0,-469000.0,-8912423.52018,-5359534.210719,885241.177825,-387191.831802,783000.0,42000.0,-185000.0
,netCashUsedForInvestingActivites,34668000.0,-79568000.0,-14548000.0,-8220000.0,-58414000.0,-15413000.0,-12815000.0,-4749000.0,-14529994.888334,-9991652.719983,-1415729.571556,-30274054.128925,-60158000.0,-13041000.0,-30852000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-25000000.0,-25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-238960.425266,-33090.456889,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,380000.0,93000.0,494000.0,514000.0,422000.0,224000.0,2289591.820249,0.0,0.0,1027448.031696,3221000.0,1839000.0,38999000.0
,commonStockRepurchased,-26231000.0,-33539000.0,0.0,0.0,0.0,0.0,-10018000.0,0.0,0.0,0.0,0.0,-51381990.815648,0.0,0.0,0.0
,dividendsPaid,-44029000.0,-43281000.0,-32120000.0,-22899000.0,-20765000.0,-20224000.0,-19897000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811546.607753,536631.622848,626000.0,0.0,-9000.0
,netCashUsedProvidedByFinancingActivities,-70260000.0,-101820000.0,-31740000.0,2194000.0,-20271000.0,-19710000.0,-29493000.0,224000.0,2289591.820249,0.0,577274.132237,-49238599.85053,3849000.0,1839000.0,38990000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-977000.0,-1250000.0,2753000.0,-521000.0,-953000.0,-1111000.0,166000.0,1260000.0,-2842914.369076,6425781.762852,2110952.519507,-5919021.228731,834000.0,138000.0,1490000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
