date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-131728000.0,202243000.0,266983000.0,262968000.0,224982000.0,194532000.0,179633000.0,180226000.0,121556000.0,115228000.0,114874000.0,8007000.0,129976000.0,104664000.0,82289000.0,69060000.0,53713000.0,37594000.0,31159000.0,23580000.0,24172000.0,23200000.0,19200000.0
,depreciationAndAmortization,170333000.0,171763000.0,153430000.0,132946000.0,107573000.0,89617000.0,66739000.0,53946000.0,50254000.0,47927000.0,52099000.0,47720000.0,43829000.0,40327000.0,33868000.0,30942000.0,26664000.0,16359000.0,13910000.0,10449000.0,10460000.0,10000000.0,7300000.0
,deferredIncomeTax,15246000.0,-4115000.0,573000.0,812000.0,-1065000.0,-1136000.0,1796000.0,-14787000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,15077000.0,13760000.0,18329000.0,14142000.0,11164000.0,14885000.0,8902000.0,6516000.0,5833000.0,5610000.0,4710000.0,4307000.0,3965000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,560199000.0,379961000.0,-549640000.0,356358000.0,217662000.0,-62384000.0,17029000.0,47431000.0,550317000.0,22137000.0,-2719602000.0,80080000.0,454720000.0,554092000.0,1451767000.0,54781000.0,48565000.0,-5900000.0,-20200000.0,-2000000.0,2800000.0,-1400000.0,-7200000.0
,accountsReceivables,-47383000.0,-1385000.0,-22300000.0,8866000.0,-37627000.0,-11623000.0,-5214000.0,-7163000.0,-6348000.0,606000.0,-8602000.0,1583000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-16128000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1426973000.0,866774000.0,486813000.0,1036453000.0,680095000.0,462433000.0,524817000.0,507788000.0,460357000.0,-89960000.0,-112097000.0,2607505000.0,2527425000.0,2072705000.0,1518613000.0,66846000.0,12065000.0,-36500000.0,-30600000.0,-10400000.0,-8400000.0,-11200000.0,-9800000.0
,otherNonCashItems,6949000.0,44299000.0,37174000.0,7003000.0,-397000.0,5050000.0,4741000.0,10255000.0,4658000.0,4607000.0,8440000.0,1103000.0,2262000.0,-1713000.0,5542000.0,1317000.0,2618000.0,2167000.0,-172000.0,54000.0,-2862000.0,300000.0,100000.0
,netCashProvidedByOperatingActivites,65273000.0,439530000.0,484328000.0,391100000.0,306202000.0,278460000.0,250295000.0,234120000.0,207255000.0,195799000.0,180391000.0,148817000.0,146256000.0,131590000.0,105562000.0,94531000.0,84416000.0,51002000.0,45855000.0,32829000.0,30682000.0,33400000.0,19400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53175000.0,-247117000.0,-154784000.0,-177899000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,450000000.0,0.0,0.0,0.0,0.0,0.0,47000000.0,42000000.0,227000000.0,7000000.0,0.0,1000000.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-154727000.0,-43968000.0,-135625000.0,-194085000.0,-72698000.0,-98264000.0,-3262000.0,-113823000.0,-2113000.0,-51833000.0,0.0,0.0,-71002000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,74243000.0,606000.0,25561000.0,4741000.0,51817000.0,2927000.0,4494000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3065000.0,1445000.0,15295000.0,0.0,0.0
,otherInvestingActivites,-12882000.0,516025000.0,298700000.0,-112242000.0,-122013000.0,-31742000.0,-20258000.0,-58919000.0,-113823000.0,0.0,-4586000.0,0.0,-124043000.0,-236860000.0,-26323000.0,-36156000.0,-517731000.0,3923000.0,5268000.0,-13336000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,133986000.0,96505000.0,-96812000.0,-702213000.0,-662147000.0,-568539000.0,-376226000.0,-336458000.0,-255783000.0,89682000.0,-320318000.0,-192002000.0,-491952000.0,-420648000.0,-161152000.0,-219914000.0,-251790000.0,-143739000.0,-155341000.0,-34267000.0,-22521000.0,-41200000.0,-249200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-160000000.0,-866735000.0,-949684000.0,-823288000.0,-865266000.0,-503314000.0,-310253000.0,-552468000.0,-658571000.0,-425859000.0,-711880000.0,-267174000.0,-346156000.0,-473989000.0,-392942000.0,-196709000.0,-90923000.0,-100263000.0,-5149000.0,-126150000.0,-14365000.0,-1100000.0,-400000.0
,commonStockIssued,972000.0,305556000.0,956000.0,99069000.0,142628000.0,190158000.0,264158000.0,220785000.0,231000.0,253000.0,141134000.0,284965000.0,224214000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-105994000.0,0.0,0.0,-125025000.0,0.0,0.0,-2892000.0,-3246000.0,-118245000.0,-83100000.0,-2182000.0,-1201000.0,-777000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
