date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-01-31_FY,2012-01-31_FY,2011-01-31_FY,2010-01-31_FY,2009-01-31_FY
,revenue,1466812000.0,1384826000.0,1164043000.0,920802000.0,100000.0,427145000.0,274340000.0,137764000.0,55189000.0,19333000.0
,costOfRevenue,967067000.0,894922000.0,697341000.0,508004000.0,136000.0,290767000.0,22759000.0,11559000.0,7892000.0,7398000.0
,grossProfit,499745000.0,489904000.0,466702000.0,412798000.0,32000.0,136378000.0,251581000.0,126205000.0,47297000.0,11935000.0
,grossProfitRatio,0.340701466854648,0.353765743855185,0.400931924336128,0.448302675276552,0.32,0.319277996933126,0.917040898155573,0.916095641822247,0.857000489227926,0.617338229969482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,154325000.0,141636000.0,84581000.0,53153000.0,0.0,18118000.0,13425000.0,6736000.0,6026000.0,6116000.0
,GeneralAndAdministrativeExpenses,190711000.0,175572000.0,153943000.0,112443000.0,-14000.0,48247000.0,35428000.0,14183000.0,6358000.0,4190000.0
,SellingAndMarketingExpenses,492542000.0,491455000.0,398169000.0,277330000.0,25000.0,107715000.0,65010000.0,36250000.0,17426000.0,13265000.0
,otherExpenses,3024000.0,1697000.0,-1220000.0,306000.0,4000.0,-1000.0,0.0,0.0,0.0,0.0
,operatingExpenses,-992619000.0,808663000.0,636693000.0,442926000.0,40000.0,174080000.0,113863000.0,0.0,0.0,0.0
,costAndExpenses,-25552000.0,1703585000.0,1334034000.0,950930000.0,176000.0,464847000.0,136622000.0,68728000.0,37702000.0,30969000.0
,interestExpense,29335000.0,26144000.0,0.0,0.0,0.0,535000.0,616000.0,612000.0,898000.0,1126000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,62948000.0,60757000.0,24458000.0,15431000.0,7076000.0,7076000.0,4455000.0,1578000.0,1145000.0,1170000.0
,EBITDA,1555312000.0,-258002000.0,-145533000.0,-14697000.0,7068000.0,-30626000.0,142173000.0,70614000.0,18632000.0,-10466000.0
,EBITDARatio,1.0603349304478,-0.186306438498411,-0.125023731941174,-0.0159610860966853,70.68,-0.0716993058563251,0.518236494860392,0.512572224964432,0.337603507945424,-0.541354161278643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1492364000.0,-318759000.0,-169991000.0,-30128000.0,-8000.0,-37702000.0,137718000.0,69036000.0,17487000.0,-11636000.0
,operatingIncomeRatio,1.01742009200906,-0.230179820425093,-0.146034983243746,-0.032719303389871,-0.08,-0.0882651090379145,0.501997521323905,-0.0118318283441247,-0.303556868216492,-1.46009413955413
,totalOtherIncomeExpensesNet,-152017000.0,1697000.0,-1220000.0,306000.0,0.0,-1000.0,-153193000.0,-70085000.0,-33404000.0,-15713000.0
,incomeBeforeTax,-519185000.0,-343206000.0,-171211000.0,-29822000.0,-8000.0,-38143000.0,-16032000.0,-1630000.0,-16753000.0,-28228000.0
,incomeBeforeTaxRatio,-0.353954699034368,-0.247833301801093,-0.147083054491973,-0.0323869843896951,-0.08,-0.0892975453300402,-0.0584384340599256,-0.0118318283441247,-0.303556868216492,-1.46009413955413
,incomeTaxExpense,-790000.0,-228000.0,-1550000.0,584000.0,0.0,5000.0,75000.0,134000.0,0.0,0.0
,netIncome,-518395000.0,-342978000.0,-169661000.0,-30406000.0,-8000.0,-38148000.0,-16107000.0,-1764000.0,-16753000.0,-28228000.0
,netIncomeRatio,-0.353416116039411,-0.247668660178246,-0.145751488561849,-0.033021214115521,-0.08,-0.089309250956935,-0.0587118174527958,-0.0128045062570773,-0.303556868216492,-1.46009413955413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.29,-1.49,-0.79,-0.15,-4e-05,-0.23,-0.19,-0.01,0.0,0.0
,EPSDiluted,-2.29,-1.49,-0.79,-0.15,-4e-05,-0.23,-0.19,-0.01,0.0,0.0
,weightedAverageShsOut,243637000.0,230693000.0,213790000.0,205273000.0,177913000.0,168294000.0,105955000.0,147213000.0,14900000.0,14900000.0
,weightedAverageShsOutDil,243637000.0,230693000.0,213790000.0,205273000.0,177913000.0,168294000.0,105955000.0,147213000.0,14900000.0,14900000.0
