date,,2021-03-31_FY,2020-03-28_FY,2019-03-31_FY,2019-03-30_FY,2018-03-31_FY,2017-04-01_FY,2017-03-31_FY,2016-04-02_FY,2016-03-31_FY,2015-03-31_FY,2015-03-28_FY,2014-03-31_FY,2014-03-29_FY,2013-03-31_FY,2012-03-31_FY,2011-04-02_FY,2011-03-31_FY,2010-04-03_FY,2010-03-31_FY,2009-03-28_FY,2008-03-31_FY,2008-03-29_FY,2007-03-31_FY,2006-04-01_FY,2006-03-31_FY,2005-04-02_FY,2004-04-03_FY,2003-03-29_FY,2002-03-30_FY,2001-03-31_FY,2000-03-31_FY,1999-03-27_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-57331000.0,-827182000.0,-135561000.0,-135561000.0,-869000.0,82599000.0,82599000.0,68392000.0,68392000.0,112301000.0,112301000.0,112417000.0,112417000.0,106402000.0,109036000.0,109243000.0,109243000.0,57378000.0,57378000.0,-64900000.0,68395000.0,68395000.0,50143000.0,81150000.0,81150000.0,97500000.0,62300000.0,41500000.0,36200000.0,73550000.0,64517000.0,54200000.0,39200000.0,29700000.0,25500000.0,20800000.0,-40700000.0
,depreciationAndAmortization,164867000.0,230262000.0,201369000.0,205962000.0,21178000.0,22427000.0,20977000.0,21350000.0,20142000.0,18711000.0,18711000.0,15566000.0,15566000.0,16219000.0,13760000.0,15697000.0,0.0,18144000.0,18144000.0,25800000.0,28486000.0,28486000.0,29151000.0,23083000.0,24244000.0,12000000.0,12400000.0,11500000.0,9500000.0,7034000.0,4272000.0,4700000.0,3600000.0,2900000.0,2400000.0,1800000.0,2000000.0
,deferredIncomeTax,-21174000.0,-97031000.0,-49932000.0,49932000.0,7464000.0,657000.0,-657000.0,8291000.0,-8291000.0,-980000.0,980000.0,-5813000.0,5813000.0,984000.0,-9134000.0,5165000.0,1030000.0,-12449000.0,-12449000.0,-26900000.0,-9313000.0,-9313000.0,-8430000.0,-4595000.0,-4595000.0,5700000.0,-8800000.0,1200000.0,1000000.0,-1406000.0,-6493000.0,3300000.0,4700000.0,2800000.0,-700000.0,0.0,-1700000.0
,stockBasedCompensation,42644000.0,57095000.0,41934000.0,41934000.0,33959000.0,33539000.0,33539000.0,33265000.0,33265000.0,28594000.0,28594000.0,23180000.0,23180000.0,18350000.0,17481000.0,15873000.0,15873000.0,14577000.0,14577000.0,15742000.0,0.0,15992000.0,0.0,1161000.0,0.0,194000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-23471000.0,4772000.0,-43714000.0,0.0,-521295000.0,192405000.0,0.0,93979000.0,0.0,-20004000.0,0.0,49152000.0,0.0,-4324000.0,25023000.0,-86137000.0,0.0,24142000.0,0.0,122376000.0,42611000.0,0.0,76585000.0,56984000.0,0.0,-134080000.0,86100000.0,145800000.0,6900000.0,-40078000.0,58472000.0,2006000.0,-22500000.0,35500000.0,14700000.0,25400000.0,6600000.0
,accountsReceivables,-24253000.0,33499000.0,-10307000.0,-10307000.0,-12238000.0,-13894000.0,-13894000.0,8445000.0,8445000.0,4272000.0,4272000.0,-11136000.0,-11136000.0,-16335000.0,-9402000.0,-15086000.0,-15086000.0,388000.0,388000.0,50706000.0,0.0,-19196000.0,0.0,-15093000.0,0.0,-23498000.0,-14496000.0,-6700000.0,16400000.0,0.0,0.0,-5200000.0,0.0,0.0,0.0,0.0,0.0
,inventory,-41994000.0,-6709000.0,-7182000.0,-7182000.0,-13309000.0,-3791000.0,-3791000.0,1357000.0,1357000.0,128000.0,128000.0,6040000.0,6040000.0,-14811000.0,606000.0,12962000.0,12962000.0,418000.0,27620000.0,11364000.0,-8273000.0,7776000.0,-35140000.0,10424000.0,-26670000.0,-370000.0,-7004000.0,2300000.0,12100000.0,-14483000.0,-14863000.0,10800000.0,-9700000.0,-2000000.0,-1200000.0,-2000000.0,-1000000.0
,accountsPayables,46453000.0,-31768000.0,3658000.0,3658000.0,2884000.0,4377000.0,4377000.0,5407000.0,5407000.0,-62000.0,-62000.0,-6311000.0,-6311000.0,2778000.0,131000.0,10216000.0,10216000.0,-9048000.0,-9048000.0,-15069000.0,0.0,-2060000.0,0.0,5349000.0,0.0,1241000.0,5479000.0,500000.0,-3300000.0,0.0,0.0,-1200000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-15757000.0,213975000.0,209203000.0,252917000.0,252917000.0,774212000.0,581807000.0,581807000.0,487828000.0,487828000.0,507832000.0,507832000.0,458680000.0,458680000.0,463004000.0,437981000.0,524118000.0,524118000.0,499976000.0,499976000.0,377600000.0,334989000.0,334989000.0,258404000.0,201420000.0,201420000.0,335500000.0,249400000.0,103600000.0,96700000.0,136778000.0,78306000.0,76300000.0,98800000.0,63300000.0,48600000.0,23200000.0
,otherNonCashItems,26118000.0,773429000.0,17464000.0,0.0,654000.0,0.0,288000.0,0.0,14663000.0,-1188000.0,0.0,1983000.0,0.0,693000.0,683000.0,0.0,110337000.0,0.0,10105000.0,148600000.0,25306000.0,0.0,31275000.0,0.0,0.0,12400000.0,24500000.0,2400000.0,1200000.0,0.0,0.0,600000.0,0.0,-100000.0,-200000.0,1000000.0,-100000.0
,netCashProvidedByOperatingActivites,145180000.0,78019000.0,116047000.0,116047000.0,121148000.0,137971000.0,137971000.0,146869000.0,146869000.0,154438000.0,154438000.0,141491000.0,141491000.0,125501000.0,140448000.0,158232000.0,158232000.0,143729000.0,143729000.0,99200000.0,102900000.0,102900000.0,73048000.0,78348000.0,78348000.0,93600000.0,72400000.0,50100000.0,76800000.0,65807000.0,81137000.0,86900000.0,39200000.0,34600000.0,26900000.0,18300000.0,28900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-22880000.0,0.0,-26797000.0,0.0,-23176000.0,0.0,-30661000.0,0.0,0.0,-21962000.0,0.0,-50985000.0,0.0,0.0,-18567000.0,0.0,-6000000.0,0.0,-23700000.0,-23298000.0,-23000000.0,-24028000.0,0.0,-41860000.0,-27700000.0,-16900000.0,-11800000.0,-11400000.0,-14946000.0,-15221000.0,-3800000.0,-5900000.0,-8200000.0,-3900000.0,-3600000.0,-2200000.0
