date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-11-30_FY,2007-11-30_FY,2006-11-30_FY,2005-11-30_FY,2004-11-30_FY,2003-11-30_FY,2002-11-30_FY,2001-11-30_FY,2000-11-30_FY,1999-11-30_FY,1998-11-30_FY,1997-11-30_FY,1996-11-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,10996000000.0,9042000000.0,8748000000.0,6111000000.0,5979000000.0,6127000000.0,3467000000.0,2932000000.0,68000000.0,4110000000.0,4703000000.0,1346000000.0,-1288000000.0,1707000000.0,3209000000.0,7472000000.0,4939000000.0,4486000000.0,3787000000.0,2988000000.0,3521000000.0,5456000000.0,4791000000.0,3276000000.0,2586000000.0,1980000000.0
,depreciationAndAmortization,3769000000.0,2643000000.0,1844000000.0,1753000000.0,1736000000.0,1433000000.0,1161000000.0,1511000000.0,1581000000.0,1404000000.0,1419000000.0,1224000000.0,104000000.0,794000000.0,475000000.0,876000000.0,815000000.0,805000000.0,637000000.0,787000000.0,729000000.0,727000000.0,541000000.0,575000000.0,338000000.0,251000000.0
,deferredIncomeTax,-250000000.0,165000000.0,449000000.0,2747000000.0,1579000000.0,1189000000.0,-231000000.0,-117000000.0,-639000000.0,413000000.0,-129000000.0,-932000000.0,0.0,-1224000000.0,-2046000000.0,212000000.0,-1076000000.0,-195000000.0,205000000.0,55000000.0,-427000000.0,-219000000.0,-160000000.0,-55000000.0,-77000000.0,-426000000.0
,stockBasedCompensation,1312000000.0,1153000000.0,920000000.0,1026000000.0,1136000000.0,1104000000.0,1260000000.0,1180000000.0,891000000.0,1300000000.0,1260000000.0,1265000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-42277000000.0,30027000000.0,-1863000000.0,-7636000000.0,-15609000000.0,19323000000.0,35368000000.0,-79653000000.0,-29938000000.0,54415000000.0,-26630000000.0,-83224000000.0,-3632000000.0,378972000000.0,116787000000.0,-181427000000.0,-106958000000.0,-142352000000.0,-58323000000.0,-40209000000.0,-45962000000.0,-44123000000.0,-45313000000.0,-12097000000.0,-59023000000.0,-18883000000.0
,accountsReceivables,-29774000000.0,233000000.0,-728000000.0,-9315000000.0,-2881000000.0,-434000000.0,3608000000.0,6774000000.0,-10200000000.0,0.0,0.0,0.0,990000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,10187000000.0,19942000000.0,-13063000000.0,2007000000.0,1803000000.0,4373000000.0,27971000000.0,26697000000.0,-1283000000.0,0.0,0.0,0.0,-6836000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,8933000000.0,-553596000000.0,-583623000000.0,-581760000000.0,-574124000000.0,-558515000000.0,-577838000000.0,-613206000000.0,-533553000000.0,-503615000000.0,-558030000000.0,-531400000000.0,-448176000000.0,-444544000000.0,-823516000000.0,-940303000000.0,-758876000000.0,-651918000000.0,-509566000000.0,-451243000000.0,-411034000000.0,-365072000000.0,-320949000000.0,-275636000000.0,-263539000000.0,-204516000000.0
,otherNonCashItems,274000000.0,-195000000.0,199000000.0,63000000.0,-199000000.0,322000000.0,-72000000.0,100000000.0,0.0,0.0,-76000000.0,0.0,79000000.0,3116000000.0,2650000000.0,2836000000.0,-29146000000.0,1718000000.0,-4620000000.0,1908000000.0,1851000000.0,-62801000000.0,-28836000000.0,3247000000.0,-8655000000.0,1727000000.0
,netCashProvidedByOperatingActivites,-25231000000.0,40773000000.0,7305000000.0,-4505000000.0,2447000000.0,3674000000.0,1131000000.0,35553000000.0,24548000000.0,6684000000.0,40307000000.0,-45951000000.0,-14165000000.0,73417000000.0,-22093000000.0,-60803000000.0,-31352000000.0,-24506000000.0,2355000000.0,-5054000000.0,-24091000000.0,-2384000000.0,-29271000000.0,15369000000.0,-588000000.0,-15351000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1444000000.0,-1826000000.0,-1865000000.0,-1629000000.0,-1276000000.0,-1373000000.0,-992000000.0,-1316000000.0,-1312000000.0,-1304000000.0,-1201000000.0,-2877000000.0,-107000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,998000000.0,989000000.0,1147000000.0,1725000000.0,0.0,-202000000.0,-1595000000.0,569000000.0,569000000.0,-693000000.0,-2706000000.0,-323000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-59777000000.0,-42586000000.0,-27800000000.0,-23962000000.0,-50911000000.0,-47291000000.0,-32623000000.0,-30557000000.0,-24477000000.0,-20601000000.0,-29989000000.0,0.0,0.0,0.0,-14073000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,38267000000.0,29163000000.0,15876000000.0,25576000000.0,42083000000.0,43589000000.0,17631000000.0,16182000000.0,15136000000.0,19998000000.0,999000000.0,0.0,0.0,0.0,4272000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-802000000.0,-953000000.0,-298000000.0,-251000000.0,200000000.0,-102000000.0,-213000000.0,140000000.0,0.0,0.0,0.0,0.0,0.0,0.0,525000000.0,-632000000.0,-3258000000.0,-1769000000.0,2366000000.0,-4531000000.0,1294000000.0,-1650000000.0,-5995000000.0,2152000000.0,-2227000000.0,0.0
,netCashUsedForInvestingActivites,-37898000000.0,-33561000000.0,-22881000000.0,-12391000000.0,-19508000000.0,-19995000000.0,-35324000000.0,-24461000000.0,-12414000000.0,-2036000000.0,-29157000000.0,-4472000000.0,-107000000.0,729000000.0,-11438000000.0,-2345000000.0,-4121000000.0,-3096000000.0,1763000000.0,-5655000000.0,-887000000.0,-2685000000.0,-6651000000.0,3193000000.0,-2528000000.0,-4137000000.0
