date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-3696000000.0,1363000000.0,256000000.0,1288000000.0,1427000000.0,1215000000.0,1166000000.0,334000000.0,1069000000.0,959000000.0,642200000.0,1151600000.0,1300600000.0,1931100000.0,1000100000.0,1050700000.0,1474500000.0,1405800000.0,1056200000.0,857400000.0,679700000.0,456300000.0,247100000.0,181100000.0,111900000.0,85000000.0,35100000.0,33600000.0,25200000.0,17400000.0,12800000.0
,depreciationAndAmortization,913000000.0,1000000000.0,1032000000.0,717000000.0,641000000.0,451000000.0,459000000.0,397000000.0,325000000.0,313300000.0,254400000.0,399400000.0,381300000.0,322100000.0,392700000.0,409700000.0,299200000.0,265800000.0,243500000.0,280600000.0,245900000.0,233500000.0,64300000.0,51300000.0,32500000.0,21200000.0,17000000.0,7200000.0,5600000.0,4600000.0,3100000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000000.0,120200000.0,69500000.0,26900000.0,11700000.0,31600000.0,53200000.0,105100000.0,215200000.0,239700000.0,149100000.0,127600000.0,132400000.0,95500000.0,15900000.0,20500000.0,24300000.0,-11400000.0,-6600000.0,2800000.0,0.0,4100000.0
,stockBasedCompensation,90000000.0,82000000.0,85000000.0,96000000.0,111000000.0,110000000.0,96000000.0,93000000.0,85000000.0,79500000.0,99500000.0,122800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,687000000.0,-22000000.0,-5464000000.0,4869000000.0,-2254000000.0,1685000000.0,-356000000.0,-156000000.0,389600000.0,-434900000.0,-1017900000.0,590900000.0,723500000.0,-319100000.0,66200000.0,-350800000.0,-2246700000.0,839000000.0,954700000.0,1532400000.0,421500000.0,803000000.0,289700000.0,240800000.0,252800000.0,130200000.0,106600000.0,29800000.0,112500000.0,129700000.0,-5200000.0
,accountsReceivables,82000000.0,-751000000.0,-871000000.0,-665000000.0,-866000000.0,-870000000.0,925000000.0,216000000.0,-129000000.0,-457200000.0,20600000.0,-648800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-409000000.0,-551000000.0,-1211000000.0,-673000000.0,-1179000000.0,-779000000.0,142000000.0,-370000000.0,-495000000.0,-664700000.0,477400000.0,-341800000.0,613100000.0,217400000.0,-368200000.0,90100000.0,245500000.0,-234400000.0,-1071100000.0,-1517800000.0,-926300000.0,-318500000.0,-459300000.0,-169400000.0,-148400000.0,-159000000.0,-232200000.0,27800000.0,-132400000.0,-42600000.0,-5800000.0
,accountsPayables,-162000000.0,1864000000.0,2574000000.0,564000000.0,2815000000.0,1948000000.0,-196000000.0,426000000.0,319000000.0,1356500000.0,451000000.0,749000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2325000000.0,1638000000.0,1660000000.0,7124000000.0,2255000000.0,4509000000.0,2824000000.0,3180000000.0,3336000000.0,2946400000.0,3381300000.0,4399200000.0,3808300000.0,3084800000.0,3403900000.0,3337700000.0,3688500000.0,5935200000.0,5096200000.0,4141500000.0,2609100000.0,2187600000.0,1384600000.0,1094900000.0,854100000.0,601300000.0,471100000.0,364500000.0,334700000.0,222200000.0,92500000.0
,otherNonCashItems,0.0,0.0,-2000000.0,-5000000.0,-16000000.0,8000000.0,0.0,0.0,-71000000.0,0.0,26800000.0,62100000.0,135000000.0,181300000.0,290100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93900000.0,-1800000.0,-21000000.0,6400000.0,21500000.0,0.0,100000.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,1960000000.0,2722000000.0,2768000000.0,1184000000.0,2971000000.0,2540000000.0,2524000000.0,1727000000.0,1176000000.0,1394600000.0,2134100000.0,1567300000.0,1512100000.0,1223100000.0,2140300000.0,2850200000.0,2624700000.0,1398000000.0,983900000.0,871700000.0,638200000.0,345700000.0,143100000.0,39200000.0,122200000.0,10500000.0,-74900000.0,106500000.0,-93800000.0,-23400000.0,17700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-375000000.0,-328000000.0,-384000000.0,-387000000.0,-465000000.0,-300000000.0,-249000000.0,-195000000.0,-263000000.0,-291300000.0,-255800000.0,-533400000.0,-376100000.0,-357400000.0,-443200000.0,-571700000.0,-410200000.0,-423200000.0,-285400000.0,-341200000.0,-307800000.0,-467400000.0,-114700000.0,-75200000.0,-73100000.0,-43000000.0,-11300000.0,-5300000.0,-8900000.0,-10900000.0,-3800000.0
,acquisitionsNet,2000000.0,681000000.0,-5280000000.0,-129000000.0,-3601000000.0,-503000000.0,-519000000.0,-2239000000.0,-174000000.0,-2300000000.0,126000000.0,8000000.0,44000000.0,-1630000000.0,-362000000.0,-273000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-20000000.0,-18000000.0,-9000000.0,-194000000.0,-200000000.0,-342000000.0,-129000000.0,-12000000.0,-35000000.0,-155600000.0,0.0,0.0,0.0,0.0,-398600000.0,-99800000.0,0.0,0.0,0.0,0.0,-7700000.0,0.0,0.0,-3400000.0,-163700000.0,-146600000.0,-115200000.0,-330400000.0,-100700000.0,-69100000.0,-2900000.0
