date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,92938000.0,100974000.0,58105000.0,84572000.0,71127000.0,59198000.0,36978000.0,38944000.0,30622000.0,75020000.0,54084000.0,24806000.0,60504000.0,73803000.0,42712000.0,49082000.0,6728000.0,-15610000.0,-31794000.0,20663000.0,174218000.0,235600000.0,27400000.0,-49900000.0,-62500000.0,-33900000.0,110100000.0,106800000.0,-75800000.0,-149600000.0
,depreciationAndAmortization,17629000.0,17851000.0,18807000.0,18614000.0,22359000.0,25654000.0,24499000.0,12631000.0,10608000.0,10607000.0,14240000.0,10398000.0,10057000.0,10202000.0,9888000.0,11220000.0,11823000.0,16011000.0,13863000.0,9973000.0,12647000.0,7700000.0,8600000.0,8100000.0,8800000.0,9100000.0,6800000.0,19000000.0,10200000.0,40700000.0
,deferredIncomeTax,-673000.0,-11198000.0,-17635000.0,-33311000.0,12571000.0,-13195000.0,22026000.0,466000.0,-7336000.0,9366000.0,1225000.0,-110183000.0,432000.0,44656000.0,-10379000.0,20310000.0,-14230000.0,-3314000.0,1186000.0,-16731000.0,69522000.0,102200000.0,-59600000.0,0.0,1100000.0,0.0,0.0,4700000.0,6700000.0,32300000.0
,stockBasedCompensation,9483000.0,9469000.0,9951000.0,10887000.0,10034000.0,5621000.0,3251000.0,2519000.0,5563000.0,3183000.0,2704000.0,3642000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,160107000.0,-166820000.0,-21769000.0,-100245000.0,141868000.0,-220304000.0,404445000.0,-260591000.0,249354000.0,-105348000.0,59691000.0,181076000.0,-227165000.0,151919000.0,-56629000.0,68710000.0,-20002000.0,-54416000.0,-177475000.0,243015000.0,169167000.0,112800000.0,-78300000.0,51400000.0,-100600000.0,33600000.0,48900000.0,-84700000.0,146300000.0,99600000.0
,accountsReceivables,0.0,-7950000.0,-13372000.0,-17492000.0,-5809000.0,-1414000.0,-11197000.0,5975000.0,13622000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,1217000.0,-7767000.0,-1207000.0,43000.0,-3317000.0,3806000.0,3173000.0,6897000.0,8837000.0,-2149000.0,-8593000.0,-5905000.0,-5756000.0,4474000.0,-20904000.0,8546000.0,10774000.0,-26978000.0,-48590000.0,-23730000.0,-9011000.0,-9600000.0,3000000.0,14400000.0,6800000.0,-7500000.0,-9600000.0,23700000.0,14300000.0,24100000.0
,accountsPayables,3237000.0,-3983000.0,4443000.0,14218000.0,-22922000.0,37936000.0,5708000.0,41047000.0,4497000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,380588000.0,220481000.0,387301000.0,409070000.0,509315000.0,367447000.0,587751000.0,183306000.0,443897000.0,194543000.0,299891000.0,240200000.0,59124000.0,286289000.0,134370000.0,190999000.0,122289000.0,142291000.0,196707000.0,374182000.0,131167000.0,-38000000.0,-150800000.0,-72500000.0,-123900000.0,-23300000.0,-56900000.0,-105800000.0,-21100000.0,-167400000.0
,otherNonCashItems,25460000.0,23140000.0,52048000.0,29620000.0,10549000.0,6504000.0,40645000.0,-26294000.0,43110000.0,91715000.0,13294000.0,59709000.0,24096000.0,18537000.0,26705000.0,732000.0,0.0,0.0,0.0,0.0,7703000.0,0.0,-19400000.0,0.0,7200000.0,20600000.0,14900000.0,4300000.0,2600000.0,5000000.0
,netCashProvidedByOperatingActivites,267547000.0,124071000.0,181834000.0,131586000.0,97636000.0,144479000.0,107376000.0,52026000.0,84086000.0,36041000.0,67004000.0,5667000.0,91265000.0,109198000.0,46015000.0,68189000.0,43965000.0,16200000.0,-11603000.0,23726000.0,-4897000.0,58100000.0,-3300000.0,-25100000.0,-3700000.0,-23000000.0,-44100000.0,22000000.0,-73800000.0,24500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6309000.0,-5189000.0,-9558000.0,-10295000.0,-4294000.0,-8894000.0,-96636000.0,-77100000.0,-27603000.0,-61400000.0,-21000000.0,-20100000.0,-34200000.0,-8800000.0,-3000000.0,-3200000.0,-7400000.0,-16000000.0
,acquisitionsNet,0.0,0.0,-10000000.0,-7000000.0,0.0,0.0,-1000000.0,49000000.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1000000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-109558000.0,-96989000.0,-34860000.0,-165164000.0,-117261000.0,-224146000.0,-318731000.0,-175964000.0,-10647000.0,-31039000.0,-29784000.0,-13317000.0,-6462000.0,-47412000.0,-64901000.0,-4940000.0,-12606000.0,-69173000.0,-75095000.0,-168670000.0,-36824000.0,-12200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,125072000.0,100077000.0,64445000.0,133457000.0,140656000.0,287109000.0,157943000.0,118309000.0,3903000.0,97833000.0,29589000.0,2332000.0,8334000.0,71000.0,30733000.0,7538000.0,68933000.0,136741000.0,111795000.0,17551000.0,58811000.0,8900000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2800000.0,11300000.0
