date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1427000000.0,1062000000.0,628000000.0,771000000.0,650000000.0,527000000.0,583000000.0,402000000.0,606500000.0,369500000.0,370100000.0,222300000.0,-179016000.0,129769000.0,437761000.0,538981000.0
,depreciationAndAmortization,296000000.0,178000000.0,182000000.0,389000000.0,431000000.0,410000000.0,476000000.0,209000000.0,131800000.0,76300000.0,90400000.0,127600000.0,142759000.0,130092000.0,460750000.0,102105000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,-21000000.0,-16000000.0,-17000000.0,-31000000.0,-6300000.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,39000000.0,38000000.0,31000000.0,44000000.0,58000000.0,56000000.0,51000000.0,35000000.0,27500000.0,26600000.0,25100000.0,33700000.0,32669000.0,0.0,0.0,0.0
,changeInWorkingCapital,-97000000.0,-503000000.0,257000000.0,4360000000.0,-2253000000.0,-1311000000.0,-604000000.0,55000000.0,-923000000.0,269000000.0,341000000.0,1441700000.0,-1636262000.0,43118000.0,-354911000.0,4593000.0
,accountsReceivables,-83000000.0,-36000000.0,15000000.0,-11000000.0,-14000000.0,7000000.0,-22000000.0,0.0,-14500000.0,15400000.0,-28200000.0,0.0,0.0,36031000.0,-140194000.0,-33575000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84171000.0,-58905000.0,-61737000.0
,otherWorkingCapital,-61000000.0,-3081000000.0,-2578000000.0,-2835000000.0,-7195000000.0,-4942000000.0,-3631000000.0,-3027000000.0,-3082000000.0,-2159000000.0,-2428000000.0,-2769000000.0,-4210700000.0,-2574438000.0,-2617556000.0,-2262645000.0
,otherNonCashItems,-102000000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-151300000.0,-148700000.0,0.0,2200000.0,-4210000.0,-169686000.0,220835000.0,51792000.0
,netCashProvidedByOperatingActivites,1578000000.0,1121000000.0,943000000.0,737000000.0,1162000000.0,917000000.0,567000000.0,484000000.0,620000000.0,124900000.0,182500000.0,380300000.0,4587000.0,341931000.0,721148000.0,697471000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29100000.0,-44400000.0,-50800000.0,-84183000.0,-95305000.0,-163880000.0,-92138000.0
,acquisitionsNet,0.0,-1000000.0,3000000.0,-157000000.0,-557000000.0,-55000000.0,-2362000000.0,-25000000.0,-134000000.0,0.0,-10000000.0,1000000.0,-143000000.0,-246000000.0,-173000000.0,261000000.0
,purchasesOfInvestments,-4814000000.0,-1262000000.0,-1498000000.0,-893000000.0,-598000000.0,-1694000000.0,-1428000000.0,-979000000.0,-1166500000.0,-1335000000.0,-1426200000.0,-1928700000.0,-757254000.0,-5169830000.0,-2964994000.0,-2908127000.0
,salesMaturitiesOfInvestments,3592000000.0,831000000.0,1193000000.0,1081000000.0,1219000000.0,1158000000.0,1236000000.0,1087000000.0,1012000000.0,1365800000.0,1628100000.0,1561200000.0,928795000.0,5520407000.0,3284273000.0,2670634000.0
,otherInvestingActivites,-4000000.0,-8000000.0,-1000000.0,-3000000.0,-1000000.0,5000000.0,-5000000.0,-3000000.0,4600000.0,122900000.0,-18600000.0,0.0,0.0,-495729000.0,82713000.0,19313000.0
,netCashUsedForInvestingActivites,-2331000000.0,-520000000.0,-354000000.0,-95000000.0,-254000000.0,-571000000.0,-2720000000.0,-60000000.0,-310000000.0,149500000.0,332700000.0,-368600000.0,-24926000.0,-515617000.0,-115718000.0,-414928000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1000000000.0,0.0,-370000000.0,-996000000.0,-200000000.0,-1359000000.0,-1073000000.0,-359000000.0,-558400000.0,-515900000.0,-510100000.0,-398400000.0,-263491000.0,-30335000.0,-874113000.0,-222268000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,475000000.0,0.0,511000000.0,0.0,0.0,0.0,331400000.0,0.0,8409000.0,50648000.0,0.0
,commonStockRepurchased,-236000000.0,-86000000.0,-20000000.0,-70000000.0,-276000000.0,-498000000.0,-2000000.0,-34000000.0,-37600000.0,-86200000.0,-117600000.0,-74900000.0,-45998000.0,-187245000.0,0.0,0.0
,dividendsPaid,-389000000.0,-344000000.0,-328000000.0,-278000000.0,-239000000.0,-237000000.0,-203000000.0,-153000000.0,-128700000.0,-105100000.0,-156600000.0,-139000000.0,-226611000.0,-262182000.0,-195910000.0,-841154000.0
,otherFinancingActivites,1413000000.0,-91000000.0,-185000000.0,-471000000.0,-24000000.0,-5000000.0,561000000.0,-27000000.0,6000000.0,-5300000.0,-6700000.0,2400000.0,297000.0,2663000.0,-58957000.0,134664000.0
,netCashUsedProvidedByFinancingActivities,2096000000.0,-482000000.0,-442000000.0,-999000000.0,-588000000.0,-238000000.0,1087000000.0,340000000.0,51600000.0,-204600000.0,-185900000.0,-112100000.0,-150029000.0,101778000.0,-436129000.0,-128309000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
