date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3555000000.0,3870000000.0,3381000000.0,2922000000.0,1659000000.0,7267000000.0,2184000000.0,3915000000.0,3028000000.0,3527000000.0,4114000000.0,3021000000.0,2901000000.0,2590000000.0,3060000000.0,2632000000.0,2665000000.0,3476000000.0,3394000000.0,1882000000.0
,depreciationAndAmortization,1116000000.0,1047000000.0,811000000.0,816000000.0,823000000.0,894000000.0,1059000000.0,1077000000.0,1345000000.0,1485000000.0,1440000000.0,931000000.0,986000000.0,886000000.0,891000000.0,879000000.0,879000000.0,813000000.0,716000000.0,1642000000.0
,deferredIncomeTax,-70000000.0,-626000000.0,195000000.0,111000000.0,-141000000.0,-30000000.0,-186000000.0,-64000000.0,410000000.0,-351000000.0,251000000.0,38000000.0,-262000000.0,-436000000.0,-168000000.0,-408000000.0,41000000.0,244000000.0,278000000.0,414000000.0
,stockBasedCompensation,126000000.0,135000000.0,128000000.0,137000000.0,140000000.0,136000000.0,141000000.0,128000000.0,162000000.0,181000000.0,174000000.0,164000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-177000000.0,1441000000.0,-860000000.0,-2336000000.0,-3973000000.0,293000000.0,-1077000000.0,-1929000000.0,2992000000.0,-2804000000.0,-402000000.0,641000000.0,6671000000.0,-4130000000.0,-1648000000.0,-1215000000.0,381000000.0,-24000000.0,2156000000.0,-597000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-24000000.0,31000000.0,-204000000.0,-18000000.0,62000000.0,-49000000.0,-188000000.0,-116000000.0,-129000000.0,-556000000.0,-359000000.0,299000000.0,-130000000.0,-191000000.0,-149000000.0,-42000000.0,-65000000.0,197000000.0,-220000000.0,-107000000.0
,accountsPayables,436000000.0,4000000.0,236000000.0,5000000.0,409000000.0,659000000.0,387000000.0,793000000.0,505000000.0,300000000.0,83000000.0,126000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-233000000.0,-7692000000.0,-9133000000.0,-8273000000.0,-5937000000.0,-1964000000.0,-2257000000.0,-1180000000.0,749000000.0,-2243000000.0,561000000.0,963000000.0,322000000.0,-6349000000.0,-2219000000.0,-571000000.0,644000000.0,263000000.0,287000000.0,-1869000000.0
,otherNonCashItems,243000000.0,97000000.0,381000000.0,-225000000.0,-43000000.0,199000000.0,-184000000.0,-404000000.0,48000000.0,81000000.0,329000000.0,269000000.0,909000000.0,209000000.0,665000000.0,218000000.0,-202000000.0,-107000000.0,-312000000.0,-87000000.0
,netCashProvidedByOperatingActivites,3964000000.0,3965000000.0,3948000000.0,2593000000.0,2838000000.0,3728000000.0,3562000000.0,6410000000.0,3923000000.0,4520000000.0,3748000000.0,5084000000.0,4141000000.0,3571000000.0,3720000000.0,3464000000.0,4008000000.0,4119000000.0,3720000000.0,3328000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-863000000.0,-925000000.0,-1095000000.0,-1014000000.0,-1224000000.0,-1514000000.0,-1642000000.0,-1622000000.0,-1610000000.0,-1771000000.0,-1661000000.0,-1330000000.0,-1367000000.0,-1241000000.0,-1169000000.0,-1171000000.0,-1006000000.0,-1085000000.0,-1184000000.0,-1101000000.0
,acquisitionsNet,1353000000.0,-117000000.0,-527000000.0,604000000.0,57000000.0,3597000000.0,-7000000.0,-59000000.0,200000000.0,0.0,-5809000000.0,41000000.0,-2000000.0,-7221000000.0,946000000.0,1668000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,-544000000.0,0.0,55000000.0,-410000000.0,0.0,8000000.0,50000000.0,49000000.0,46000000.0,107000000.0,28000000.0,69000000.0,38000000.0,35000000.0,52000000.0
,netCashUsedForInvestingActivites,500000000.0,-960000000.0,-1224000000.0,-301000000.0,-1029000000.0,2649000000.0,-1642000000.0,-1483000000.0,-1687000000.0,-1728000000.0,-7462000000.0,-1239000000.0,-1320000000.0,-8416000000.0,-116000000.0,525000000.0,-1056000000.0,-1049000000.0,-1052000000.0,-1222000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5052000000.0,-5044000000.0,-4677000000.0,-3381000000.0,-7217000000.0,-6616000000.0,-5730000000.0,-8166000000.0,-4495000000.0,-1114000000.0,-2998000000.0,-1414000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8425000000.0
,commonStockRepurchased,-1390000000.0,-1480000000.0,-2020000000.0,-2174000000.0,-2601000000.0,-3622000000.0,-1700000000.0,-2900000000.0,0.0,0.0,0.0,0.0,-777000000.0,-3708000000.0,-1254000000.0,-1175000000.0,-688000000.0,-372000000.0,-170000000.0,0.0
