Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,1995-12,1994-12,1993-12,1992-12,1991-12
Cash and cash equivalents,4132000.0,1260000.0,9982000.0,4323000.0,14000000.0,14000000.0,18000000.0,1000000.0,2000000.0
Short-term investments,12634654000.0,80608000.0,39435000.0,40611000.0,,,,,
Cash and short-term investments,12638786000.0,81868000.0,49417000.0,44934000.0,,,,,
Receivables,32890000.0,31825000.0,34563000.0,37894000.0,7000000.0,4000000.0,4000000.0,16000000.0,15000000.0
Inventories,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0
Total current assets,12671676000.0,113693000.0,83980000.0,82828000.0,19000000.0,20000000.0,20000000.0,38000000.0,40000000.0
Property Plant & Equipment Net,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,12000000.0,14000000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,2000000,1000000,1000000,16000000,18000000
Long-term investments,0.0,0.0,0.0,0.0,,,,,
Tax assets,0.0,0.0,0.0,0.0,,,,,
Total non-current assets,473906000.0,13131575000.0,14246724000.0,14813035000.0,000000.0,000000.0,000000.0,000000.0,000000.0
Total assets,13145582000.0,13245268000.0,14330704000.0,14895863000.0,46000000.0,44000000.0,49000000.0,61000000.0,65000000.0
Payables,4969000.0,6170000.0,4083000.0,5259000.0,3000000.0,2000000.0,2000000.0,4000000.0,5000000.0
Short-term debt,0.0,0.0,0.0,0.0,1000000.0,2000000.0,1000000.0,4000000.0,4000000.0
Total current liabilities,4969000.0,6170000.0,4083000.0,5259000.0,9000000.0,9000000.0,11000000.0,13000000.0,16000000.0
Long-term debt,0.0,0.0,0.0,0.0,3000000.0,4000000.0,6000000.0,7000000.0,8000000.0
Total debt,0.0,0.0,0.0,0.0,3000000.0,4000000.0,6000000.0,7000000.0,8000000.0
Deferred revenue,0.0,0.0,0.0,0.0,,,,,
Tax Liabilities,0.0,0.0,0.0,0.0,2000000.0,3000000.0,2000000.0,2000000.0,2000000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,,,,,
Total non-current liabilities,0.0,0.0,0.0,0.0,000000.0,000000.0,000000.0,000000.0,000000.0
Total liabilities,11571335000.0,11709549000.0,12636090000.0,12920695000.0,9000000.0,9000000.0,11000000.0,13000000.0,16000000.0
Other comprehensive income,2242210000,2210808000,2212319000,2315052000,22000000.0,18000000.0,24000000.0,26000000.0,27000000.0
Retained earnings (deficit),-669513000.0,-676603000.0,-519222000.0,-341502000.0,8000000.0,7000000.0,4000000.0,12000000.0,10000000.0
Total shareholders equity,1574247000.0,1535719000.0,1694614000.0,1975168000.0,30000000.0,25000000.0,28000000.0,38000000.0,37000000.0
Investments,12634654000.0,80608000.0,39435000.0,40611000.0,,,,,
Net Debt,-4132000.0,-1260000.0,-9982000.0,-4323000.0,-10000000,-8000000,-11000000,10000000,10000000
Other Assets,0.0,0.0,0.0,0.0,13000000,15000000,15000000,14000000,15000000
Other Liabilities,11566366000.0,11703379000.0,12632007000.0,12915436000.0,0,-2000000,0,-5000000,-2000000
