date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,24801000.0,-48206000.0,73006000.0,88500000.0,88668000.0,67921000.0,59708000.0
,depreciationAndAmortization,17970000.0,14722000.0,9454000.0,7738000.0,6008000.0,5149000.0,3604000.0
,deferredIncomeTax,-2526000.0,19641000.0,-11517000.0,11422000.0,-6860000.0,-1637000.0,-8398000.0
,stockBasedCompensation,13155000.0,9821000.0,8894000.0,9136000.0,8304000.0,7321000.0,1991000.0
,changeInWorkingCapital,-1527000.0,-114423000.0,3690000.0,38058000.0,123671000.0,103580000.0,1853000.0
,accountsReceivables,-350000.0,1881000.0,34716000.0,-25726000.0,-16273000.0,-9717000.0,-46634000.0
,inventory,-9774000.0,-21276000.0,-11051000.0,21859000.0,-22798000.0,-17373000.0,-22075000.0
,accountsPayables,17015000.0,1554000.0,4197000.0,-6475000.0,14453000.0,2744000.0,-6621000.0
,otherWorkingCapital,-11061000.0,213977000.0,328400000.0,324710000.0,286652000.0,162981000.0,59401000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,53642000.0,-39022000.0,98545000.0,95008000.0,110780000.0,24602000.0,60348000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5153000.0,-8591000.0,-7966000.0,-7014000.0,-7419000.0,-15503000.0,-4030000.0
,acquisitionsNet,0.0,-109000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-14392000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,14589000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-5585000.0,-118022000.0,-7966000.0,7575000.0,-21811000.0,-15503000.0,-4030000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-9644000.0,-6820000.0,-3304000.0,-3292000.0,-282000.0,-115000.0,0.0
,commonStockIssued,0.0,0.0,0.0,83421000.0,0.0,0.0,0.0
,commonStockRepurchased,-3031000.0,-1795000.0,-75102000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-683000.0,-2590000.0,-7325000.0,-246634000.0,-142301000.0,-712000.0,-28869000.0
,otherFinancingActivites,-640000.0,-1009000.0,2650000.0,-6430000.0,-832000.0,0.0,508000.0
,netCashUsedProvidedByFinancingActivities,-6303000.0,-9527000.0,-68351000.0,-172661000.0,149368000.0,7304000.0,-21695000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2050000.0,-378000.0,-1442000.0,1344000.0,-1279000.0,-1062000.0,28000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,43804000.0,-166949000.0,20786000.0,-68734000.0,237058000.0,15341000.0,34651000.0
,cashAtEndOfPeriod,158461000.0,114657000.0,281606000.0,260820000.0,329554000.0,92496000.0,77155000.0
,cashAtBeginningOfPeriod,114657000.0,281606000.0,260820000.0,329554000.0,92496000.0,77155000.0,42504000.0
,operatingCashFlow,53642000.0,-39022000.0,98545000.0,95008000.0,110780000.0,24602000.0,60348000.0
,capitalExpenditure,-5585000.0,-8591000.0,-7966000.0,-7014000.0,-7419000.0,-15503000.0,-4030000.0
,freeCashFlow,48057000.0,-47613000.0,90579000.0,87994000.0,103361000.0,9099000.0,56318000.0
