Date,2018-03,2017-03,2016-03,2015-03,2014-03
Cash and cash equivalents,15000000.0,12000000.0,9000000.0,11000000.0,14000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,79000000.0,72000000.0,77000000.0,70000000.0,77000000.0
Inventories,681000000.0,598000000.0,568000000.0,472000000.0,451000000.0
Total current assets,778000000.0,688000000.0,674000000.0,587000000.0,584000000.0
Property, Plant & Equipment Net,277000000.0,237000000.0,189000000.0,186000000.0,184000000.0
Goodwill and Intangible Assets,0,0,0,0,0
Long-term investments,,,,,
Tax assets,10000000.0,000000.0,13000000.0,15000000.0,000000.0
Total non-current assets,292000000.0,258000000.0,221000000.0,218000000.0,185000000.0
Total assets,1070000000.0,946000000.0,895000000.0,806000000.0,769000000.0
Payables,70000000.0,73000000.0,67000000.0,68000000.0,71000000.0
Short-term debt,10000000.0,8000000.0,280000000.0,12000000.0,15000000.0
Total current liabilities,194000000.0,132000000.0,399000000.0,124000000.0,131000000.0
Long-term debt,414000000.0,329000000.0,36000000.0,272000000.0,216000000.0
Total debt,414000000.0,329000000.0,36000000.0,272000000.0,216000000.0
Deferred revenue,61000000.0,000000.0,000000.0,000000.0,000000.0
Tax Liabilities,000000.0,4000000.0,000000.0,000000.0,0000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,479000000.0,379000000.0,91000000.0,330000000.0,244000000.0
Total liabilities,674000000.0,512000000.0,490000000.0,454000000.0,375000000.0
Other comprehensive income,-25000000.0,-11000000.0,-28000000.0,-32000000.0,-11000000.0
Retained earnings (deficit),390000000.0,410000000.0,398000000.0,343000000.0,333000000.0
Total shareholders equity,397000000.0,434000000.0,405000000.0,352000000.0,394000000.0
Investments,,,,,
Net Debt,409000000,325000000,307000000,273000000,217000000
Other Assets,7000000,24000000,41000000,45000000,35000000
Other Liabilities,6000000,4000000,12000000,4000000,27000000
