Date,2018-03,2017-03,2016-03,2015-03,2014-03
Revenue,1315000000.0,1246000000.0,1275000000.0,1286000000.0,1340000000.0
Revenue Growth,,,,,
Cost of Revenue,1240000000.0,1139000000.0,1128000000.0,1203000000.0,1249000000.0
Gross Profit,75000000.0,106000000.0,147000000.0,83000000.0,91000000.0
R&D Expenses,,,,,
SG&A Expense,74000000.0,73000000.0,74000000.0,67000000.0,70000000.0
Operating Expenses,70000000.0,75000000.0,49000000.0,63000000.0,67000000.0
Operating Income,5000000.0,31000000.0,99000000.0,21000000.0,24000000.0
Interest Expense,15000000.0,10000000.0,8000000.0,6000000.0,6000000.0
Earnings before Tax,-20000000.0,20000000.0,80000000.0,14000000.0,17000000.0
Income Tax Expense,-6000000.0,7000000.0,26000000.0,4000000.0,4000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,-14000000.0,13000000.0,54000000.0,10000000.0,14000000.0
Preferred Dividends,,,,,
Net Income Com,-14000000.0,13000000.0,54000000.0,10000000.0,14000000.0
EPS,-1.41,1.27,5.46,0.91,1.24
EPS Diluted,-1.41,1.27,5.42,0.90,1.23
Weighted Average Shs Out,10000000.0,10000000.0,10000000.0,11000000.0,11000000.0
Weighted Average Shs Out (Dil),10000000.0,10000000.0,10000000.0,11000000.0,11000000.0
Dividend per Share,,,,,
Gross Margin,0.057034220532319,0.085072231139647,0.11529411764706,0.064541213063764,0.067910447761194
EBITDA Margin,0.019771863117871,0.043338683788122,0.086274509803922,0.032659409020218,0.035074626865672
EBIT Margin,-0.0038022813688213,0.024077046548957,0.069019607843137,0.015552099533437,0.017910447761194
Profit Margin,-0.0106463878327,0.010433386837881,0.042352941176471,0.0077760497667185,0.01044776119403
Free Cash Flow margin,,,,,
EBITDA,26000000.0,54000000.0,110000000.0,42000000.0,47000000.0
EBIT,-5000000,30000000,88000000,20000000,24000000
Consolidated Income,-14000000.0,13000000.0,54000000.0,10000000.0,14000000.0
Earnings Before Tax Margin,-0.015209125475285,0.016051364365971,0.062745098039216,0.010886469673406,0.012686567164179
Net Profit Margin,-0.0106463878327,0.010433386837881,0.042352941176471,0.0077760497667185,0.01044776119403
