Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,,,1000000.0,,1000000.0,,1000000.0,0000000.0,1000000.0
Stock-based compensation,,,4000000.0,,2000000.0,,3000000.0,4000000.0,1000000.0
Operating Cash Flow,,,,,,,,,
Capital Expenditure,-2766000.0,-1360000.0,,-641000.0,,-2092000.0,,,
Acquisitions and disposals,0.0,0.0,,0.0,,3115000.0,,,
Investment purchases and sales,,,-15000000,,-67000000,,-31000000,-50000000,-10000000
Investing Cash flow,,,-389000000.0,,-530000000.0,,-473000000.0,-296000000.0,-131000000.0
Issuance (repayment) of debt,,,,,,,,,
Issuance (buybacks) of shares,,,,,,,,,
Dividend payments,,,,,,,,,
Financing Cash Flow,357905000.0,487806000.0,488000000.0,572210000.0,572000000.0,514006000.0,514000000.0,246000000.0,192000000.0
Effect of forex changes on cash,,,,,,,,,
Net cash flow / Change in cash,47437000.0,151492000.0,151000000.0,94655000.0,95000000.0,68981000.0,69000000.0,-6000000.0,95000000.0
Free Cash Flow,,,,,,,,,
Net Cash/Marketcap,,,,,,,,,
