Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,2599000.0,428000.0,1009000.0
Short-term investments,12621000.0,13860000.0,12190000.0
Cash and short-term investments,15220000.0,14288000.0,13199000.0
Receivables,2953000.0,3792000.0,1478000.0
Inventories,49432000.0,46940000.0,36980000.0
Total current assets,63144000.0,59441000.0,45950000.0
Property Plant & Equipment Net,17128000.0,11826000.0,11206000.0
Goodwill and Intangible Assets,0.0,0.0,0.0
Long-term investments,144780000.0,127484000.0,112539000.0
Tax assets,0.0,0.0,0.0
Total non-current assets,171894000.0,148894000.0,134032000.0
Total assets,235038000.0,208335000.0,179982000.0
Payables,2828000.0,6280000.0,4383000.0
Short-term debt,228000.0,5276000.0,1731000.0
Total current liabilities,20385000.0,23787000.0,14352000.0
Long-term debt,17416000.0,53504000.0,43747000.0
Total debt,17644000.0,58780000.0,45478000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,1842000.0,0.0,0.0
Deposit Liabilities,2222000.0,2903000.0,1027000.0
Total non-current liabilities,25373000.0,60277000.0,50039000.0
Total liabilities,45758000.0,84064000.0,64391000.0
Other comprehensive income,0.0,0.0,0.0
Retained earnings (deficit),21513000.0,0.0,
Total shareholders equity,189280000.0,124271000.0,115591000.0
Investments,157401000.0,141344000.0,124729000.0
Net Debt,2424000.0,44492000.0,32279000.0
Other Assets,-4461000.0,-5579000.0,-5707000.0
Other Liabilities,17329000.0,12231000.0,8238000.0
